id,conversation_id,proc_text,gpt4_int,gpt4o_int
22329,118,"teacher: back to the bread, you can just go with 'pumpkin seed bread' german-style, but in three words yes, that's how i learnt english, grammar first! i feel that it pays off though if you have a chance to practise a lot afterwards  student: easier to pronounce ;) okay...so in general i would put before the noun 'bread' the adjectives, in this case pumpkin seed. or whole flower bread...okay, i got this!",3,2
22330,118,"teacher: yes, that would make a compound noun yes, wholewheat flour bread  student: well, after high school i studied math and now i work with artificial intelligence: so i always used english for 'practical' reasons, but it has been a while since i opened a grammar book.",1,4
22331,118,"teacher: or sourdough bread, the lockdown craze in the uk :)  student: haha, yes! i wanted to write 'whole flour bread' but then i stopped fearing that this is the us american spelling... would that be wrong?",3,3
22332,118,"teacher: hmm, let me think. whole milk vs. (semi-)skimmed milk but wholewheat flour we want to stress here that the flour is made out of whole wheat rather than the idea that the flour is whole  student: i am unsure about what 'flour is whole' would mean...",3,2
22333,118,"teacher: oh, what i mean is that we use 'wholewheat flour' as opposed to 'whole flour' because, as you say, 'whole flour' does not make sense  student: okay, thank you for the clarification!",3,1
22334,118,"teacher: no worries. you mentioned that you are interested in punctuation in the sign-up form in the following sentence, a punctuation mark could make it much clearer what you mean i wanted to write 'whole flour bread' but then i stopped fearing that this is the us american spelling...  student: yes, punctuation is one of those things that i have never fully understood. the oxford comma and so on... is there a mistake in that last sentence you copy-pasted?",2,3
22335,118,"teacher: not really, but when i first read it, i thought that you stopped being afraid that this was the american spelling as in 'you were not afraid anymore' if you put a comma after 'stopped', that would make it much clearer in my opinion  student: haha...so a grammatically correct sentence, but with a weird meaning...a comma was missing.",4,2
22336,118,"teacher: i wanted to write... but then i stopped, fearing that this is the american spelling does it make sense?  student: indeed! after you wrote about what you understood while reading the sentence i was wondering wether i would put the comma after 'then' or after 'stopped'... would both options be correct?",3,3
22337,118,"teacher: if you put a comma after then, this would definitely read like you are not afraid that this is american spelling anymore))  student: yes, indeed...i think this option came to my mind because in italian there is an expression i would have used in this context i.e., 'poi per', which is often followed by the comma.",3,3
22338,118,"teacher: i see! i'm thinking of an example i was afraid to go to the market because of the risk of infection, but then, i stopped fearing, put my face mask on and went silly example, just ot illustrate the point *to illustrate mind you, your original sentence was good without the comma too, and this is a confusing thing about the english punctuation: very little of it is obligatory or regulated by clear rules  student: i see your point, but a comma would have made the sentence much less ambiguous...",3,4
22339,118,"teacher: yes, true! i'd like to recommend an excellent book on the subject. it's called 'eats, shoots and leaves' by lynne truss  student: thank you for the recommendation! i will definitely take a look at it!",3,2
22340,118,"teacher: it's a really engaging read and explains some of those punctuation nuances really well the title was inspired by a joke about a panda. do you know this one?  student: no, i don't... ...and i don't see how pandas could come into play with that title, to be honest ;)",4,3
22341,118,"teacher: well, a panda walks into a cafe, eats a sandwich, then produces a gun, fires two shots in the air and heads towards the exit the waiter asks, 'what was this about?' the panda produces a badly punctuated wildlife manual and shows it to the waiter the entry for 'panda' says, 'panda. large black-and-white mammal, native to china. eats, shoots and leaves.'  student: haha...this time there was an extra comma! very nice :)",4,4
22342,118,"teacher: yes, exactly! the importance of punctuation)) so, what kind of ai are you working on?  student: currently i am working on a few projects...but the main one, which made me realise that my english knowledge is okay but not excellent, is about gec...that is, you guessed it, grammatical error correction.",3,3
22343,118,"teacher: interesting! are there any areas of grammar that you think you would like to improve? your english is excellent, and i'm nit-picking to find something to help you with, to be honest  student: well, thank you! i am not sure...as an italian i realise that my language use is a bit peculiar, for example i tend to use a lot of words with latin etymology. if you noticed this, maybe i would like to know some more common alternatives... or there are some sentences which i am not sure if or why they are correct. i guess those could shed some light on some grammatical areas i don't fully control.",4,4
22344,118,"teacher: oh i see what you are saying (i haven't noticed). it would be wrong not to take advantage of 60% of the english wordstock. if i recall correctly, this is how much the words of latin origin make up  student: i see, then i will ask you the following: is the sentence 'there are two teachers in class' wrong? i have found something similar in a grammar book, and they suggested 'there are two teachers in the class' as the correct version. do they have different meanings, or is me not seeing what is wrong with the first one?",3,3
22345,118,"teacher: ah, articles! yes, you usually need to use 'the' with indications of place  student: what i was wondering is if, in this case, 'class' could also mean 'lesson' and so the first one could be correct...",3,4
22346,118,"teacher: class' in this sentence is a singular noun, so you need some kind of an article.  student: as in two teachers are teaching the lesson...but maybe it would be a singular noun anyway...",3,3
22347,118,"teacher: i see what you're saying, but class=lesson is also a singular noun and requires an article yes, that's right! and, just like you said right now, you would be more likely to say 'two teachers are teaching a class'  student: okay, anyway thank you for clearing that up! i didn't realise there are this many rules connect with 'animated objects' or 'indications of place'.",3,4
22348,118,"teacher: i've got an idea. maybe you could send me a piece of your writing that you think could be improved prior to the next class? then we could have a more focussed practice next time, looking at the grammar, style and punctuation  student: yes, that is definitely an option. okay! i will sent you two pieces of writing. one written in a speedy manner, one more carefully...",4,3
22349,118,"teacher: ok, excellent! would a class at the same time next week suit you?  student: i would prefer it to start at 11:00, but if that is not possible 9:30 will be fine :) (oh, i forgot the 'a.m.' there...)",3,1
22350,118,"teacher: that's ok, please give me a minute to calculate the time difference is it 11 gmt?  student: yes which means 14 here (so i can take the lesson after lunch)",3,2
22351,118,"teacher: just checking my timetable we should be still on summer time here in the uk, so yes, 11 gmt is good!  student: okay. well, let me know if you realise the time changes. perfect! thank you for your time! i am looking forward to the next lesson :)",3,3
22352,118,"teacher: no, it should be fine. it just takes me a moment to switch between time zones, with students in different countries my pleasure, have a lovely week, speak to you on tuesday!  student: you too, bye!",4,2
22354,64,student: good afternoon <teacher>  teacher: hi <student> - how are you?,3,2
22355,64,"student: today is the second day of my new cycle quarantine. i suppose i'm used to living in isolation, because my schedule is like the previous 14 days.  teacher: yes i guess you must be used to it by now! is there anything different about where you are now compared to before?",3,3
22356,64,"student: no!! maybe it is just living in different hotels. but sometimes i really want to go for a run.  teacher: right i see...yes i'd really like to go for a run too. i normally run a lot but i have a knee injury at the moment. ironically, i'd be stuck inside anyway even without this virus! so you just have to stay in a room all day? how do you get your meals?",3,4
22357,64,"student: yes, i know you said it before. without doubt, it will be my most memorable 28 days,  teacher: yes,,you'll look back on it with nostalgia ....",4,2
22358,64,student: everyday nurses give to me normal males.  teacher: the nurses give you normal meals yeah? do they wear full protective equipment?,2,3
22359,64,student: but they all different. yes!!! they all wearing full protective equipment. and i was required to test my body temperature twice a day.  teacher: it must be like something out of a movie!? sorry <student> but: 'they all wearing full protective equipment.' happy with this??,3,2
22360,64,"student: when i lived in hospital at the first day, everything i thought is like a movie of 100%.  teacher: yes i can imagine!",2,3
22361,64,"student: yes....i was happy with that, because i can far away from my parents...haha  teacher: oh right i see! but what i meant was: are you happy with the grammar in english of your sentence??!! 'they all wearing full protective equipment.'",2,2
22362,64,student: maybe i need to use present perfect  teacher: ah ...well if you're talking about right now then the present continuous is ok but have you used it correctly here? this is the same mistake you made before (that's why i'm asking you again!),3,3
22363,64,student: no..i think i talk about a period of the time.  teacher: ok <student> ...hold on don't worry about changing the tense...it's not the problem here you can use the presnent continuous but you have to make it correctly! with two words remember!!,3,2
22364,64,student: yes!!  teacher: they _____ wearing ...'?,1,1
22365,64,student: they are wearing  teacher: yes ok good thanks!,1,1
22366,64,student: i think i need to punish myself.  teacher: you could also use present simple here: 'they all wear protective ...' = correct too,2,2
22367,64,"student: i always forget it  teacher: yes don't worry ...it's normal ..not only you! 2 steps forward one step back ..it's normal! <student> let me give you your paragraph from yesterday.... one of the most significant negative effects of playing video games is that they can lead to violent behaviour. it is difficult for children to distinguish between video games and reality. because many games are designed for adults, they may often contain violent content. as a result, young people are likely to copy the violence they see, and this can result in them bullying classmates for example.",3,3
22368,64,"student: yes.. i learn a new word of 'copy' is 'imitate'  teacher: yes that's a very good idea! you could definitely use it here this is quite good in many ways...but i wonder: there are 4 sentences here. can you put them in a different order so the paragraph is a bit more logical? you only have to change one sentence (i mean put it in a different place) which one ? 1,2,3, or 4? don't worry if you're not sure...",3,4
22369,64,student: apply 2 to 1  teacher: so hold on..you mean the first sentence should be different? i like that first sentence!!,2,1
22370,64,"student: ok..i am not sure  teacher: no problem...well for me <student> changing round 2 and 3 seems a bit better so...one of the most significant negative effects of playing video games is that they can lead to violent behaviour. because many games are designed for adults, they may often contain violent content. it is difficult for children to distinguish between video games and reality. as a result, young people are likely to copy the violence they see, and this can result in them bullying classmates for example. so the 'as a result' directly follows the fact that they can't tell it isn't real do you see?",4,3
22371,64,student: yes.. i see it  teacher: ok cool ...,2,1
22372,64,"student: it become more logic, 1. topic sentence 2.the explain of main idea 3.consequence  teacher: yes i think so but don't worry too much ..i think your priority <student> is still gettgin the language right ...your understanding of paragraph/essay structure is pretty good i think",2,3
22373,64,"student: so..this structure is normal and academic in english writing, right?  teacher: yes absolutely - it's fine",3,1
22374,64,student: i like it  teacher: ok <student> - can i give you a choice..do you want to try answering some part 3 speaking questions or would you prefer trying another paragraph (on a different topic),3,2
22375,64,"student: i prefer to trying another paragraph  teacher: ok fine...hold on a sec (by the way, you can suggest a topic if you want to practise a particular one..if not i'll choose for you!)",3,3
22376,64,student: i don't have any ideas.....  teacher: ok no probs hold on,2,1
22377,64,student: ok  teacher: in some countries people prefer renting their homes to buying them. what are the advantages and disadvantages of renting? ok make sense? give me a couple of main ideas just with basic keywords if you like...i'll give you a minute ok?,3,3
22378,64,"student: 1. cheaper 2.easy to moving 3.high price can rent a high quality house, but it still cheaper than buy a normal house and disadvantage is following...  teacher: ok yes understood thanks...ok i'll wait!",1,2
22379,64,student: 1. can't buy huge and expensive furnitures 2. sometimes it doesn't feel like home.  teacher: ok thanks <student>! can i just check your first disadvantage? the 'furniture' one? what do you mean here?,3,3
22380,64,"student: like... tables, beds, refrigerator ......  teacher: ok yes i understand what furniture means! (not a fridge by the way) ...but why can't you buy a large table for example if you;re renting?",4,2
22381,64,"student: because when you move to another city or place, it is very unconvenience to move them.  teacher: ah ok i'm with you! yes of course (just checking though because you'll have to explain this if you use it as a main idea right?) quick question: 'it is very unconvenience ' what kind of word do you need after 'very'? (noun/verb/adjective?",3,3
22382,64,student: adjective i think..  teacher: ok good yes! can you change your word to an adjective? incon_ _ _ _ _ _ _ ',2,3
22383,64,student: very inconvenience  teacher: hold on <student>....'importance' = adjective or noun?,2,2
22384,64,student: noun because important is an adjective.  teacher: ok good! can you apply this rule to your two words from just before? so 'inconvenience' = noun/adjective?,3,3
22385,64,student: is a noun  teacher: ok good..and the adjective you need is?,2,3
22386,64,student: inconvenient  teacher: ok good! so <student> ...getting verb tenses and getting nouns/verb/adjective forms right are two big things you can improve for a better score ok?,3,2
22387,64,"student: ok,thanks  teacher: quick test coming up ok? choose the right option for each sentence : we need silence/silent in the room please. its difficult to tell the difference/different between twins. lung cancer is a common consequence/consequent of smoking.",4,3
22388,64,student: silent/difference/consequence  teacher: thanks <student>...you need to change one of your answers! which one?,3,2
22389,64,student: slience  teacher: yes ok good! you need 'something' right (a noun in other words) .... you can say need to + verb,2,1
22390,64,student: need to slent silent  teacher: ah well.....need to + verb so....where's the verb in your last example?? you would need to add one! 'we need to ____ silent now.'??,3,2
22391,64,student: we need to be silent now.  teacher: ok good! good to focus on this stuff! ok <student> speak to you after the break..bye for now...,3,1
22393,43,"teacher: welcome back <student>...  student: hey, i am here",3,1
22394,43,teacher: ok a quick vocabulary exercise for you based on earlier ... hold on  student: ok,3,1
22395,43,teacher: just match up the letters and numbers and show me ok? take a couple of minutes and if you aren't sure no problem: 1. change 2. personality (in general) 3. be born 4. predetermined 5. get from (e.g. parents) 6. give to (e.g. children) 7. characteristic (e.g. one particular example) 8. things that are the same 9. to be born with a. pass on b. fixed c. alter d. similarities e. innate f. birth g. character h. inherit i. quality is that clear?  student: yes,3,2
22396,43,teacher: ok  student: 1- c / 2 - g / 3 - f / 4 - b / 5 - h / 6 - a / 7 - e / 8 - d / 9 - f i am not sure of number 7,3,3
22397,43,"teacher: ok thanks <student> - very good overall hold on... ok so 'innate' = something your born with e.g. children seem to have an innate sense of fairness. and e.g. patience, honesty, a sense of humour are all examples of particular personal qualities or characteristics (ok?!) so 7 e !  student: okey~i write them on notebook",3,2
22398,43,"teacher: ok great - ok can i give you one final test now - you will need one word from the second group to complete the following sentences 1. my father ___________ his love of fishing to me and my brother.. 2. our personalities are __________, perhaps not from ________, but certainly when we reach adulthood. 3. beethovens musical talent was ________. he could compose symphonies from the age of four! 4. honesty and kindness are very important __________. 5. its very difficult or perhaps impossible to __________ your character your genes play a very significant role. ok? one word from the second group...  student: okey, i know the second group is from a to i",3,2
22399,43,teacher: yes that's it  student: 1. pass on 2. similarities / inherit 3. brith 4.character 5. alter,2,1
22400,43,teacher: ok thanks <student> - good answers for 1 and 5. let me make the other examples clearer  student: okey,3,2
22401,43,teacher: so number you need an adjective which means 'something that is set/that you can't change...and the next word in number two means 'from the first day of you life'! number 3: his talent was something he was born with e.g. 'an i_ _ _ _ _ 'talent'. and number 4: kindness etc ...these are particular characteristics or 'qu.........'?! sorry the first comment connects to number 2 ok?  student: innate quality,2,3
22402,43,teacher: ok <student> ..so number 2: if i say our personalities can't be changed i can say: 'our personalities are 'f _ _ _ _ '?  student: our personalities are fixed,3,2
22403,43,teacher: yes good ...and maybe not from ' b _ _ _ _ ' but quite soon afterwards?  student: brith,3,1
22404,43,teacher: ok yes 'birth' and number 3: beethoven;s talent was 'i _ _ _ _ ' ? it means something he was born with!  student: innate,3,3
22405,43,teacher: ok great! and e.g. patience/honesty/kindness/selfishness etc are ....?  student: character,3,2
22406,43,teacher: you need a countable noun here ...so e.g. 'character' is not possible (at least in this context) - a person's character is made up of different _______? qu....' or 'ch...' = both possible  student: qualities characters,3,1
22407,43,teacher: yes good ...or characteristics ...ok? both are countable and mean particular features ...your character or personality = uncountable (at least for one person they are uncountable ) so in other words a person's character or personality includes different specific qualities or characteristics (ok?)  student: not ok,3,2
22408,43,teacher: ha! hold on...  student: we can only write characteristics here,3,2
22409,43,"teacher: no 'qualities' is ok too = the same thing oh sorry yes you can't write character character is formed by a group of characteristics  student: okey, i got it. thanks",3,2
22410,43,"teacher: ok cool - so final answers for the record = 1. my father passed on his love of fishing to me and my brother.. 2. our personalities are fixed perhaps not from birth but certainly when we reach adulthood. 3. beethovens musical talent was innate he could compose symphonies from the age of four! 4. honesty and kindness are very important qualities. 5. its very difficult or perhaps impossible to alter your character your genes play a very significant role. are you able to copy and paste from this box <student>? i mean without writing with a pen  student: not easily, but i will practice to remember them in my mind",3,3
22411,43,teacher: ok fine - i'll consider using material that i can maybe send you in an email first ok? it might be easier for you...  student: yes that great i think it can be easier too thanks,3,2
22412,43,"teacher: so <student> if you can, write a two-sentence introduction for the original essay question from earlier today ok? don't worry too much about 'difficult' words ok? just be direct and clear if you can....remember the question&gt; here it is: our personalities are predetermined as a result of our genes and there is nothing we can do to change them. to what extent do you agree? i'll give you a couple of minutes ok? remember: one background sentence and one 'thesis sentence!  student: okey",3,1
22413,43,"teacher: ok  student: it is argued that our characteristics are fixed and we are not able to alter it. although i strongly agree whit that genes play a significant role, learning afterward is more important.",1,3
22414,43,"teacher: ok thanks a lot <student> - you've really tried to copy the idea of the model we look at before with ielts introductions in general and i think that's great so well done you might feel this is too short/simple but trust me it;s a good start!  student: okey, thanks a lot",3,1
22415,43,"teacher: good use of keywords too.... so it is argued that our characteristics are fixed and we are not able to alter _____ (plural pronoun?!). although i strongly agree whit ('with' + noun - do you need it here? )that genes play a significant role, learning afterward is more important. significant role' + good too by the way! sorry = good i wanted to say  student: it is argued that our characteristics are fixed and we are not able to alter our qualities. although i strongly agree with it that genes play a significant role, learning afterward is more important.",3,2
22416,43,"teacher: ok thanks <student>, so here's the two little changes i sas thinking of and also a suggestion for developing the end a little bit: it is sometimes argued that our characteristics are fixed and we are not able to alter them. although i strongly agree that genes play a significant role, our learning and experience after birth is more important in forming our personalities. ok?!!  student: yes,that is perfect",3,1
22417,43,teacher: so in other words 'them' instead of 'it' (because characteristics is plural) and delete 'with' because you're using a subject/verb structure so you on'y need : i agree that..... but a good intro overall <student> - you;re on the right track ok?  student: i think writing in this way is more academic than i wrote before.,3,2
22418,43,"teacher: ok fine - i guess that's it for today <student> - thanks. so i'll speak to you tomorrow from 14:00 ...bye  student: okey,bey",3,1
22419,43,teacher: cheers...  student: good night,1,0
22421,231,student: hello <teacher>!  teacher: hi <student>! how are you?,3,2
22422,231,"student: i'm fine! thank you. and you? i did part 1 of listening  teacher: good, thank you! ok, cool! how did it go?",3,3
22423,231,"student: no mistakes how about we continue together?  teacher: yaay, well done!",3,2
22424,231,"student: i've got everything set up =.  teacher: hmm, i'm just worried we won't produce as much of a chat as we would otherwise!",2,1
22425,231,"student: oh, i see ok then.  teacher: sorry!",1,0
22426,231,"student: sure  teacher: i think the following parts are longer chunks of listening, too i mean, longer audio files",2,1
22427,231,student: it appears so  teacher: shall we go back to the use of english we started on last time? from the teacher's handbook pdf,2,2
22428,231,student: yes. let's do that  teacher: lovely! i think we stopped at part 3,3,2
22429,231,"student: what handbook should i open? the printed? the pdf?  teacher: the one i sent to you last time, please. the pdf is called 168194-c2-proficiency teachers booklet i can re-send it!",4,3
22430,231,student: that would've been great  teacher: sure,1,1
22431,231,"student: i can't seem to find it  teacher: you should have it in a sec it should be page 16 for you i think. trouble is, the page count in my pdf reader is different from online!",3,3
22432,231,"student: do we start with part 4?  teacher: part 3, please! i don't think we did part 3",3,2
22433,231,student: ok. got it  teacher: or did we?,3,2
22434,231,student: 17 scarcity 18 genetically 19 occurance occurrence  teacher: good correction!,3,1
22435,231,"student: 20 sensitivity thanks . 21 spectacularly 22 advantageous 23 progressively 24 evolution  teacher: ah, you need an adjective in 24",2,2
22436,231,student: evolving  teacher: evolutionary,1,1
22437,231,student: aha that's rigt  teacher: as in 'an evolutionary advantage',2,2
22438,231,"student: right  teacher: but otherwise, all correct! well done you!",3,3
22439,231,"student: thank you next?  teacher: yes, please! your favourite",2,2
22440,231,"student: the next one is tricky though ... 25 ??? 26 mira tried not to take sided in the argument between...  teacher: ok, in key word transformation task, you get 2 points for each number. even if you don't know the expression with 'way', it's worth scoring at least one point with the passive",3,3
22441,231,student: *take sides  teacher: 26. correct!,1,1
22442,231,student: ok passengers were instructed to make way down the bus  teacher: nearly! were instructed to make their way...:.,3,2
22443,231,"student: almost... 27 the carnival's success was under threat due to lack of support 28.... his decision was not open for discussion  teacher: hmm, could you check the tense, please? and an article is missing in 27",3,1
22444,231,"student: oh sure. sorry is under threat due to the lack  teacher: yes, correct!",3,2
22445,231,student: 29 no matter how late it'll be .... 30 i just caught a sight .a glimpse?. of emma  teacher: the tense again in 29.,2,2
22446,231,student: do we need to use present tense after 'no matter'?  teacher: caught a glimpse / caught sight .no article. of = both correct,1,3
22447,231,"student: the present tense  teacher: yes, you hardly ever need to change the tense in key word transformation!",3,2
22448,231,"student: ok. then. no matter how late it is caught sight of -- noted  teacher: in fact, this is one of the things to watch out for, whether it's the same tense .or similar, both present / past / future. and one last for 28: was not open to further discussion tricky, i know!",2,3
22449,231,"student: right. we need to keep as much original information as possible  teacher: yes, true! unlike in speaking and writing, you actually paraphrase as little as possible in speaking and writing, you're encouraged to paraphrase, to show that you can use a range of vocabulary, not just the words from the task",3,2
22450,231,"student: right. makes sense  teacher: ok! i actually thought we might practise some speaking questions today. again, with the aim to show off that lovely language!",3,3
22451,231,student: maybe more tests? =.  teacher: nooo! let's do something fun! my idea of fun :.,4,2
22452,231,"student: tests are fun for me speaking, however......  teacher: ha, i'm like that too, to be honest! as you probably know, a part of the speaking is a collaborative task where you discuss something with the other candidate and at least two parts are picture-based. an examiner gives you some pictures and asks questions based on them also, you will be expected to comment on the questions the other candidate is asked .not on their answers, thankfully!. but there are also some plain old question at the end, which give you a chance to speak on your own for a longer time",4,3
22453,231,"student: yes. i remember  teacher: even though some examiners invite an exchange of opinions between candidates as well at c2 level, they are quite abstract, the questions",3,1
22454,231,"student: right  teacher: the first part, however, are nice warm-up questions the examiner says, i'd like to find out something about you. where are you from? are you working or studying? .the traditional beginning of all cambridge english speaking exams it seems. and then something like what do you enjoy best about the place where you're living now? could you give me 2-3-4 nice sentences?",3,2
22455,231,"student: oh... it'll be tough  teacher: well, you can always say that at the moment, in lockdown, it's hard to think of things you enjoy - as long as you give a nice answer in terms of language, it doesn't even have to be truthful!",3,4
22456,231,"student: it would say the location, as my home is in the city center. it takes me 5 minutes to reach the nearest metro station. moreover, i can just walk to khreschatyk and avoid using any means of transport all-together. other perks include the vicinity of the botanical garden and other green zones. * i would say  teacher: lovely!",3,2
22457,231,"student: but trust me it would have been much more messy in speech it would be ....  teacher: hmm, i don't know if i believe you because i heard you speak and you're fluent..",3,3
22458,231,"student: when was it? i don't remember...  teacher: ok, next cambridge wants to know, how difficult would it be for you to move away from the area you're living in now? back when you just opened alma i believe!",3,2
22459,231,"student: by the way, does the exam panel assess accents? oh right! maybe at alias my memory has worsen quite a bit after maya's birth  teacher: it's absolutely fine to have an accent, everybody does .even the queen.. they assess intelligibility, the pronunciation / mispronunciation of individual words, sentence stress and intonation yes, it must have been a game of alias! i can't remember very clearly either so unless your accent impedes comprehension, you're fine! ok, so how difficult would it be for you to move away from the area you're living in now? .see what they are doing? eliciting conditionals and the language of speculation, like modals.",4,3
22460,231,"student: not difficult at all. you see, the advantages i've just provided cannot overrule the disadvantages of my residential area. they are poor air quality, noise pollution, forlorn playgrounds and shabby infrastructure. so i'd move in no time. overrule or maybe override  teacher: perfect! great answer override would be better, i agree!",3,2
22461,231,student: it took me a while because i forgot how to spell forlorn although i know how to pronounce it  teacher: you wouldn't have this problem in the speaking test!...,3,1
22462,231,"student: right. that's what i thought  teacher: yes, the centre of kyiv is so lovely and green, but not without its challenges, is it?",2,2
22463,231,"student: indeed yesterday, we travelled to nyvky there's a residential area called fayna town  teacher: oh yes, i stayed there for a month while doing celta that must be new",3,3
22464,231,"student: it's perfect in terms of air quality and infrustructure but the commute it tiring to say the least at peak hours around 2 hrs now  teacher: i remember lots of fresh fruit and vegetables at the market and a giant park ooh, horrible!",3,4
22465,231,"student: yes. the area is wonderful our friends live there they've just bought an apartment  teacher: are there nice schools, too?",3,2
22466,231,"student: their daughter goes to a school on arsenalna street so i guess, no good schools  teacher: that's faraway, isn't it? from nyvky ah, yes, that makes sense",3,1
22467,231,"student: yes, arsenalna is near alma school  teacher: yes, i thought so",2,0
22468,231,"student: ok. it's time already i think  teacher: here in the uk, while kids are small, all house moves are dominated by the catchment area of schools. i bet it's universal though, for all families, not just in the uk, obviously",2,2
22469,231,"student: next monday same time?  teacher: yes, i've got to let you go! yes, sure, same time on monday!",3,0
22470,231,student: right. it's more or less the same everywhere  teacher: have a lovely week :.,2,1
22471,231,"student: you too! thank you for the lesson bye!!!  teacher: yeah, of course, once you have a child:. my pleasure, by! bye!",1,1
22473,125,student: hi  teacher: hi <student>! how are you?,2,1
22474,125,"student: i am fine and you?  teacher: good, thank you how's your holiday going?",3,2
22475,125,student: fine after our lesson i will see my friend it is her birthday today  teacher: lovely! have you prepared anything for her?,4,3
22476,125,"student: no just some monet *y  teacher: ok, cool",1,1
22477,125,"student: i think it is the best gift  teacher: well, i see your point",2,2
22478,125,student: you can anything you want  teacher: do you like receiving money for your birthday?,3,3
22479,125,"student: if it is your close friend, you can give anything yes  teacher: do you mean that if you are close then you know what the person is into and what to give them?",3,4
22480,125,"student: two years ago i received a lot of money and i bought a phone yes  teacher: ooh, cool! when is your birthday?",2,2
22481,125,"student: <dob> when is your birthday?  teacher: ok, so soon-ish. if you get lots of money again, what will you buy? <dob>",1,3
22482,125,student: i want to buy headphones and a tablet  teacher: i see! sounds good! are you excited about halloween? have you got any plans?,3,4
22483,125,student: i am excited !!! i don't really have plans  teacher: me too! i love halloween!,3,3
22484,125,student: but on 31th of october it is my friend's birthday  teacher: there's still some time to make plans),2,2
22485,125,"student: so i think we are going to celebrate she had a lot of theme parties in the past  teacher: ah, so you're relying on your friend to come up with something)) fair enough!",3,3
22486,125,student: yes  teacher: have you got a costume?,2,2
22487,125,student: no i don't who to cosplay this year last year i was bill cipher  teacher: who's bill cipher?,2,3
22488,125,"student: did you watch gravity falls?  teacher: the answer is, 'no, i haven't seen it.' could you make the correct question, please?",3,2
22489,125,"student: have you ever watched gravity falls?  teacher: well done! i haven't, no!",2,3
22490,125,"student: google his name he is a triangle with one eye  teacher: ah, that's too easy! you tell me :) a triangle with one eye! that must have been difficult to cosplay!",3,4
22491,125,"student: he is yellow and he is evil  teacher: ah, i see! tell me more about his personality)",4,3
