id,conversation_id,7b_int,13b_int,7bnonchat_int,13bnonchat_int,llama3_chat_int,llama3_nonchat_int
59054,131,4,3,0,2,1,2
59055,131,4,2,3,1,2,2
59056,131,3,3,1,3,3,4
59057,131,4,4,1,3,1,0
59058,131,3,3,1,2,1,3
66311,257,0,2,0,2,2,1
66312,257,2,3,1,0,1,2
66313,257,1,2,1,2,3,3
66314,257,2,3,0,1,1,1
66315,257,4,4,0,2,3,0
66316,257,2,4,0,2,2,0
66317,257,3,3,0,2,3,3
66318,257,3,2,0,0,4,4
66319,257,4,3,3,0,1,2
66320,257,3,2,0,2,1,3
66321,257,2,3,4,1,3,3
66322,257,2,3,0,3,1,3
66323,257,3,3,0,0,2,3
66324,257,4,4,3,3,3,3
66325,257,3,3,4,2,1,3
66326,257,4,3,0,2,2,2
66327,257,3,4,0,3,3,1
66328,257,4,3,0,3,4,1
66329,257,3,4,1,3,3,2
66330,257,4,4,1,2,3,1
66331,257,3,3,0,2,4,0
66332,257,2,2,4,1,3,1
66333,257,3,3,3,1,4,3
66334,257,2,4,4,0,1,3
66335,257,3,3,0,2,3,0
66336,257,4,2,3,2,2,3
66337,257,4,3,4,3,3,2
66338,257,3,4,2,3,1,0
66339,257,3,3,3,3,3,1
66340,257,4,4,0,2,2,1
66341,257,3,4,1,1,1,2
66342,257,4,3,3,0,3,4
66343,257,3,2,3,3,1,2
66344,257,4,3,1,2,3,2
66345,257,2,2,3,2,2,0
66346,257,4,3,0,3,3,3
66347,257,3,2,0,1,1,1
66348,257,1,4,2,2,0,1
66349,257,4,3,0,1,3,1
66350,257,3,2,3,3,4,2
66351,257,4,3,0,1,1,0
66353,190,2,4,3,3,3,4
66354,190,2,3,1,2,1,2
66355,190,3,2,3,2,2,0
66356,190,2,3,0,3,1,3
66357,190,4,2,3,3,3,1
66358,190,1,3,3,1,4,2
66359,190,3,2,1,2,3,3
66360,190,4,3,3,2,3,2
66361,190,3,4,1,3,4,0
66362,190,4,3,3,3,3,1
66363,190,3,3,3,2,1,2
66364,190,4,1,1,3,3,3
66365,190,2,2,3,2,3,2
66366,190,3,3,2,3,4,2
66367,190,4,3,0,2,3,2
66368,190,4,3,2,2,4,0
66369,190,4,4,0,3,3,4
66370,190,3,3,0,3,4,3
66371,190,2,2,3,4,3,4
66372,190,3,3,0,1,4,3
66373,190,2,4,1,3,3,2
66374,190,3,3,0,2,2,2
66375,190,1,2,0,2,3,1
66376,190,3,4,2,2,4,2
66377,190,2,3,2,2,3,2
66378,190,3,2,0,2,4,1
66379,190,2,4,1,3,3,3
66380,190,3,4,1,2,4,2
66381,190,3,3,1,2,3,1
66382,190,2,2,0,1,4,3
66383,190,4,3,3,4,3,3
66384,190,3,4,3,3,2,4
66385,190,4,3,3,2,3,2
66386,190,3,2,2,1,1,0
66387,190,4,3,2,3,3,2
66388,190,3,2,1,1,2,3
66389,190,4,3,4,3,3,4
66390,190,3,4,0,3,1,2
66392,119,4,3,1,2,1,2
66393,119,,2,2,1,1,0
66394,119,,3,3,3,3,2
66395,119,,4,1,3,1,2
66396,119,,3,4,3,2,2
66397,119,,4,3,2,1,3
66398,119,,4,1,0,3,3
66399,119,4,3,1,0,4,0
66400,119,2,4,0,2,1,3
66401,119,3,4,1,2,3,3
66402,119,4,4,3,0,4,2
66403,119,2,3,3,3,3,0
66404,119,3,3,0,0,1,4
66405,119,2,4,0,0,2,0
66406,119,3,3,1,2,3,1
66407,119,3,4,1,1,1,2
66408,119,3,3,0,3,3,4
66409,119,2,2,3,3,2,0
66410,119,3,3,1,2,3,2
66411,119,2,2,0,0,1,2
66412,119,3,3,0,3,3,2
66413,119,2,2,1,3,4,2
66414,119,4,4,1,2,3,1
66415,119,3,3,1,2,1,3
66416,119,2,4,1,2,3,None
66417,119,3,3,3,2,1,0
66418,119,2,4,1,2,2,3
66419,119,3,4,0,3,1,4
66420,119,2,4,0,2,3,4
66421,119,1,3,0,2,4,2
66422,119,4,4,2,2,3,0
66423,119,3,3,0,1,4,2
66424,119,4,4,1,2,3,1
66425,119,3,3,2,2,4,4
66426,119,2,4,0,2,3,3
66427,119,3,4,3,2,1,0
66428,119,4,3,0,1,3,0
66429,119,3,2,0,1,1,3
66430,119,2,3,1,0,1,2
66431,119,4,3,2,1,2,3
66432,119,3,4,0,2,3,2
66433,119,2,3,1,3,3,2
66434,119,1,4,3,2,1,1
66435,119,4,3,1,2,2,4
66436,119,3,2,0,3,1,2
56957,211,3,4,1,2,1,2
56958,211,1,3,0,2,2,1
56959,211,3,4,0,2,3,0
56960,211,4,3,2,1,2,2
56961,211,3,2,3,2,3,0
56962,211,2,3,2,2,4,1
56963,211,3,2,1,2,3,3
56964,211,2,0,0,2,4,1
56965,211,3,2,3,2,3,3
56966,211,2,2,1,2,4,1
56967,211,3,3,3,3,1,1
56968,211,4,2,3,3,3,4
56969,211,3,1,0,2,4,3
56970,211,4,4,3,1,3,2
56971,211,3,3,4,2,4,4
56972,211,4,4,0,0,2,1
56973,211,3,3,3,1,1,4
56974,211,4,4,0,2,2,3
56975,211,3,3,0,3,3,3
56976,211,2,4,1,2,4,0
56977,211,3,,0,1,3,1
56978,211,1,2,0,3,2,None
56979,211,4,3,3,3,3,2
56980,211,3,3,1,2,4,2
56981,211,2,2,2,2,3,3
56982,211,3,3,0,3,2,3
56983,211,2,3,0,2,1,3
56984,211,3,4,0,2,2,3
56985,211,4,4,2,2,1,0
56986,211,3,3,0,2,3,1
56987,211,2,4,0,2,4,2
56988,211,1,3,0,2,3,3
56989,211,3,2,0,1,1,0
56990,211,4,3,1,2,1,3
56991,211,3,2,0,1,1,2
56992,211,4,3,1,3,3,1
56993,211,4,2,0,3,1,1
56994,211,3,3,4,2,3,3
56995,211,3,4,3,2,2,1
56996,211,2,3,3,1,1,1
56997,211,1,2,0,1,3,0
56998,211,4,3,0,2,1,2
56999,211,3,2,2,1,2,3
57000,211,2,3,0,3,1,4
57002,88,1,4,2,0,2,4
57003,88,4,4,2,3,0,1
57004,88,3,4,0,1,1,0
57005,88,2,3,0,0,3,4
57006,88,1,4,0,2,2,4
57007,88,3,4,0,3,1,2
57008,88,4,3,0,2,3,4
57009,88,4,4,3,3,4,3
57010,88,3,3,0,2,3,1
57011,88,4,4,1,1,1,2
57012,88,3,3,0,1,3,2
57013,88,4,3,0,2,1,0
57014,88,3,4,0,1,3,2
57015,88,4,3,0,1,1,2
57016,88,3,2,0,2,3,4
57017,88,4,3,3,1,1,4
57018,88,3,4,0,1,3,2
57019,88,3,3,0,0,4,1
57020,88,4,4,1,3,1,3
57021,88,3,3,0,1,3,3
57022,88,2,4,0,3,1,4
57023,88,1,4,1,2,3,2
57024,88,4,3,0,1,2,4
57025,88,3,4,0,2,3,4
57026,88,4,3,1,2,4,0
57027,88,3,4,1,1,3,2
57028,88,4,3,0,0,1,4
57029,88,2,3,4,2,3,2
57030,88,4,4,2,2,1,3
57031,88,3,3,2,1,3,2
57032,88,4,4,0,2,2,3
57033,88,3,3,0,3,4,3
57034,88,4,4,0,2,2,3
57035,88,3,3,4,2,1,1
57036,88,2,4,0,3,2,3
57037,88,4,4,0,2,3,1
57038,88,3,3,1,1,1,1
57039,88,4,2,3,1,3,0
57040,88,3,3,4,3,2,0
57041,88,4,2,0,2,3,1
57042,88,3,3,1,0,1,3
57043,88,4,2,0,2,3,1
57044,88,3,3,0,1,1,3
57045,88,4,4,1,1,3,2
57046,88,2,4,2,0,1,3
57047,88,3,3,0,3,3,1
57048,88,4,4,0,3,1,3
57049,88,3,4,1,0,2,2
57050,88,1,3,0,3,3,0
57051,88,3,4,0,3,4,1
57052,88,3,3,1,3,1,1
57053,88,2,2,1,3,3,4
57054,88,3,3,0,1,4,1
57055,88,3,4,0,2,1,2
57056,88,3,3,0,2,1,3
57058,37,4,4,0,2,2,2
57059,37,2,3,0,3,3,2
57060,37,0,4,3,0,2,1
57061,37,3,3,2,3,1,0
57062,37,4,4,2,1,1,2
57063,37,3,4,4,1,3,4
57064,37,4,3,3,2,1,3
57065,37,3,4,3,1,2,0
57066,37,2,4,1,1,3,1
57067,37,3,4,2,3,2,3
57068,37,2,3,1,2,3,3
57069,37,3,4,1,2,1,3
57070,37,2,3,0,2,3,2
57071,37,3,4,0,2,4,3
57072,37,4,3,0,2,1,2
57073,37,4,4,0,2,3,1
57074,37,3,4,3,2,3,2
57075,37,4,4,1,2,2,1
57076,37,3,4,0,1,1,1
57077,37,2,3,3,0,3,3
57078,37,4,4,0,2,3,3
57079,37,3,4,0,2,2,3
57080,37,2,3,3,2,1,3
57081,37,3,4,2,2,3,2
57082,37,4,3,1,1,1,3
57083,37,3,4,3,2,3,4
57084,37,2,3,0,1,4,4
57085,37,4,4,1,2,3,4
57086,37,3,3,3,3,1,2
57087,37,4,4,1,3,3,3
57088,37,4,3,3,3,1,2
57089,37,3,4,0,2,1,2
57090,37,2,3,0,2,3,1
57091,37,3,4,2,2,4,2
57092,37,4,3,0,1,1,1
57093,37,2,4,2,3,3,0
57094,37,4,3,0,3,1,1
57095,37,4,2,2,1,1,1
56364,258,4,3,0,0,2,3
56365,258,3,4,2,2,1,2
56366,258,4,3,1,3,3,3
56367,258,3,2,3,2,2,3
56368,258,2,3,2,1,3,3
56369,258,4,2,2,2,3,2
56370,258,3,4,3,1,4,3
56371,258,4,3,2,2,1,4
56372,258,4,4,1,2,3,2
56373,258,3,3,2,3,4,0
56374,258,4,4,3,2,3,0
56375,258,3,3,3,2,4,1
56376,258,4,3,3,2,3,3
56377,258,3,4,4,2,3,1
56378,258,4,3,1,2,2,1
56379,258,4,4,0,2,3,2
56380,258,3,3,0,3,2,3
56381,258,4,4,2,1,1,3
56382,258,3,3,2,3,3,2
56383,258,4,4,3,2,4,2
56384,258,4,3,0,3,3,4
56385,258,3,4,0,2,4,1
56386,258,4,3,2,1,2,4
56387,258,3,2,3,1,3,3
56388,258,4,3,3,0,1,2
56389,258,4,,3,2,0,3
56390,258,3,3,1,3,3,4
56392,253,2,4,0,1,1,2
56393,253,3,3,4,2,2,0
56394,253,2,4,3,2,3,1
56395,253,3,3,0,1,2,3
56396,253,4,4,3,4,4,1
56397,253,3,3,2,2,2,2
56398,253,4,4,0,2,1,1
56399,253,4,3,0,3,3,2
56400,253,3,4,1,2,2,2
56401,253,4,4,0,3,1,2
56402,253,3,3,2,2,3,3
56403,253,4,4,0,2,1,1
56404,253,3,4,2,2,3,3
56405,253,4,3,4,2,4,2
56406,253,2,2,2,3,3,4
56407,253,1,3,3,2,4,2
56408,253,2,4,1,3,1,3
56409,253,3,4,0,2,3,2
56410,253,2,4,0,3,1,1
56411,253,1,3,1,3,2,4
56412,253,3,4,0,3,3,1
56413,253,2,4,4,2,4,2
56414,253,3,3,3,3,3,3
56415,253,2,4,1,2,4,1
56416,253,4,3,3,3,3,4
56417,253,3,4,1,3,2,2
56418,253,4,3,0,1,1,3
56419,253,3,4,0,2,3,3
56420,253,4,4,2,3,4,3
56421,253,3,3,3,2,1,3
56422,253,2,2,3,2,3,4
56423,253,3,3,1,0,4,2
56424,253,4,4,1,0,1,2
56425,253,3,3,0,1,3,3
56426,253,4,4,2,2,4,2
56427,253,3,4,3,0,3,3
56428,253,4,3,2,3,4,4
56429,253,3,4,2,3,3,4
56430,253,4,3,4,3,1,2
56431,253,3,4,1,2,2,1
56432,253,3,3,1,2,1,4
56433,253,2,2,0,1,1,3
56435,132,3,3,0,3,3,2
56436,132,4,2,0,1,1,3
56437,132,3,3,0,1,2,4
56438,132,2,2,2,2,1,1
56439,132,4,3,2,2,3,3
56440,132,3,4,0,2,3,3
56441,132,4,3,3,1,4,3
56442,132,3,4,0,3,2,1
56443,132,4,3,3,1,4,1
56444,132,3,4,0,2,1,2
56445,132,2,3,1,3,1,4
56446,132,3,3,1,2,1,3
56447,132,4,2,0,2,3,2
56448,132,3,3,0,1,1,2
56449,132,4,4,1,2,3,3
56450,132,3,4,3,3,1,2
56451,132,4,3,0,2,3,3
56452,132,3,4,1,3,1,2
56453,132,2,3,0,3,0,1
56454,132,3,4,0,1,1,0
56455,132,2,3,2,3,3,1
56456,132,4,4,3,3,4,3
56457,132,2,4,2,2,1,3
56458,132,3,3,0,3,3,3
56459,132,4,4,0,2,4,2
56460,132,4,3,0,2,3,1
56461,132,3,4,1,0,1,3
56462,132,3,3,0,1,2,2
56463,132,2,4,1,3,1,1
56464,132,3,3,3,2,3,0
56465,132,2,4,0,2,3,2
56466,132,4,3,1,1,1,1
56467,132,4,2,0,1,3,2
56468,132,4,3,0,2,1,1
56469,132,3,3,4,1,4,4
56470,132,4,2,1,2,1,1
56471,132,3,3,4,2,3,3
56472,132,3,2,0,2,2,3
56473,132,4,4,0,2,3,2
56474,132,3,3,0,3,4,3
56475,132,4,4,1,1,1,3
56476,132,3,3,0,2,3,3
56477,132,4,4,1,2,4,1
56478,132,3,3,0,0,3,2
56479,132,4,4,0,3,4,1
56480,132,3,3,3,3,3,3
56481,132,4,2,0,2,1,1
35972,152,3,4,0,3,2,3
35973,152,1,3,3,2,1,3
35974,152,3,4,0,0,3,4
35975,152,2,3,2,2,2,2
35976,152,3,4,0,3,3,4
35977,152,3,3,3,3,1,0
35978,152,4,4,1,0,3,4
35979,152,3,4,3,2,3,3
35980,152,2,3,0,2,2,3
35981,152,4,4,0,1,3,3
35982,152,0,3,0,2,4,2
35983,152,3,4,4,1,3,1
35984,152,2,4,3,1,4,4
35985,152,3,3,2,2,3,2
35986,152,4,4,0,2,2,1
35987,152,3,3,2,1,3,3
35988,152,2,4,0,0,3,2
35989,152,3,3,0,3,4,3
35990,152,2,4,0,1,3,0
35991,152,3,3,1,2,1,1
35992,152,2,4,3,1,3,2
35993,152,3,3,1,0,2,3
35994,152,2,4,0,3,4,2
35995,152,4,3,3,3,3,4
35996,152,3,4,3,3,1,2
35997,152,4,3,2,1,3,2
35998,152,3,4,0,2,3,2
35999,152,4,3,0,3,4,1
36000,152,3,2,0,2,3,2
36001,152,2,3,2,1,2,0
36002,152,4,3,0,3,3,4
36003,152,3,3,2,2,4,1
36004,152,2,4,3,2,3,0
36005,152,2,3,0,1,4,3
36006,152,3,4,0,3,1,4
36007,152,1,3,0,0,3,3
36008,152,3,3,2,3,1,3
36009,152,4,4,0,2,3,3
36010,152,2,3,3,2,4,0
36011,152,3,4,1,1,3,1
36012,152,2,3,0,0,1,1
36013,152,4,4,3,2,2,1
36014,152,3,3,3,0,1,1
36015,152,2,4,1,1,3,2
36016,152,3,3,2,3,1,4
36017,152,2,4,1,1,3,1
36018,152,2,3,0,3,1,0
36019,152,3,4,2,3,3,4
36020,152,2,3,3,1,1,3
36021,152,3,4,0,2,3,3
36022,152,2,4,1,0,2,0
36023,152,3,4,2,1,3,1
36024,152,4,3,1,2,1,3
36025,152,3,4,0,2,3,0
36026,152,4,3,0,1,1,1
36027,152,3,4,0,0,3,1
36028,152,2,3,0,2,2,1
36029,152,3,4,0,3,1,2
36030,152,4,3,0,2,3,1
36031,152,3,2,0,2,4,3
36032,152,2,3,2,3,1,2
36033,152,3,4,4,3,3,4
36034,152,2,4,0,0,1,1
36035,152,4,4,0,2,3,3
36036,152,3,3,0,3,4,0
36037,152,2,3,2,2,3,2
36038,152,3,4,0,3,4,2
36039,152,4,3,3,2,1,3
36040,152,3,4,0,1,2,0
36041,152,4,3,0,2,3,3
36042,152,3,2,0,0,1,1
36043,152,0,3,1,2,3,2
36044,152,3,4,0,2,1,3
36045,152,4,3,2,2,3,1
36046,152,3,4,1,1,1,2
36047,152,2,3,0,0,1,1
36048,152,3,2,0,2,3,0
36049,152,2,3,0,2,1,3
36051,12,3,4,0,3,3,1
36052,12,4,3,3,2,4,1
36053,12,3,4,3,3,3,4
36054,12,4,3,1,2,4,4
36055,12,3,4,1,1,3,3
36056,12,2,3,1,1,4,3
36057,12,2,4,1,0,3,3
36058,12,1,3,0,0,4,0
36059,12,4,3,0,2,3,4
36060,12,3,2,2,1,1,3
36061,12,4,3,2,3,3,2
36062,12,4,4,3,0,4,2
36063,12,3,4,0,3,1,1
36064,12,2,3,1,3,3,2
36065,12,2,2,2,3,1,1
36066,12,3,4,3,3,3,0
36067,12,3,3,3,2,4,3
36068,12,4,3,2,1,3,2
36069,12,3,3,0,3,2,3
36070,12,2,2,0,3,3,2
36071,12,,2,0,2,4,2
36072,12,,2,1,2,3,2
36073,12,,4,1,0,4,2
36074,12,2,3,1,2,3,1
36075,12,4,4,0,3,2,2
36076,12,4,4,3,2,1,3
36077,12,3,4,0,2,3,3
36078,12,4,3,1,1,4,4
36079,12,2,4,3,2,3,4
36080,12,3,3,0,2,1,0
36081,12,4,4,1,0,3,1
36082,12,2,2,0,2,4,1
36083,12,0,2,0,1,1,3
36084,12,3,3,0,3,2,1
36085,12,4,4,1,2,1,4
36087,190,3,3,1,1,3,1
36088,190,3,4,2,3,1,3
36089,190,2,3,3,2,3,1
36090,190,4,2,0,2,3,4
36091,190,3,4,2,2,4,2
36092,190,2,3,0,3,3,2
36093,190,3,4,2,3,2,3
36094,190,4,3,0,0,3,3
36095,190,3,4,1,3,3,4
36096,190,4,3,0,1,3,3
36097,190,3,2,0,1,2,0
36098,190,2,2,1,2,3,2
36099,190,4,3,3,2,4,2
36100,190,3,4,0,0,3,2
36101,190,4,3,0,2,3,3
36102,190,3,2,1,3,4,3
36103,190,2,3,3,3,3,2
36104,190,3,2,1,0,4,0
36105,190,4,3,1,3,3,0
36106,190,3,4,3,1,4,2
36107,190,3,3,2,2,3,4
36108,190,3,4,3,2,4,3
36109,190,2,3,3,3,3,3
36110,190,3,2,1,2,2,3
36111,190,2,3,0,1,3,3
36112,190,4,4,1,3,1,3
36113,190,2,3,1,2,3,0
36114,190,3,3,1,2,2,3
36115,190,3,2,0,0,3,0
36116,190,4,3,3,3,4,2
36117,190,3,2,0,2,3,4
36118,190,2,3,2,1,2,2
36119,190,4,4,2,0,3,3
36120,190,2,4,0,3,1,1
36121,190,3,2,0,0,3,4
36122,190,1,3,0,1,1,2
36123,190,4,4,0,2,3,3
36125,119,3,3,3,2,2,4
36126,119,3,4,2,0,1,2
36127,119,4,3,0,3,3,4
36128,119,4,4,0,3,4,4
36129,119,3,3,4,2,3,2
36130,119,2,4,3,3,2,4
36131,119,3,4,0,2,3,2
36132,119,3,4,1,1,4,1
36133,119,3,3,3,2,3,4
36134,119,4,3,0,2,4,1
36135,119,4,4,3,0,3,2
36136,119,3,4,1,2,2,0
36137,119,4,4,1,2,1,2
36138,119,3,3,0,0,3,0
36139,119,4,2,0,2,1,3
36140,119,3,3,0,2,2,1
36141,119,4,2,1,2,3,1
36142,119,3,3,1,3,1,3
36143,119,2,4,4,3,3,4
36144,119,2,3,0,2,1,1
36145,119,2,4,1,3,3,2
36146,119,3,3,0,2,2,3
36147,119,2,4,3,2,1,4
36148,119,4,3,1,3,3,0
36149,119,3,2,0,1,1,3
36150,119,3,3,0,0,3,4
36151,119,4,2,0,3,2,3
36152,119,3,3,0,1,3,2
36153,119,2,4,0,2,1,1
36154,119,3,3,0,1,3,0
36155,119,4,4,0,2,1,2
36156,119,3,3,3,1,3,4
36157,119,4,3,1,0,2,3
36158,119,3,2,0,2,3,0
36159,119,4,3,3,0,1,2
36160,119,3,4,0,2,0,1
36161,119,4,3,0,3,1,0
36162,119,3,4,0,2,2,1
36163,119,3,3,0,3,3,3
36164,119,2,4,0,2,1,2
36165,119,4,3,0,2,3,1
36166,119,3,2,3,2,4,2
36167,119,3,4,3,1,3,3
36168,119,2,3,0,1,1,3
36169,119,1,2,2,1,1,3
36171,80,3,4,0,2,3,4
36172,80,4,3,0,2,1,3
36173,80,3,2,0,2,3,3
36174,80,2,3,3,3,1,1
36175,80,4,2,2,3,3,0
36176,80,3,3,3,2,4,3
36177,80,3,2,0,2,3,2
36178,80,3,4,2,1,1,3
36179,80,4,3,3,2,3,2
36180,80,3,4,1,2,4,1
36181,80,2,3,0,2,3,2
36182,80,3,2,3,2,4,0
36183,80,4,3,1,2,3,3
36184,80,3,4,0,2,2,3
36185,80,2,4,0,1,3,3
36186,80,3,3,0,1,1,2
36187,80,4,4,0,3,0,3
36188,80,3,3,0,2,3,3
36189,80,2,2,2,1,4,3
36190,80,3,4,0,2,1,1
36191,80,2,3,0,3,3,4
36192,80,2,3,0,3,3,1
36193,80,2,2,2,1,2,4
36194,80,4,3,2,2,3,0
36195,80,3,4,3,2,1,2
36196,80,2,3,3,3,3,4
36197,80,3,2,0,0,2,4
36198,80,2,3,0,3,3,1
36199,80,4,2,1,0,4,3
36200,80,3,3,0,3,1,0
36201,80,1,4,3,2,3,3
36202,80,2,3,1,3,1,4
36203,80,1,4,0,3,3,3
36204,80,4,3,0,2,4,3
36205,80,3,2,0,2,3,3
36206,80,2,4,0,2,1,3
36207,80,3,3,1,2,1,1
36208,80,4,4,1,3,3,3
36209,80,3,3,0,3,1,None
36210,80,4,4,1,0,3,4
36211,80,3,3,0,2,1,0
36212,80,2,4,0,2,3,4
36213,80,4,3,3,0,4,3
36214,80,3,2,0,2,3,1
36215,80,4,4,0,2,1,1
36216,80,3,4,0,0,3,1
36217,80,2,3,0,3,1,3
36218,80,4,4,0,2,3,3
36219,80,2,3,1,2,4,3
36220,80,3,4,2,2,1,2
36221,80,4,4,0,3,3,3
36222,80,3,3,0,2,4,3
36223,80,4,4,0,2,3,2
36224,80,3,3,2,2,1,1
36225,80,,4,3,3,2,1
36226,80,,4,3,1,1,2
36227,80,,3,3,3,3,1
36228,80,3,4,4,2,1,1
36229,80,,3,3,1,3,3
36230,80,,3,0,2,1,0
36231,80,,2,0,0,0,0
36232,80,,3,0,3,1,2
36233,80,,4,2,3,3,3
36234,80,,4,1,3,1,1
36235,80,,3,3,3,2,2
36236,80,,2,0,3,3,4
36237,80,,3,0,3,4,2
36238,80,,4,0,1,3,1
36239,80,,3,2,3,2,3
36240,80,,2,0,3,1,3
36241,80,4,4,1,2,2,0
36242,80,4,4,3,2,3,3
36243,80,3,2,2,2,1,4
36244,80,,3,3,1,3,3
36245,80,,4,4,2,1,3
36246,80,,3,0,0,0,2
36248,257,,4,1,2,1,0
36249,257,,3,1,3,3,4
36250,257,3,2,1,2,3,1
36251,257,,3,3,1,4,2
36252,257,,4,4,3,2,2
36253,257,,3,3,2,1,3
36254,257,,3,2,3,3,3
36255,257,3,3,2,2,1,4
36256,257,3,2,3,2,0,2
36257,257,4,3,0,1,3,0
36258,257,3,4,2,2,1,4
36259,257,4,3,3,1,3,3
36260,257,2,4,3,3,2,1
36261,257,3,3,3,1,1,1
36262,257,4,2,0,1,2,3
36263,257,3,3,1,0,1,2
36264,257,4,4,1,3,3,4
36265,257,3,3,1,1,1,2
36266,257,4,4,3,2,3,2
36267,257,3,3,1,1,4,1
