id,text,teacher_uptake_student,student_uptake_teacher
22323,"TEACHER:
    Interesting, I've got to think about this one!
    Yes, I suppose as a Germanic language it will be
    A tiny thing: we don't really use possessive 's with inanimate nouns
    For example, <STUDENT>'s book vs. the genders of nounds
    *nouns, sorry STUDENT:
    Indeed I felt weird when typing 'pumpkin's'..",0.968224181,0.530994621
22324,"TEACHER:
    Yes, that's it, you probably know it intuitively!
    The names of animals count as animate nounds too, e.g. a swan's bill, a squirrel's tail
    but 'the legs of a table' STUDENT:
    Unfortunately I like to use language: I have read a lot in English. Thank you!",0.672625169,0.882140803
22325,"TEACHER:
    This is not unfortunate, is it? :) STUDENT:
    but 'bread with seeds of pumpkin' doesn't sound right...",0.333196342,0.642768422
22326,"TEACHER:
    Oh, and 's is used with time phrases too, as you probably know. this week's newspaper, a month's salary STUDENT:
    No, it isn't...but I realise just now how much I know 'intuitively' but I don't really control.",0.351348909,0.410838544
22327,"TEACHER:
    No, that's because it's 'pumpkin seeds' :) STUDENT:
    okay...so a day's work, yes, I know this intuitively",0.096416761,0.550348563
22328,"TEACHER:
    That's a sign of someone who is bilingual or a native speaker
    It's only if you learn the language from textbooks that you know the rules STUDENT:
    Okay, then I will be extra careful about it ;) Even though my guess would be that many English speakers get it wrong too...
    I agree with you on learning from the textbooks...the problem is that oftentimes, especially here in Italy, you study the grammar before you really know how to write a proper sentence.",0.593251341,0.999093773
22329,"TEACHER:
    Back to the bread, you can just go with 'pumpkin seed bread'
    German-style, but in three words
    Yes, that's how I learnt English, grammar first! I feel that it pays off though if you have a chance to practise a lot afterwards STUDENT:
    Easier to pronounce ;) okay...so in general I would put before the noun 'bread' the adjectives, in this case pumpkin seed.
    Or whole flower bread...okay, I got this!",0.990011475,0.998959632
22330,"TEACHER:
    Yes, that would make a compound noun
    Yes, wholewheat flour bread STUDENT:
    Well, after high school I studied math and now I work with artificial intelligence: so I always used English for 'practical' reasons, but it has been a while since I opened a grammar book.",0.998259567,0.163320087
22331,"TEACHER:
    Or sourdough bread, the lockdown craze in the UK :) STUDENT:
    haha, yes! I wanted to write 'whole flour bread' but then I stopped fearing that this is the US American spelling...
    would that be wrong?",0.071975392,0.995639361
22332,"TEACHER:
    Hmm, let me think.
    Whole milk vs. (semi-)skimmed milk
    but wholewheat flour
    We want to stress here that the flour is made out of whole wheat
    rather than the idea that the flour is whole STUDENT:
    I am unsure about what 'flour is whole' would mean...",0.998047244,0.999075255
22333,"TEACHER:
    Oh, what I mean is that we use 'wholewheat flour' as opposed to 'whole flour'
    because, as you say, 'whole flour' does not make sense STUDENT:
    okay, thank you for the clarification!",0.999482873,0.727492554
22334,"TEACHER:
    No worries. You mentioned that you are interested in punctuation in the sign-up form
    In the following sentence, a punctuation mark could make it much clearer what you mean
    I wanted to write 'whole flour bread' but then I stopped fearing that this is the US American spelling... STUDENT:
    Yes, punctuation is one of those things that I have never fully understood. The Oxford comma and so on...
    Is there a mistake in that last sentence you copy-pasted?",0.491766372,0.998600377
22335,"TEACHER:
    Not really, but when I first read it, I thought that you stopped being afraid that this was the American spelling
    as in 'you were not afraid anymore'
    If you put a comma after 'stopped', that would make it much clearer in my opinion STUDENT:
    haha...so a grammatically correct sentence, but with a weird meaning...a comma was missing.",0.997142535,0.996574079
22336,"TEACHER:
    I wanted to write... but then I stopped, fearing that this is the American spelling
    Does it make sense? STUDENT:
    Indeed! After you wrote about what you understood while reading the sentence I was wondering wether I would put the comma after 'then' or after 'stopped'...
    Would both options be correct?",0.953542682,0.996182275
22337,"TEACHER:
    If you put a comma after then, this would definitely read like you are not afraid that this is American spelling anymore)) STUDENT:
    Yes, indeed...I think this option came to my mind because in Italian there is an expression I would have used in this context i.e., 'poi però', which is often followed by the comma.",0.999489455,0.996855315
22338,"TEACHER:
    I see! I'm thinking of an example
    I was afraid to go to the market because of the risk of infection, but then, I stopped fearing, put my face mask on and went
    Silly example, just ot illustrate the point
    *to illustrate
    Mind you, your original sentence was good without the comma too, and this is a confusing thing about the English punctuation: very little of it is obligatory or regulated by clear rules STUDENT:
    I see your point, but a comma would have made the sentence much less ambiguous...",0.993140352,0.997445226
22339,"TEACHER:
    Yes, true!
    I'd like to recommend an excellent book on the subject. It's called 'Eats, shoots and leaves' by Lynne Truss STUDENT:
    Thank you for the recommendation! I will definitely take a look at it!",0.475449752,0.986004706
22340,"TEACHER:
    It's a really engaging read and explains some of those punctuation nuances really well
    The title was inspired by a joke about a panda. Do you know this one? STUDENT:
    No, I don't...
    ...and I don't see how pandas could come into play with that title, to be honest ;)",0.564658896,0.998529009
22341,"TEACHER:
    Well, a panda walks into a cafe, eats a sandwich, then produces a gun, fires two shots in the air and heads towards the exit
    The waiter asks, 'What was this about?'
    The panda produces a badly punctuated wildlife manual and shows it to the waiter
    The entry for 'panda' says, 'Panda. Large black-and-white mammal, native to China. Eats, shoots and leaves.' STUDENT:
    Haha...this time there was an extra comma! Very nice :)",0.995697189,0.510806619
22342,"TEACHER:
    Yes, exactly! The importance of punctuation))
    So, what kind of AI are you working on? STUDENT:
    Currently I am working on a few projects...but the main one, which made me realise that my English knowledge is okay but not excellent, is about GEC...that is, you guessed it, Grammatical Error Correction.",0.169789975,0.961522757
22343,"TEACHER:
    Interesting! Are there any areas of grammar that you think you would like to improve?
    Your English is excellent, and I'm nit-picking to find something to help you with, to be honest STUDENT:
    Well, thank you! I am not sure...as an Italian I realise that my language use is a bit peculiar, for example I tend to use a lot of words with latin etymology. If you noticed this, maybe I would like to know some more common alternatives...
    Or there are some sentences which I am not sure if or why they are correct. I guess those could shed some light on some grammatical areas I don't fully control.",0.992423028,0.990478504
22344,"TEACHER:
    Oh I see what you are saying (I haven't noticed). It would be wrong not to take advantage of 60% of the English wordstock. If I recall correctly, this is how much the words of Latin origin make up STUDENT:
    I see, then I will ask you the following:
    Is the sentence 'There are two teachers in class' wrong? I have found something similar in a grammar book, and they suggested 'There are two teachers in the class' as the correct version.
    Do they have different meanings, or is me not seeing what is wrong with the first one?",0.986007402,0.869132794
22345,"TEACHER:
    Ah, articles! Yes, you usually need to use 'the' with indications of place STUDENT:
    What I was wondering is if, in this case, 'class' could also mean 'lesson' and so the first one could be correct...",0.890166411,0.664051869
22346,"TEACHER:
    Class' in this sentence is a singular noun, so you need some kind of an article. STUDENT:
    As in two teachers are teaching the lesson...but maybe it would be a singular noun anyway...",0.9953234,0.999452723
22347,"TEACHER:
    I see what you're saying, but class=lesson is also a singular noun and requires an article
    Yes, that's right!
    And, just like you said right now, you would be more likely to say 'two teachers are teaching a class' STUDENT:
    Okay, anyway thank you for clearing that up! I didn't realise there are this many rules connect with 'animated objects' or 'indications of place'.",0.999508752,0.744212497
22348,"TEACHER:
    I've got an idea. Maybe you could send me a piece of your writing that you think could be improved prior to the next class? Then we could have a more focussed practice next time, looking at the grammar, style and punctuation STUDENT:
    Yes, that is definitely an option. Okay! I will sent you two pieces of writing. One written in a speedy manner, one more carefully...",0.475251988,0.986426683
22349,"TEACHER:
    Ok, excellent! Would a class at the same time next week suit you? STUDENT:
    I would prefer it to start at 11:00, but if that is not possible 9:30 will be fine :)
    (oh, I forgot the 'a.m.' there...)",0.76797655,0.939868118
22350,"TEACHER:
    that's ok, please give me a minute to calculate the time difference
    is it 11 GMT? STUDENT:
    yes
    which means 14 here (so I can take the lesson after lunch)",0.943922747,0.280111253
22351,"TEACHER:
    Just checking my timetable
    We should be still on summer time here in the UK, so yes, 11 GMT is good! STUDENT:
    Okay. Well, let me know if you realise the time changes. Perfect!
    Thank you for your time! I am looking forward to the next lesson :)",0.710296765,0.975223544
22352,"TEACHER:
    No, it should be fine. It just takes me a moment to switch between time zones, with students in different countries
    My pleasure, have a lovely week, speak to you on Tuesday! STUDENT:
    You too, bye!",0.969549194,0.979863854
22354,"STUDENT:
    Good afternoon <TEACHER> TEACHER:
    Hi <STUDENT> - how are you?",0.753080553,
22355,"STUDENT:
    Today is the second day of my new cycle quarantine.
    I suppose I'm used to living in isolation, because my schedule is like the previous 14 days. TEACHER:
    Yes I guess you must be used to it by now! Is there anything different about where you are now compared to before?",0.964954774,0.583104527
22356,"STUDENT:
    no!! maybe it is just living in different hotels.
    But sometimes I really want to go for a run. TEACHER:
    Right I see...yes I'd really like to go for a run too. I normally run a lot but I have a knee injury at the moment. Ironically, I'd be stuck inside anyway even without this virus!
    So you just have to stay in a room all day?
    How do you get your meals?",0.999162796,0.97662715
22357,"STUDENT:
    yes, I know you said it before.
    without doubt, it will be my most memorable 28 days, TEACHER:
    Yes,,you'll look back on it with nostalgia ....",0.793542328,0.428900394
22358,"STUDENT:
    everyday nurses give to me normal males. TEACHER:
    the nurses give you normal meals yeah? Do they wear full protective equipment?",0.998481793,0.485011208
22359,"STUDENT:
    but they all different. yes!!! they all wearing full protective equipment.
    and I was required to test my body temperature twice a day. TEACHER:
    It must be like something out of a movie!? Sorry <STUDENT> but: 'they all wearing full protective equipment.' Happy with this??",0.999417712,0.999496142
22360,"STUDENT:
    when I lived in hospital at the first day, everything I thought is like a movie of 100%. TEACHER:
    Yes I can imagine!",0.845381071,0.996921954
22361,"STUDENT:
    yes....I was happy with that, because I can far away from my parents...haha TEACHER:
    Oh right I see! But what I meant was: are you happy with the grammar in English of your sentence??!! 'they all wearing full protective equipment.'",0.733376925,0.872327129
22362,"STUDENT:
    maybe I need to use present perfect TEACHER:
    Ah ...well if you're talking about right now then the present continuous is OK but have you used it correctly here?
    THis is the same mistake you made before (that's why I'm asking you again!)",0.93400819,0.413502851
22363,"STUDENT:
    no..I think I talk about a period of the time. TEACHER:
    OK <STUDENT> ...hold on
    Don't worry about changing the tense...it's not the problem here
    You can use the presnent continuous but you have to make it correctly!
    With two words remember!!",0.649782465,0.760764143
22364,"STUDENT:
    yes!! TEACHER:
    They _____ wearing ...'?",,0.76895236
22365,"STUDENT:
    they are  wearing TEACHER:
    Yes ok good thanks!",0.836439957,0.999453031
22366,"STUDENT:
    I think I need to punish myself. TEACHER:
    You could also use present simple here: 'They all wear protective ...' = correct too",0.500375705,0.425835629
22367,"STUDENT:
    I always forget it TEACHER:
    Yes don't worry ...it's normal ..not only you! 2 steps forward one step back ..it's normal!
    <STUDENT> let me give you your paragraph from yesterday....
    One of the most significant negative effects of playing video games is that they can lead to violent behaviour. It is difficult for children to distinguish between video games and reality. Because many games are designed for adults, they may often contain violent content. As a result, young people are likely to copy the violence they see, and this can result in them bullying classmates for example.",0.9191997,0.55655712
22368,"STUDENT:
    yes.. I learn a new word of 'copy' is 'imitate' TEACHER:
    Yes that's a very good idea! You could definitely use it here
    This is quite good in many ways...but I wonder: there are 4 sentences here. Can you put them in a different order so the paragraph is a bit more logical? You only have to change one sentence (I mean put it in a different place) Which one ?
    1,2,3, or 4?
    Don't worry if you're not sure...",0.661441072,0.976952802
22369,"STUDENT:
    apply 2 to 1 TEACHER:
    So hold on..you mean the first sentence should be different?
    I like that first sentence!!",0.541453666,0.251797707
22370,"STUDENT:
    ok..I am not sure TEACHER:
    No problem...well for me <STUDENT> changing round 2 and 3 seems a bit better
    So...One of the most significant negative effects of playing video games is that they can lead to violent behaviour. Because many games are designed for adults, they may often contain violent content. It is difficult for children to distinguish between video games and reality. As a result, young people are likely to copy the violence they see, and this can result in them bullying classmates for example.
    So the 'as a result' directly follows the fact that they can't tell it isn't real do you see?",0.80119204,0.433198814
22371,"STUDENT:
    yes.. I see it TEACHER:
    OK cool ...",0.884584602,0.616588542
22372,"STUDENT:
    it become more logic, 1. topic sentence 2.the explain of main idea 3.consequence TEACHER:
    Yes i think so
    But don't worry too much ..i think your priority <STUDENT> is still gettgin the language right ...your understanding of paragraph/essay structure is pretty good i think",0.650691623,0.854660089
22373,"STUDENT:
    so..this structure is normal and academic in English writing, right? TEACHER:
    Yes absolutely - it's fine",0.845021454,0.980008875
22374,"STUDENT:
    I like it TEACHER:
    Ok <STUDENT> - can i give you a choice..do you want to try answering some part 3 speaking questions or would you prefer trying another paragraph (on a different topic)",0.657092796,0.889856078
22375,"STUDENT:
    I prefer to trying another paragraph TEACHER:
    OK fine...hold on a sec (by the way, you can suggest a topic if you want to practise a particular one..if not i'll choose for you!)",0.697873276,0.999114062
22376,"STUDENT:
    I don't have any ideas..... TEACHER:
    OK no probs hold on",0.616033851,0.324982859
22377,"STUDENT:
    ok TEACHER:
    In some countries people prefer renting their homes to buying them. What are the advantages and disadvantages of renting?
    OK make sense? Give me a couple of main ideas just with basic keywords if you like...i'll give you a minute OK?",,0.855660265
22378,"STUDENT:
    1. cheaper  2.easy to moving 3.high price can rent a high quality house, but it still cheaper than buy a normal house
    and disadvantage is following... TEACHER:
    OK yes understood thanks...ok i'll wait!",0.480838228,0.989541194
22379,"STUDENT:
    1. can't buy huge and expensive furnitures   2. sometimes It doesn't feel like home. TEACHER:
    OK thanks <STUDENT>! Can i just check your first disadvantage? The 'furniture' one? What do you mean here?",0.990756827,0.693394091
22380,"STUDENT:
    like... tables, beds, refrigerator ...... TEACHER:
    Ok yes I understand what furniture means! (not a fridge by the way) ...but why can't you buy a large table for example if you;re renting?",0.999012703,0.942944587
22381,"STUDENT:
    because when you move to another city or place, it is very unconvenience to move them. TEACHER:
    Ah ok I'm with you! Yes of course (just checking though because you'll have to explain this if you use it as a main idea right?) Quick question: 'it is very unconvenience ' What kind of word do you need after 'very'? (noun/verb/adjective?",0.997944384,0.268180925
22382,"STUDENT:
    adjective I think.. TEACHER:
    OK good yes! Can you change your word to an adjective?
    incon_ _ _ _ _ _ _ '",0.996032188,0.995070331
22383,"STUDENT:
    very inconvenience TEACHER:
    Hold on <STUDENT>....'importance' = adjective or noun?",0.820841798,0.750643934
22384,"STUDENT:
    noun
    because important is an adjective. TEACHER:
    OK good! Can you apply this rule to your two words from just before?
    So 'inconvenience' = Noun/adjective?",0.99739958,0.999508561
22385,"STUDENT:
    is a noun TEACHER:
    OK good..and the adjective you need is?",0.996544254,0.995714402
22386,"STUDENT:
    inconvenient TEACHER:
    OK good!
    So <STUDENT> ...getting verb tenses and getting nouns/verb/adjective forms right are two big things you can improve for a better score ok?",,0.589738808
22387,"STUDENT:
    ok,thanks TEACHER:
    Quick test coming up OK? Choose the right option for each sentence : We need silence/silent in the room please. It’s difficult to tell the difference/different between twins. Lung cancer is a common consequence/consequent of smoking.",,0.592123525
22388,"STUDENT:
    silent/difference/consequence TEACHER:
    THanks <STUDENT>...you need to change one of your answers! Which one?",,0.998714458
22389,"STUDENT:
    slience TEACHER:
    Yes ok good!
    You need 'something' right (a noun in other words) .... you can say need TO + verb",,0.83915753
22390,"STUDENT:
    need to slent
    silent TEACHER:
    Ah well.....need to + verb so....where's the verb in your last example??
    You would need to add one! 'We need to ____ silent now.'??",0.96961292,0.617057246
22391,"STUDENT:
    we need to be silent now. TEACHER:
    OK good! good to focus on this stuff! OK <STUDENT> speak to you after the break..bye for now...",0.82448281,0.996334967
22393,"TEACHER:
    Welcome back <STUDENT>... STUDENT:
    hey, i am here",,0.9859099
22394,"TEACHER:
    OK a quick vocabulary exercise for you based on earlier ... hold on STUDENT:
    ok",0.691797763,0.849298003
22395,"TEACHER:
    Just match up the letters and numbers and show me OK? Take a couple of minutes and if you aren't sure no problem: 1. change 2. personality (in general) 3. be born 4. predetermined 5. get from (e.g. parents) 6. give to (e.g. children) 7. characteristic (e.g. one particular example) 8. things that are the same  9. to be born with   a. pass on b. fixed c. alter d. similarities e. innate  f. birth g. character h. inherit i. quality
    Is that clear? STUDENT:
    yes",,0.555255374
22396,"TEACHER:
    ok STUDENT:
    1- c / 2 - g / 3 - f / 4 - b / 5 - h / 6 - a / 7 -  e / 8 - d / 9 - f
    I am not sure of number 7",,
22397,"TEACHER:
    OK thanks <STUDENT> - very good overall hold on...
    ok
    so 'innate' = something your born with e.g. Children seem to have an innate sense of fairness. And e.g. patience, honesty, a sense of humour  are all examples of particular personal qualities or characteristics (OK?!)
    So 7 = i and 9 = e ! STUDENT:
    okey~I write them on notebook",0.946802692,0.66827246
22398,"TEACHER:
    OK great - OK can I give you one final test now - you will need one word from the second group to complete the following sentences
    1. My father ___________ his love of fishing to me and my brother.. 2. Our personalities are __________, perhaps not from ________, but certainly when we reach adulthood. 3. Beethoven’s musical talent was ________. He could compose symphonies from the age of four! 4. Honesty and kindness are very important __________. 5. It’s very difficult or perhaps impossible to __________ your character – your genes play a very significant role.
    OK? One word from the SECOND group... STUDENT:
    okey, i know the second group is from a to i",0.82630996,0.955561795
22399,"TEACHER:
    yes that's it STUDENT:
    1. pass on  2. similarities / inherit 3. brith  4.character  5.  alter",0.713092704,0.782138473
22400,"TEACHER:
    OK thanks <STUDENT> - good answers for 1 and 5. let me make the other examples clearer STUDENT:
    okey",0.904114097,0.851531426
22401,"TEACHER:
    So number you need an adjective which means 'something that is set/that you can't change...and the next word in number two means 'from the first day of you life'! NUmber 3: his talent was something he was born with e.g. 'an i_ _ _ _ _ 'talent'. and number 4: kindness etc ...these are particular characteristics or 'qu.........'?!
    Sorry the first comment connects to number 2 ok? STUDENT:
    innate     quality",,0.766459419
22402,"TEACHER:
    OK <STUDENT> ..so number 2: IF i say our personalities can't be changed I can say: 'Our personalities are 'f _ _ _ _ '? STUDENT:
    our personalities are fixed",0.831853845,0.99869668
22403,"TEACHER:
    yes good ...and maybe not from ' b _ _ _ _ ' but quite soon afterwards? STUDENT:
    brith",0.787363877,0.520067282
22404,"TEACHER:
    ok yes 'birth'
    AND number 3: Beethoven;s talent was 'i _ _ _ _ ' ?
    It means something he was born with! STUDENT:
    innate",,0.831796245
22405,"TEACHER:
    ok great! And e.g. patience/honesty/kindness/selfishness etc are ....? STUDENT:
    character",,0.824029574
22406,"TEACHER:
    you need a COUNTABLE noun here ...so e.g. 'character' is not possible (at least in this context) - a person's character is made up of different _______?
    Qu....' or 'ch...' = both possible STUDENT:
    qualities
    characters",,0.987992497
22407,"TEACHER:
    yes good ...or characteristics ...OK? Both are countable and mean particular features ...your CHARACTER or PERSONALITY = uncountable (at least for one person they are uncountable )
    So in other words a person's character or personality includes different specific qualities or characteristics (OK?) STUDENT:
    not ok",0.996630554,0.350207382
22408,"TEACHER:
    Ha!
    Hold on... STUDENT:
    we can only write characteristics here",0.832770225,0.512484125
22409,"TEACHER:
    No 'qualities' is OK too = the same thing
    Oh sorry yes you can't write character
    character is formed by a GROUP of characteristics STUDENT:
    okey, I got it. thanks",0.999092179,0.680213016
22410,"TEACHER:
    OK cool - so final answers for the record = 1. My father PASSED ON  his love of fishing to me and my brother.. 2. Our personalities are FIXED perhaps not from BIRTH but certainly when we reach adulthood. 3. Beethoven’s musical talent was INNATE He could compose symphonies from the age of four! 4. Honesty and kindness are very important QUALITIES. 5. It’s very difficult or perhaps impossible to ALTER your character – your genes play a very significant role.
    Are you able to copy and paste from this box <STUDENT>?
    I mean without writing with a pen STUDENT:
    Not easily, but I will practice to remember them in my mind",0.878057806,0.807215741
22411,"TEACHER:
    OK fine - I'll consider using material that i can maybe send you in an email first OK? It might be easier for you... STUDENT:
    yes that great I think it can be easier too
    thanks",0.879573312,0.995334596
22412,"TEACHER:
    So <STUDENT> if you can, write a two-sentence introduction for the original essay question from earlier today OK? Don't worry too much about 'difficult' words OK? Just be direct and clear if you can....remember the question&gt; Here it is: Our personalities are predetermined as a result of our genes and there is nothing we can do to change them. To what extent do you agree?
    I'll give you a couple of minutes OK?
    Remember: one background sentence and one 'thesis sentence! STUDENT:
    okey",0.955192426,0.596528173
22413,"TEACHER:
    ok STUDENT:
    it is argued that our characteristics are fixed  and we are not able to alter it. Although I strongly agree whit that genes play a significant role, learning afterward is more important.",,
22414,"TEACHER:
    OK thanks a lot <STUDENT> - you've really tried to copy the idea of the model we look at before with IELTS introductions in general and I think that's great so well done
    YOu might feel this is too short/simple but trust me it;s a good start! STUDENT:
    okey, thanks a lot",0.706703347,0.898563454
22415,"TEACHER:
    Good use of keywords too....
    So it is argued that our characteristics are fixed and we are not able to alter _____ (plural pronoun?!). Although I strongly agree whit ('with' + noun - do you need it here? )that genes play a significant role, learning afterward is more important.
    significant role' + good too by the way!
    sorry = good I wanted to say STUDENT:
    it is argued that our characteristics are fixed and we are not able to alter our qualities.
    Although I strongly agree with it that genes play a significant role, learning afterward is more important.",0.70039536,0.999441969
22416,"TEACHER:
    OK thanks <STUDENT>, so here's the two little changes I sas thinking of and also a suggestion for developing the end a little bit: It is sometimes argued that our characteristics are fixed and we are not able to alter them. Although I strongly agree that genes play a significant role, our learning and experience after birth is more important in forming our personalities. OK?!! STUDENT:
    yes,that is perfect",0.999460664,0.245794693
22417,"TEACHER:
    So in other words 'them' instead of 'it' (because characteristics is plural) and delete 'with' because you're using a subject/verb structure so you on'y need : I agree that.....
    BUT a good intro overall <STUDENT> - you;re on the right track OK? STUDENT:
    I think writing in this way is more academic than I wrote before.",0.306928934,0.881266336
22418,"TEACHER:
    OK fine - I guess that's it for today <STUDENT> - thanks. So I'll speak to you tomorrow from 14:00 ...bye STUDENT:
    okey,bey",0.603764729,0.795001341
22419,"TEACHER:
    cheers... STUDENT:
    good night",,
22421,"STUDENT:
    Hello <TEACHER>! TEACHER:
    Hi <STUDENT>!
    How are you?",0.998309213,
22422,"STUDENT:
    I'm fine! Thank you. And you?
    I did Part 1 of Listening TEACHER:
    Good, thank you!
    Ok, cool! How did it go?",0.875281159,0.988716789
22423,"STUDENT:
    No mistakes
    How about we continue together? TEACHER:
    Yaay, well done!",0.222673118,0.847554429
22424,"STUDENT:
    I've got everything set up =. TEACHER:
    Hmm, I'm just worried we won't produce as much of a chat as we would otherwise!",0.478459093,0.886492064
22425,"STUDENT:
    Oh, I see
    Ok then. TEACHER:
    Sorry!",0.83945281,0.461136707
22426,"STUDENT:
    Sure TEACHER:
    I think the following parts are longer chunks of listening, too
    I mean, longer audio files",,
22427,"STUDENT:
    It appears so TEACHER:
    Shall we go back to the Use of English we started on last time? From the teacher's handbook pdf",0.55958003,0.612702885
22428,"STUDENT:
    Yes. Let's do that TEACHER:
    Lovely! I think we stopped at part 3",0.596816452,0.79985715
22429,"STUDENT:
    What handbook should I open?
    The printed?
    The pdf? TEACHER:
    The one I sent to you last time, please. The pdf is called 168194-c2-proficiency teachers booklet
    I can re-send it!",0.999144144,0.509529304
22430,"STUDENT:
    That would've been great TEACHER:
    Sure",0.742711544,0.524181808
22431,"STUDENT:
    I can't seem to find it TEACHER:
    You should have it in a sec
    It should be page 16 for you I think. Trouble is, the page count in my pdf reader is different from online!",0.574306945,
22432,"STUDENT:
    Do we start with Part 4? TEACHER:
    Part 3, please! I don't think we did part 3",0.975818286,0.633754909
22433,"STUDENT:
    Ok. Got it TEACHER:
    Or did we?",0.595633499,0.685660324
22434,"STUDENT:
    17 scarcity
    18 genetically
    19 occurance
    occurrence TEACHER:
    good correction!",0.723988641,0.74551067
22435,"STUDENT:
    20 sensitivity
    thanks .
    21 spectacularly
    22 advantageous
    23 progressively
    24 evolution TEACHER:
    Ah, you need an adjective in 24",0.956585834,0.750804093
22436,"STUDENT:
    evolving TEACHER:
    evolutionary",,0.481928458
22437,"STUDENT:
    aha
    that's rigt TEACHER:
    as in 'an evolutionary advantage'",0.742096464,
22438,"STUDENT:
    right TEACHER:
    But otherwise, all correct! Well done you!",,0.852061177
22439,"STUDENT:
    thank you
    next? TEACHER:
    Yes, please! Your favourite",0.958113618,0.933931843
22440,"STUDENT:
    The next one is tricky though
    ...
    25 ???
    26 Mira tried not to take sided in the argument between... TEACHER:
    Ok, in key word transformation task, you get 2 points for each number. Even if you don't know the expression with 'way', it's worth scoring at least one point with the passive",0.217688226,0.830707327
22441,"STUDENT:
    *take sides TEACHER:
    26. Correct!",0.653054474,0.148619303
22442,"STUDENT:
    ok
    Passengers were instructed to make way down the bus TEACHER:
    Nearly! were instructed to make THEIR way...:.",0.999469946,0.645849876
22443,"STUDENT:
    almost...
    27 The carnival's success was under threat due to lack of support
    28.... his decision was not open for discussion TEACHER:
    Hmm, could you check the tense, please? And an article is missing
    in 27",0.995949332,0.985664796
22444,"STUDENT:
    Oh sure. Sorry
    is under threat due to the lack TEACHER:
    Yes, correct!",0.506285791,0.906226542
22445,"STUDENT:
    29 No matter how late it'll be ....
    30 I just caught a sight .a glimpse?. of Emma TEACHER:
    The tense again in 29.",0.996888662,0.683251318
22446,"STUDENT:
    do we need to use present tense after 'no matter'? TEACHER:
    caught a glimpse / caught sight .no article. of = both correct",0.270150199,0.997177793
22447,"STUDENT:
    the present tense TEACHER:
    Yes, you hardly ever need to change the tense in key word transformation!",0.996101974,0.766509379
22448,"STUDENT:
    Ok. Then. No matter how late it is
    caught sight of -- noted TEACHER:
    In fact, this is one of the things to watch out for, whether it's the same tense .or similar, both present / past / future.
    And one last for 28: was not open TO FURTHER discussion
    Tricky, I know!",0.200005149,0.462212184
22449,"STUDENT:
    Right. We need to keep as much original information as possible TEACHER:
    Yes, true! Unlike in speaking and writing, you actually paraphrase as little as possible
    In speaking and writing, you're encouraged to paraphrase, to show that you can use a range of vocabulary, not just the words from the task",0.954880276,0.804322532
22450,"STUDENT:
    Right. Makes sense TEACHER:
    Ok! I actually thought we might practise some speaking questions today. Again, with the aim to show off that lovely language!",0.543837233,0.770311279
