,id,conversation_id,text,conv1,conv2,LCS,conv1_len,conv2_len,cos,human_int_mean,new_13bchat,new_7bchat,7b_int,13b_int,7bnonchat_int,13bnonchat_int,gpt4_int,mis_nonchat_int,mix_int
18,65954,143,"student: ) ok, it's clear. thank you!  teacher: i should ask, maybe i'm also eligible for a flu jab voucher like <teacher's husband>... i want one now! but children, the elderly and pregnant women get a flu jab for free in the uk because they are more v--------- to flu    teacher: i should inquire if i am also eligible for a flu jab voucher like <teacher's husband>... i desire one at this moment! however, children, the elderly, and pregnant women receive a flu jab free of charge in the uk because they are more vulnerable to flu",") ok, it's clear. thank you!","i should ask, maybe i'm also eligible for a flu jab voucher like <'s husband>... i want one now! but children, the elderly and pregnant women get a flu jab for free in the uk because they are more v--------- to flu",0,6,42,0.586866112,2,3,3,3,3,0,2,3,4,3
19,36543,214,student: ))  teacher: how shocking is that?!,)),how shocking is that?!,0,1,4,0,1.333333333,2,3,2,4,1,0,1,4,2
20,35996,152,student: ))  teacher: we watched 'the irony of fate' a couple of years ago,)),we watched 'the irony of fate' a couple of years ago,0,1,11,0,1,2,3,3,4,3,3,3,4,2
21,47154,205,"student: )) i love toys actually! )  teacher: me too! and i noticed, when <teacher's child> plays with his lego figurines, for example, he will give them so many roles, it almost doesn't matter what they look like",)) i love toys actually! ),"me too! and i noticed, when <'s child> plays with his lego figurines, for example, he will give them so many roles, it almost doesn't matter what they look like",1,6,30,0.787688159,2.333333333,2,3,4,2,0,0,4,0,3
22,36574,214,"student: )) not the same in ukrainian or russian )  teacher: well, this is not always the meaning, but in the way harry uses it no, not the same at all! it's so funny that you become hysterical and can't stop laughing. something like that)) ok, one last word! a waffle! do you know 'waffles'?",)) not the same in ukrainian or russian ),"well, this is not always the meaning, but in the way harry uses it no, not the same at all! it's so funny that you become hysterical and can't stop laughing. something like that)) ok, one last word! a waffle! do you know 'waffles'?",3,9,44,0.689067271,2,3,3,4,3,1,3,3,None,2
23,65998,143,student: )) ok and now i have three sentences  teacher: yes please!    teacher: you are not experiencing any loss.,)) ok and now i have three sentences,yes please!,0,8,2,0.547708692,2.666666667,2,3,3,3,2,0,4,0,2
24,65976,143,"student: )) sure! )  teacher: ooh, have you had a chance to read about the queen?    teacher: have you had an opportunity to read about the queen?",)) sure! ),"ooh, have you had a chance to read about the queen?",0,3,11,0.08302214,2.666666667,2,3,2,2,0,3,3,3,3
25,47171,205,"student: )))  teacher: i would say 'mummy haircuts' but that's gender stereotyping :))) i've now got professional scissors and i was quite pleased with how i did his hair last time, but now it's growing out and i can see all the mistakes",))),"i would say 'mummy haircuts' but that's gender stereotyping ))) i've now got professional scissors and i was quite pleased with how i did his hair last time, but now it's growing out and i can see all the mistakes",1,1,40,0,2.666666667,2,3,4,4,3,2,1,3,3
26,36042,152,"student: )))  teacher: ok, let's see what else we've got time for! oh, the very first sentence, thanks for your interest in our school",))),"ok, let's see what else we've got time for! oh, the very first sentence, thanks for your interest in our school",0,1,21,0,2,2,3,3,2,0,0,1,1,3
27,64474,117,"student: )))  teacher: yes, i think it's the same verb in russian, isn't it?    teacher: yes, i believe it is the same verb in russian, correct?",))),"yes, i think it's the same verb in russian, isn't it?",0,1,11,0,1.666666667,2,3,3,3,0,2,3,3,2
28,66009,143,"student: ))) ok ok  teacher: yes, because it doesn't say 'one more'    teacher: yes, because it does not specify 'one more'.",))) ok ok,"yes, because it doesn't say 'one more'",0,3,7,0.547708692,2.333333333,2,3,2,2,0,3,2,1,2
29,36334,212,"student: * so it wasn't affordable  teacher: could you ask me something, using one of the words?",* so it wasn't affordable,"could you ask me something, using one of the words?",0,5,10,0.697336505,1.666666667,2,3,3,4,3,2,3,4,2
30,36226,80,student: *are one of them  teacher: is your birthday in the summer?,*are one of them,is your birthday in the summer?,0,4,6,0.598182359,2.666666667,2,3,,4,3,1,1,3,3
31,22518,125,student: *k  teacher: __ the cleaning,*k,__ the cleaning,0,1,3,0.022283013,0.666666667,2,3,3,2,1,0,1,2,2
32,66797,94,student: *monday yes  teacher: did you manage?    teacher: did you succeed?,*monday yes,did you manage?,0,2,3,0.430201005,1.666666667,3,3,2,2,0,2,2,4,3
33,36128,119,student: *off yes day of kozaki  teacher: the day of cossacks? really? i thought it was to do with the modern army!,*off yes day of kozaki,the day of cossacks? really? i thought it was to do with the modern army!,2,5,15,0.435516946,1.666666667,2,3,4,4,0,3,3,2,2
34,22441,231,student: *take sides  teacher: 26. correct!,*take sides,26. correct!,0,2,2,0.254492803,0,2,3,1,3,1,2,1,1,2
35,38256,253,"student: *the closest anyway, practise makes perfect :) as you see if i think about it i am starting to correct it!  teacher: ok, c2 questions! i think i mentioned last time that there are several parts to the speaking test, and in the first part the questions are focused on you rather than abstract i'm warning you, some of them are a bit weird, you'll have to just roll with them and show off your english!","*the closest anyway, practise makes perfect ) as you see if i think about it i am starting to correct it!","ok, c2 questions! i think i mentioned last time that there are several parts to the speaking test, and in the first part the questions are focused on you rather than abstract i'm warning you, some of them are a bit weird, you'll have to just roll with them and show off your english!",2,21,54,0.152704501,2,2,3,4,4,3,1,4,0,3
36,59861,188,"student: *these  teacher: yes, of course you do we would actually like a hybrid car, the one with a petrol engine and an electric battery    teacher: we want a hybrid car with both a petrol engine and an electric battery.",*these,"yes, of course you do we would actually like a hybrid car, the one with a petrol engine and an electric battery",0,1,22,0.304864615,3,3,3,3,3,1,2,2,3,2
37,35954,127,student: ...(which is) to focus more on how to solve a problem  teacher: you can use 'that' for 'who'. the problem was that it was creating an ambiguity in your sentence,...(which is) to focus more on how to solve a problem,you can use 'that' for 'who'. the problem was that it was creating an ambiguity in your sentence,1,11,18,0.412602856,2,2,3,2,4,3,3,3,2,2
38,46046,70,student: ......is that human is not isolation in space. i am sure.. not sure  teacher: ok thanks ... 'isolation' = nice word.... you mean that there is life on other planets?,......is that human is not isolation in space. i am sure.. not sure,ok thanks ... 'isolation' = nice word.... you mean that there is life on other planets?,1,13,16,0.24167636,1.666666667,2,3,4,2,2,3,4,0,3
39,35958,127,"student: ...mmm...the alternative you were suggesting is 'how to get a problem solved'?  teacher: how it can be solved how can it be solved?' changes into 'how it can be solved', right?",...mmm...the alternative you were suggesting is 'how to get a problem solved'?,"how it can be solved how can it be solved?' changes into 'how it can be solved', right?",1,12,18,-0.119976222,1.333333333,2,3,2,4,0,1,3,3,1
40,35704,219,"student: .i also think this is easier to do on paper as you can cross sentences you used and visually see what is remaning.  teacher: yes, definitely. but i think, if you happen to take the computer-based version of the test, you can drag-and-drop paragraphs, which is quite helpful visually",.i also think this is easier to do on paper as you can cross sentences you used and visually see what is remaning.,"yes, definitely. but i think, if you happen to take the computer-based version of the test, you can drag-and-drop paragraphs, which is quite helpful visually",2,23,25,0.610552231,2.333333333,2,3,2,4,2,2,4,3,3
41,46086,221,"student: .maybe the correct way to write it 'we will go to vienna for palm sunday? i am really unsure here.  teacher: well, the only thing we'll be able to do is go for a drive, to the seaside or the forest or one of the beautiful gardens yes, i think it's palm sunday, no article!",.maybe the correct way to write it 'we will go to vienna for palm sunday? i am really unsure here.,"well, the only thing we'll be able to do is go for a drive, to the seaside or the forest or one of the beautiful gardens yes, i think it's palm sunday, no article!",1,20,34,0.465099288,2,2,3,3,4,0,2,3,4,2
42,46088,221,"student: .no it was about the article...i changed the verb because it was easier to type.... you are right, my holidays...  teacher: sure. might is a very good verb there :. no, it's good either way! nothing wrong with american words :.",".no it was about the article...i changed the verb because it was easier to type.... you are right, my holidays...","sure. might is a very good verb there . no, it's good either way! nothing wrong with american words .",1,20,20,0.56851624,1.666666667,2,3,4,4,1,0,3,3,3
43,35709,219,"student: .when 1 would have been enough...? are both these expression okay?.  teacher: 1 would have been enough .but they had two, so it's a conditional. vs. they collected 1 litre for each tree, and that was enough.",.when 1 would have been enough...? are both these expression okay?.,"1 would have been enough .but they had two, so it's a conditional. vs. they collected 1 litre for each tree, and that was enough.",4,11,25,0.387580279,2,2,3,3,3,2,0,3,2,3
44,66328,257,"student: 0.835 or 117/140  teacher: ooh, that's really good, well done!    teacher: that's a satisfactory score. good job.",0.835 or 117/140,"ooh, that's really good, well done!",0,3,6,0.034145797,3,2,3,4,3,0,3,3,1,1
45,39285,166,"student: 1 b?  teacher: no, what would be your second choice?",1 b?,"no, what would be your second choice?",0,2,7,0.250583888,2,2,3,2,3,0,2,2,0,3
46,59617,43,"student: 1- c / 2 - g / 3 - f / 4 - b / 5 - h / 6 - a / 7 - e / 8 - d / 9 - f i am not sure of number 7  teacher: ok thanks <student> - very good overall hold on... ok so 'innate' = something your born with e.g. children seem to have an innate sense of fairness. and e.g. patience, honesty, a sense of humour are all examples of particular personal qualities or characteristics (ok?!) so 7 e !    teacher: thank you, <student>. overall, 'innate' means something you are born with. for example, children naturally have a sense of fairness. personal qualities like patience, honesty, and a sense of humor are also examples. additionally, the numbers 7 and 9 can be represented by the letters 'i' and 'e', respectively.",1- c / 2 - g / 3 - f / 4 - b / 5 - h / 6 - a / 7 - e / 8 - d / 9 - f i am not sure of number 7,"ok thanks <> - very good overall hold on... ok so 'innate' = something your born with e.g. children seem to have an innate sense of fairness. and e.g. patience, honesty, a sense of humour are all examples of particular personal qualities or characteristics (ok?!) so 7 e !",1,41,49,0.094945828,2,2,3,4,4,1,3,4,3,3
47,22379,64,student: 1. can't buy huge and expensive furnitures 2. sometimes it doesn't feel like home.  teacher: ok thanks <student>! can i just check your first disadvantage? the 'furniture' one? what do you mean here?,1. can't buy huge and expensive furnitures 2. sometimes it doesn't feel like home.,ok thanks <>! can i just check your first disadvantage? the 'furniture' one? what do you mean here?,0,14,18,0.094945828,1,2,3,2,3,0,2,3,1,2
48,22378,64,"student: 1. cheaper 2.easy to moving 3.high price can rent a high quality house, but it still cheaper than buy a normal house and disadvantage is following...  teacher: ok yes understood thanks...ok i'll wait!","1. cheaper 2.easy to moving 3.high price can rent a high quality house, but it still cheaper than buy a normal house and disadvantage is following...",ok yes understood thanks...ok i'll wait!,0,26,6,0.094945828,1,2,3,3,2,3,2,1,3,1
49,59620,43,"student: 1. pass on 2. similarities / inherit 3. brith 4.character 5. alter  teacher: ok thanks <student> - good answers for 1 and 5. let me make the other examples clearer    teacher: thank you, <student>. your answers for questions 1 and 5 are good. i will now provide clearer examples for the other questions.",1. pass on 2. similarities / inherit 3. brith 4.character 5. alter,ok thanks <> - good answers for 1 and 5. let me make the other examples clearer,1,12,17,0.094945828,1.333333333,2,3,3,3,0,0,2,0,2
50,36560,214,"student: 1.0  teacher: yes, something like that",1.0,"yes, something like that",0,1,4,0.128011392,0.666666667,2,3,,3,1,2,1,4,1
51,38841,177,"student: 1.0 they have the same sense of humor. it's the first thing in the couple i think ) so  teacher: oh really? if it's 100%, they ___ be good together",1.0 they have the same sense of humor. it's the first thing in the couple i think ) so,"oh really? if it's 100%, they ___ be good together",1,19,10,0.099628407,1.333333333,2,3,4,3,1,1,4,2,3
52,36209,80,student: 1.summer 2.white dog 4.top  teacher: thank you,1.summer 2.white dog 4.top,thank you,0,4,2,0.038389182,1.333333333,2,3,3,3,0,3,1,3,1
53,38308,37,student: 130 out of 170 units of electricity form/by coal.  teacher: yes ok but you need a verb somewhere!,130 out of 170 units of electricity form/by coal.,yes ok but you need a verb somewhere!,0,9,8,-0.000513677,1,2,3,4,4,3,0,3,0,2
54,38309,37,student: 130 out of 170 units of electricity was produced from/by coal  teacher: yes ok good thanks! because it's units it is plural so we need 'were produced from' (good to use verb 'produced' by the way),130 out of 170 units of electricity was produced from/by coal,yes ok good thanks! because it's units it is plural so we need 'were produced from' (good to use verb 'produced' by the way),1,11,24,-0.000513677,2,2,3,3,3,3,2,3,2,2
55,38345,258,"student: 13:59 on my laptop  teacher: loan is more formal! right, thank you very much for participating in this project! it's been a pleasure to chat with you over the last few months :) you've still got my email address if you'd like to contact me one day, i'll be very happy to hear from you!",1359 on my laptop,"loan is more formal! right, thank you very much for participating in this project! it's been a pleasure to chat with you over the last few months ) you've still got my email address if you'd like to contact me one day, i'll be very happy to hear from you!",1,4,50,-0.101038313,2,2,3,3,4,1,3,4,3,2
56,22434,231,student: 17 scarcity 18 genetically 19 occurance occurrence  teacher: good correction!,17 scarcity 18 genetically 19 occurance occurrence,good correction!,0,7,2,0.187151523,0.666666667,2,3,2,3,3,3,3,2,2
57,59341,30,"student: 18 inspiration  teacher: yes good    teacher: okay, that's fine.",18 inspiration,yes good,0,2,2,0.141382342,1.333333333,2,3,3,3,2,2,2,2,1
58,59342,30,student: 19 generosity  teacher: great    teacher: good,19 generosity,great,0,2,1,0.161249123,1,2,3,2,4,0,3,1,0,2
59,59343,30,"student: 20 restless??  teacher: yes right idea for the meaning = good but you need a noun i.e. the thing that led him... add a noun ending to your adjective    teacher: you have the correct idea for the meaning, but you need to include a noun. this noun should be the thing that led him. please add a noun ending to your adjective.",20 restless??,yes right idea for the meaning = good but you need a noun i.e. the thing that led him... add a noun ending to your adjective,0,2,26,0.17426185,2.666666667,2,3,3,3,2,2,3,3,3
60,22435,231,"student: 20 sensitivity thanks . 21 spectacularly 22 advantageous 23 progressively 24 evolution  teacher: ah, you need an adjective in 24",20 sensitivity thanks . 21 spectacularly 22 advantageous 23 progressively 24 evolution,"ah, you need an adjective in 24",1,12,7,0.04919365,1,2,3,3,3,1,0,2,0,3
61,59348,30,"student: 21 medical  teacher: yes good    teacher: okay, that's good.",21 medical,yes good,0,2,2,0.123347139,1.666666667,2,3,4,3,3,2,1,1,2
62,59349,30,student: 22 admiration  teacher: fine    teacher: ok,22 admiration,fine,0,2,1,0.121952713,2,2,3,3,2,0,2,1,3,1
63,59350,30,"student: 23 enthusiasm  teacher: yes good    teacher: okay, that's good.",23 enthusiasm,yes good,0,2,2,0.12305277,1.333333333,2,2,2,3,0,3,1,2,1
64,38215,211,"student: 26. is little demand for  teacher: yes, good!",26. is little demand for,"yes, good!",0,5,2,0.104863864,0.666666667,2,3,4,3,3,3,2,1,2
65,38216,211,"student: 27. impressed by how good great a (i am not 100% sure about the preprositions 'by' here) 28. resignation came as a surprise to (29 later) 30. the height of his power  teacher: hold on, 27. the preposition is good! also with / at are possible. but 'good' doesn't quite convey the meaning, the answer is 'skilled' or 'skillful'",27. impressed by how good great a (i am not 100% sure about the preprositions 'by' here) 28. resignation came as a surprise to (29 later) 30. the height of his power,"hold on, 27. the preposition is good! also with / at are possible. but 'good' doesn't quite convey the meaning, the answer is 'skilled' or 'skillful'",1,32,26,0.289826051,2,2,3,3,2,0,1,3,1,3
66,22445,231,student: 29 no matter how late it'll be .... 30 i just caught a sight .a glimpse?. of emma  teacher: the tense again in 29.,29 no matter how late it'll be .... 30 i just caught a sight .a glimpse?. of emma,the tense again in 29.,0,18,5,0.272206746,0.333333333,2,3,3,4,1,0,2,3,2
67,36210,80,student: 3 was crisps  teacher: i remember :),3 was crisps,i remember ),0,3,3,0.224872724,2,2,3,4,4,1,0,2,3,2
68,36494,199,student: 3. i was browsing through some magazines while waiting for my appointment.  teacher: yes!,3. i was browsing through some magazines while waiting for my appointment.,yes!,0,12,1,0.139054053,1.333333333,3,3,3,3,2,3,2,3,2
69,35688,219,"student: 31. c, 32. c, 33. d., 34. b, 35. a .?. 36. c....i wasn't sure about a few answers, but particoularly about 35  teacher: ok, why did you go for a in 35?","31. c, 32. c, 33. d., 34. b, 35. a .?. 36. c....i wasn't sure about a few answers, but particoularly about 35","ok, why did you go for a in 35?",1,23,9,0.044624776,1.666666667,3,3,3,2,0,0,3,2,3
70,35703,219,"student: 37. d, 38. h , 39. a...but to be honest i am sure only about the first one this is really a time-dependent task, and i didn't manage to read everything properly  teacher: ok, great. actually, with this task, you're looking for links between paragraphs. the text really is very big, but there are distinct links that can help to complete the task without reading everyting in-depth the first two are correct, let's try to find those links one second why is the first one d?","37. d, 38. h , 39. a...but to be honest i am sure only about the first one this is really a time-dependent task, and i didn't manage to read everything properly","ok, great. actually, with this task, you're looking for links between paragraphs. the text really is very big, but there are distinct links that can help to complete the task without reading everyting in-depth the first two are correct, let's try to find those links one second why is the first one d?",3,32,53,0.074631696,2,2,3,3,3,1,3,3,0,2
71,38725,168,student: 38 h  teacher: yes :),38 h,yes ),0,2,2,0.167493854,1.333333333,2,3,4,3,3,2,1,2,1
72,38726,168,student: 39 f  teacher: yes!,39 f,yes!,0,2,1,0.191087978,1.333333333,3,3,4,3,3,1,0,0,1
73,38786,168,"student: 4 i guess  teacher: well, i suppose the question is, which one would be easiest to write about and work some good language in?",4 i guess,"well, i suppose the question is, which one would be easiest to write about and work some good language in?",1,3,20,0.278921196,2.666666667,2,4,2,3,0,2,3,2,2
74,36496,199,"student: 4. their houses are completely different. hers is quite minimalistic, but his is really quirky, filled with plants, pictures and souvenirs.  teacher: yes)","4. their houses are completely different. hers is quite minimalistic, but his is really quirky, filled with plants, pictures and souvenirs.",yes),0,21,1,0.135176434,1.333333333,2,4,4,4,0,2,1,2,2
75,38727,168,student: 40 ......b  teacher: yes!,40 ......b,yes!,0,2,1,0.222242799,1.333333333,2,3,3,3,1,2,1,4,1
76,35708,219,"student: 40 b since the previous paragraph tells about the first project starting and in b you have some results of these first trials .2 liters collected, when 1 was enough.  teacher: yes, and also the following paragraph says 'having declared the initial project a success' .so we need a success story for 40. correct","40 b since the previous paragraph tells about the first project starting and in b you have some results of these first trials .2 liters collected, when 1 was enough.","yes, and also the following paragraph says 'having declared the initial project a success' .so we need a success story for 40. correct",1,30,23,0.222242799,1.333333333,2,3,4,2,0,2,3,1,2
77,38728,168,student: 41 a  teacher: yes!,41 a,yes!,0,2,1,0.212301094,1.666666667,3,3,4,4,3,3,2,1,1
78,35712,219,student: 42 a the paragraph ends talking about a bigger project covering 50 square kilometers and a starts talking about a more ambitious scheme  teacher: but the knock-on effect of reviving the forest goes beyond restoring wildlife' which means that the paragraph should talk about... restoring wildlife,42 a the paragraph ends talking about a bigger project covering 50 square kilometers and a starts talking about a more ambitious scheme,but the knock-on effect of reviving the forest goes beyond restoring wildlife' which means that the paragraph should talk about... restoring wildlife,2,23,22,0.193657043,1.666666667,2,3,1,3,2,3,3,1,2
79,38729,168,student: 42 e  teacher: yes!,42 e,yes!,0,2,1,0.19557511,1.666666667,3,3,3,3,3,2,1,2,1
80,38730,168,student: 43 g  teacher: yaaaay!,43 g,yaaaay!,0,2,1,0,2.333333333,3,3,2,4,0,3,1,3,1
81,36498,199,"student: 5. during her teenage rebellion, she dyed her hair a new colour every three months.  teacher: yes!","5. during her teenage rebellion, she dyed her hair a new colour every three months.",yes!,0,15,1,0.148412686,1,3,3,4,2,0,0,2,0,3
82,63054,20,"student: 50 percents 43862.0  teacher: yes either is fine ...but percent without s at the end! one final thing <student> hold on....    teacher: ok, one final thing, <student>. please rewrite the last message. keep the key information, but make it as boring and emotionless as possible.",50 percents 43862.0,yes either is fine ...but percent without s at the end! one final thing <> hold on....,0,3,17,0.256703094,2.666666667,2,3,1,1,3,1,2,2,1
83,53966,54,"student: 50% want to go home  teacher: oh i see what you mean sorry - half a percent = 0.5%!    teacher: ah, i understand what you're saying. my apologies for the confusion - half a percent is equivalent to a minuscule 0.5%!",50% want to go home,oh i see what you mean sorry - half a percent = 0.5%!,0,5,13,0.327602249,2.333333333,3,3,4,3,0,3,2,3,3
84,63055,20,"student: 5555 ok   teacher: si another giid thing in ielts is to use words ti describe the meaning of the numbers not just a list of the numbers themselves you see so...hold on... good thing    teacher: one final point, <student>.",5555 ok,si another giid thing in ielts is to use words ti describe the meaning of the numbers not just a list of the numbers themselves you see so...hold on... good thing,0,2,31,0.056208631,2.666666667,2,3,2,2,3,2,2,0,2
85,36500,199,student: 6. she looked a ____ figure standing at a bus stop. ok ah! forlorn  teacher: yes!,6. she looked a ____ figure standing at a bus stop. ok ah! forlorn,yes!,0,14,1,0.121312318,2,2,3,4,4,3,3,3,4,3
86,38181,132,"student: 7-8 hours it is not enough for me((( i think it can and i would love it so much  teacher: no, you probably need 9-10 hours of sleep, right?",7-8 hours it is not enough for me((( i think it can and i would love it so much,"no, you probably need 9-10 hours of sleep, right?",1,19,9,0.254053145,2.666666667,2,3,2,3,3,1,3,2,3
87,36501,199,student: 7. we would be able to control the virus better if people didnt rebel against lockdown rules.  teacher: yes!,7. we would be able to control the virus better if people didnt rebel against lockdown rules.,yes!,0,17,1,0.161070351,1,2,4,3,3,3,2,1,7,1
88,66822,94,student: :(  teacher: switch off remember?    teacher: switch off recall?,(,switch off remember?,0,1,3,0,1,2,2,4,4,0,3,1,4,1
89,39236,103,"student: :((((  teacher: and the last one, easy-peasy!",((((,"and the last one, easy-peasy!",0,1,5,0,0.666666667,2,4,3,4,3,1,2,0,2
90,57004,88,student: :)  teacher: how's life? are you still in vinnytsa?    teacher: how are you? are you still in vinnytsa?,),how's life? are you still in vinnytsa?,0,1,7,0,1.666666667,2,3,3,4,0,1,4,0,3
91,22481,125,"student: <dob> when is your birthday?  teacher: ok, so soon-ish. if you get lots of money again, what will you buy? <dob>",<dob> when is your birthday?,"ok, so soon-ish. if you get lots of money again, what will you buy? <dob>",1,5,15,-0.063938683,0.666666667,2,3,3,4,0,1,1,2,3
92,64567,180,"student: <student's child> enjoys it so we need some snow )  teacher: and is in the right places :) not on roads or pavements    teacher: yes, it's only pleasant when it's free from dirt and debris.",<'s child> enjoys it so we need some snow ),and is in the right places ) not on roads or pavements,1,10,12,0.405447238,2,2,3,3,3,0,1,2,1,2
93,38763,168,student: <student's child> will persevere exactly. that's how i call it too  teacher: that's ___ i call it too,<'s child> will persevere exactly. that's how i call it too,that's ___ i call it too,4,11,6,-0.073563084,1.666666667,2,3,3,2,0,3,2,4,2
94,38760,168,student: <student's husband> is bad at hints he's bad even when i directly ask for something particular.  teacher: :))) oh no!,<'s husband> is bad at hints he's bad even when i directly ask for something particular.,))) oh no!,0,16,3,0.094207209,1,2,4,3,3,1,2,2,2,2
95,64554,180,student: <student's sister> has offered me to give us <student's niece>'s 'snake'before  teacher: what's <student's niece>'s snake?    teacher: what is <student's niece>'s snake?,<'s sister> has offered me to give us <'s niece>'s 'snake'before,what's <'s niece>'s snake?,2,11,4,1,1.666666667,2,3,3,3,1,2,4,2,3
