text,conversation_id,id,human_int_mean,human_int_var,58c62eac444ade00010231a9,59b536d60516f6000197c3f9,5ab15ab4c42b630001cd36fb,5ad63c167f70c10001904bc5,5b830542b0d72600018dc280,5bb2a0148f3bd70001e5633f,5c4b06903566570001309394,5c4c747aa123930001ac124f,5c6ed5ea21a3560001bd3758,5d2b153afa24ba00173e8ee0,5d2d98a9a0d896001a5d6e4f,5d7f460632ee8a0018dc7502,5d8346167ed176001888204d,5dc0856370d51c032949d2db,5de00d05988d7c0877eaa15a,5de440d3400de40285c01263,5de585e4040f535067ca331e,5df50a49a98a7a3924e4137e,5df63f3ce632e14403dfa80f,5df97fcd11d8796fd29e85e3,5e06667850221303e42bdfc4,5e1e3898753e43085dbc3d71,5e2d7770d70e4e367b8a6498,5e569011c0486f03a51801b5,5e7a5584718c83035a42519c,5ea59ae1ae3958000acc6400,5ea9c1f55ce96d106af147a7,5ec3b9e83f187802a6aa041e,5ecd7b06a1a9170e7806f51e,5ecfc4e722413102e68160ba,5ed22618dd85e700082b5de0,5edab4e9750d97142796d0fa,5eea650223990c15b6063ea8,5eecf91f87fdd30e01f700b8,5ef0b54037a90c618ad9e97f,5ef3efcb420ab11a45a0b8a6,5efd146921bf49159fe2d166,5f0559d1bc410b85707c58a3,5f0af097e7d15b3bf7734642,5f0d65ef2ad0c60009209f0f,5f117f2b69f65101263bf8d0,5f14dbbb791d175744d71a09,5f2196d2670e5a0a96f218de,5f233d7f53212b0e22bf055d,5f3161410f87706425490ae1,5f325435f0fc671a7434cabe,5f36cbc35fc3f70f6385f664,5f3e36440f2e8d0008474ef9,5f3e95436fa4350dadcfbfeb,5f4e13a9c6a7d0ae613da383,5f5e7de4c81d3672642cd612,5f600669b846780f0fe45709,5f73427f244c770277ba2a5d,5f770f1691d3f91d768299f3,5f7d002d141e4e1c0e84e98e,5f8f6afd0b55a11df912a5c9,5f983c66dabf130bee4502f7,5f99cee5a2a7d109a1624e10,5fa76304caa4374da116923a,5fa888dbc0c212750f986c9e,5fae9cb0444e590669418214,5fb7e27bfec8e14167bddfef,5fc60be0227abc1b525a09a8,5fd0c81fc79aef1882cbee94,5fd9c5c67fa7c74ec42bb318,5ffdf54a500d7740e02f3639,60056b8b5db9c8774719d1a8,601941db6605160008690742,602fb33786b077cdbad2d5bb,6030119a4403b3e1f92a756a,60317fc2c8f6320ecde4bcb3,603a293ee62ae15da2674441,603e8ed1b54e6cf4fafcaa1a,6043725293678f31ff8f8ae5,605f811bc336749dd9dddd1b,606b84e11527ce2103add0a5,6071d42438f4fc44ff6b54c5,60743bea7dd527ac14fef25b,607d3fb81fd7a5c65619ed88,60c8bfd9f42872e2d303cc67,60ef4642202c8520a37e19b5,60f88d7fef1959734061e5a7,6101885b0f3e7fdafc8fd5d1,6103a3ece71ab061d5624402,610a9f8ba0cf35614ecb2a8d,61126cd00f29b7c648dca793,61139bc8479c2861f52c4a71,611a78efa6c36a674dc40cc6,611a9f9591ef82d19cfc5db1,611ccab657532350bc9b78ee,612a87998958706392797405,613d091096ca434d703f77c5,614e848825ae648282115670,61693c754827d0e35885a4ea,6171b1bc917dfe828a3130dd,6341258618bd26e47d901d74,human_int,proc_text,int_mean,int_var,new_13bchat,new_7bchat,7b_int,13b_int,7bnonchat_int,13bnonchat_int,gpt4_int,mis_nonchat_int,mix_int,mis7_int
"student: (maybe when you see an aerial view would be a better way to say 'look from a map')  teacher: what comes to your mind? yes, sure, because you mean 'look at its map', but an aerial view is a better expression!",253,38261,2,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,2,"student: (maybe when you see an aerial view would be a better way to say 'look from a map')  teacher: what comes to your mind? yes, sure, because you mean 'look at its map', but an aerial view is a better expression!",2,0,2,3,4,3,0,0,4,2,3,3
"student: )  teacher: anyway, you're absolutely right, this is to emphasise the information i do love tv shows, but this one is a bit silly",159,38924,2.333333333,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,"student: )  teacher: anyway, you're absolutely right, this is to emphasise the information i do love tv shows, but this one is a bit silly",2.333333333,2.333333333,2,3,3,4,1,0,3,0,2,3
"student: )  teacher: ok, i'll send you the homework then! i hope you enjoy it, and we will speak again on monday!",195,36643,1.333333333,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,1,"student: )  teacher: ok, i'll send you the homework then! i hope you enjoy it, and we will speak again on monday!",1.333333333,0.333333333,2,3,2,4,0,3,3,1,2,1
student: )  teacher: or even 'three times',152,36040,1.666666667,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,3,,,2,student: )  teacher: or even 'three times',1.666666667,2.333333333,2,3,3,4,0,1,2,9,1,1
student: )  teacher: what's the underground fare these days?,214,36550,1.333333333,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,student: )  teacher: what's the underground fare these days?,1.333333333,0.333333333,2,3,3,3,0,3,1,0,2,
"student: ) i felt like i missed something important )))  teacher: well, they said it's 'because of covid' but what makes me angry is that they didn't call us to inform us, we called them!    teacher: well, they mentioned that it's due to covid. however, what frustrates me is the lack of communication on their part. we had to reach out to them for an update.",117,64465,1.666666667,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: ) i felt like i missed something important )))  teacher: well, they said it's 'because of covid' but what makes me angry is that they didn't call us to inform us, we called them!    teacher: well, they mentioned that it's due to covid. however, what frustrates me is the lack of communication on their part. we had to reach out to them for an update.",1.666666667,2.333333333,2,3,4,4,0,3,2,2,3,1
"student: ) just browse?  teacher: it means you're looking at different things, maybe without buying anything and browse through a book / magazine = go through it quickly, without reading properly oh, and of course we browse the internet",212,36330,2.333333333,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,2,"student: ) just browse?  teacher: it means you're looking at different things, maybe without buying anything and browse through a book / magazine = go through it quickly, without reading properly oh, and of course we browse the internet",2.333333333,2.333333333,2,3,2,4,1,3,4,2,4,
"student: ) oh sorry neck and neck  teacher: yes, well done! :) i think just recently biden's made a good progress, so he is a little bit ahead now",131,35824,2.333333333,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,2,"student: ) oh sorry neck and neck  teacher: yes, well done! :) i think just recently biden's made a good progress, so he is a little bit ahead now",2.333333333,0.333333333,2,3,3,,3,2,3,3,3,2
"student: ) ok, it's clear. thank you!  teacher: i should ask, maybe i'm also eligible for a flu jab voucher like <teacher's husband>... i want one now! but children, the elderly and pregnant women get a flu jab for free in the uk because they are more v--------- to flu    teacher: i should inquire if i am also eligible for a flu jab voucher like <teacher's husband>... i desire one at this moment! however, children, the elderly, and pregnant women receive a flu jab free of charge in the uk because they are more vulnerable to flu",143,65954,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: ) ok, it's clear. thank you!  teacher: i should ask, maybe i'm also eligible for a flu jab voucher like <teacher's husband>... i want one now! but children, the elderly and pregnant women get a flu jab for free in the uk because they are more v--------- to flu    teacher: i should inquire if i am also eligible for a flu jab voucher like <teacher's husband>... i desire one at this moment! however, children, the elderly, and pregnant women receive a flu jab free of charge in the uk because they are more vulnerable to flu",2,1,3,3,3,3,0,2,3,4,3,3
student: ))  teacher: how shocking is that?!,214,36543,1.333333333,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,student: ))  teacher: how shocking is that?!,1.333333333,0.333333333,2,3,2,4,1,0,1,4,2,
student: ))  teacher: we watched 'the irony of fate' a couple of years ago,152,35996,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,1,student: ))  teacher: we watched 'the irony of fate' a couple of years ago,1,1,2,3,3,4,3,3,3,4,2,2
"student: )) i love toys actually! )  teacher: me too! and i noticed, when <teacher's child> plays with his lego figurines, for example, he will give them so many roles, it almost doesn't matter what they look like",205,47154,2.333333333,0.333333333,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: )) i love toys actually! )  teacher: me too! and i noticed, when <teacher's child> plays with his lego figurines, for example, he will give them so many roles, it almost doesn't matter what they look like",2.333333333,0.333333333,2,3,4,2,0,0,4,0,3,4
"student: )) not the same in ukrainian or russian )  teacher: well, this is not always the meaning, but in the way harry uses it no, not the same at all! it's so funny that you become hysterical and can't stop laughing. something like that)) ok, one last word! a waffle! do you know 'waffles'?",214,36574,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,2,"student: )) not the same in ukrainian or russian )  teacher: well, this is not always the meaning, but in the way harry uses it no, not the same at all! it's so funny that you become hysterical and can't stop laughing. something like that)) ok, one last word! a waffle! do you know 'waffles'?",2,1,3,3,4,3,1,3,3,None,2,
student: )) ok and now i have three sentences  teacher: yes please!    teacher: you are not experiencing any loss.,143,65998,2.666666667,0.333333333,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,student: )) ok and now i have three sentences  teacher: yes please!    teacher: you are not experiencing any loss.,2.666666667,0.333333333,2,3,3,3,2,0,4,0,2,2
"student: )) sure! )  teacher: ooh, have you had a chance to read about the queen?    teacher: have you had an opportunity to read about the queen?",143,65976,2.666666667,0.333333333,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"student: )) sure! )  teacher: ooh, have you had a chance to read about the queen?    teacher: have you had an opportunity to read about the queen?",2.666666667,0.333333333,2,3,2,2,0,3,3,3,3,3
"student: )))  teacher: i would say 'mummy haircuts' but that's gender stereotyping :))) i've now got professional scissors and i was quite pleased with how i did his hair last time, but now it's growing out and i can see all the mistakes",205,47171,2.666666667,0.333333333,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"student: )))  teacher: i would say 'mummy haircuts' but that's gender stereotyping :))) i've now got professional scissors and i was quite pleased with how i did his hair last time, but now it's growing out and i can see all the mistakes",2.666666667,0.333333333,2,3,4,4,3,2,1,3,3,3
"student: )))  teacher: ok, let's see what else we've got time for! oh, the very first sentence, thanks for your interest in our school",152,36042,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,2,"student: )))  teacher: ok, let's see what else we've got time for! oh, the very first sentence, thanks for your interest in our school",2,1,2,3,3,2,0,0,1,1,3,3
"student: )))  teacher: yes, i think it's the same verb in russian, isn't it?    teacher: yes, i believe it is the same verb in russian, correct?",117,64474,1.666666667,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: )))  teacher: yes, i think it's the same verb in russian, isn't it?    teacher: yes, i believe it is the same verb in russian, correct?",1.666666667,2.333333333,2,3,3,3,0,2,3,3,2,2
"student: ))) ok ok  teacher: yes, because it doesn't say 'one more'    teacher: yes, because it does not specify 'one more'.",143,66009,2.333333333,0.333333333,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: ))) ok ok  teacher: yes, because it doesn't say 'one more'    teacher: yes, because it does not specify 'one more'.",2.333333333,0.333333333,2,3,2,2,0,3,2,1,2,2
"student: * so it wasn't affordable  teacher: could you ask me something, using one of the words?",212,36334,1.666666667,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,2,"student: * so it wasn't affordable  teacher: could you ask me something, using one of the words?",1.666666667,0.333333333,2,3,3,4,3,2,3,4,2,
student: *are one of them  teacher: is your birthday in the summer?,80,36226,2.666666667,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,3,student: *are one of them  teacher: is your birthday in the summer?,2.666666667,0.333333333,2,3,,4,3,1,1,3,3,
student: *k  teacher: __ the cleaning,125,22518,0.666666667,0.333333333,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,student: *k  teacher: __ the cleaning,0.666666667,0.333333333,2,3,3,2,1,0,1,2,2,2
student: *monday yes  teacher: did you manage?    teacher: did you succeed?,94,66797,1.666666667,0.333333333,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,student: *monday yes  teacher: did you manage?    teacher: did you succeed?,1.666666667,0.333333333,3,3,2,2,0,2,2,4,3,2
student: *off yes day of kozaki  teacher: the day of cossacks? really? i thought it was to do with the modern army!,119,36128,1.666666667,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,2,student: *off yes day of kozaki  teacher: the day of cossacks? really? i thought it was to do with the modern army!,1.666666667,0.333333333,2,3,4,4,0,3,3,2,2,
student: *take sides  teacher: 26. correct!,231,22441,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,student: *take sides  teacher: 26. correct!,0,0,2,3,1,3,1,2,1,1,2,3
"student: *the closest anyway, practise makes perfect :) as you see if i think about it i am starting to correct it!  teacher: ok, c2 questions! i think i mentioned last time that there are several parts to the speaking test, and in the first part the questions are focused on you rather than abstract i'm warning you, some of them are a bit weird, you'll have to just roll with them and show off your english!",253,38256,2,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,2,"student: *the closest anyway, practise makes perfect :) as you see if i think about it i am starting to correct it!  teacher: ok, c2 questions! i think i mentioned last time that there are several parts to the speaking test, and in the first part the questions are focused on you rather than abstract i'm warning you, some of them are a bit weird, you'll have to just roll with them and show off your english!",2,1,2,3,4,4,3,1,4,0,3,4
"student: *these  teacher: yes, of course you do we would actually like a hybrid car, the one with a petrol engine and an electric battery    teacher: we want a hybrid car with both a petrol engine and an electric battery.",188,59861,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"student: *these  teacher: yes, of course you do we would actually like a hybrid car, the one with a petrol engine and an electric battery    teacher: we want a hybrid car with both a petrol engine and an electric battery.",3,0,3,3,3,3,1,2,2,3,2,4
student: ...(which is) to focus more on how to solve a problem  teacher: you can use 'that' for 'who'. the problem was that it was creating an ambiguity in your sentence,127,35954,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,2,student: ...(which is) to focus more on how to solve a problem  teacher: you can use 'that' for 'who'. the problem was that it was creating an ambiguity in your sentence,2,1,2,3,2,4,3,3,3,2,2,2
student: ......is that human is not isolation in space. i am sure.. not sure  teacher: ok thanks ... 'isolation' = nice word.... you mean that there is life on other planets?,70,46046,1.666666667,0.333333333,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,student: ......is that human is not isolation in space. i am sure.. not sure  teacher: ok thanks ... 'isolation' = nice word.... you mean that there is life on other planets?,1.666666667,0.333333333,2,3,4,2,2,3,4,0,3,3
"student: ...mmm...the alternative you were suggesting is 'how to get a problem solved'?  teacher: how it can be solved how can it be solved?' changes into 'how it can be solved', right?",127,35958,1.333333333,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,,,1,"student: ...mmm...the alternative you were suggesting is 'how to get a problem solved'?  teacher: how it can be solved how can it be solved?' changes into 'how it can be solved', right?",1.333333333,1.333333333,2,3,2,4,0,1,3,3,1,3
