,60317fc2c8f6320ecde4bcb3_comparison,60317fc2c8f6320ecde4bcb3_int,60317fc2c8f6320ecde4bcb3_expint,conversation_id,message_len,5fc60be0227abc1b525a09a8_comparison,5fc60be0227abc1b525a09a8_int,5fc60be0227abc1b525a09a8_expint,5f4e13a9c6a7d0ae613da383_comparison,5f4e13a9c6a7d0ae613da383_int,5f4e13a9c6a7d0ae613da383_expint,doccano_id
63,1,3,3,110,8,0,1,1,0,1,1,65592
64,0,3,3,110,15,0,2,1,0,1,1,65593
65,1,4,3,110,6,1,2,2,0,1,1,65594
66,0,3,3,110,11,1,2,1,0,1,1,65595
67,0,3,3,110,5,0,1,1,0,2,2,65596
68,1,3,2,110,20,1,3,2,0,1,1,65597
69,1,3,3,110,15,0,2,2,0,1,1,65598
70,1,4,3,110,19,0,1,2,0,2,2,65599
71,0,3,3,110,27,0,2,2,0,1,1,65600
72,0,3,3,110,29,0,3,2,0,1,1,65601
73,1,4,4,110,22,0,2,1,0,1,1,65602
74,0,3,3,110,52,1,4,2,0,2,2,65603
75,0,3,3,110,12,0,2,2,0,2,2,65604
76,1,3,3,110,48,0,4,2,0,2,2,65605
77,0,3,3,110,16,0,2,1,0,3,3,65606
78,1,3,3,110,4,0,1,1,0,2,2,65607
79,0,3,3,110,22,0,2,0,0,2,2,65608
80,0,3,3,103,12,0,0,0,0,1,1,65610
81,0,1,1,103,7,1,1,1,1,1,1,65611
82,0,0,0,103,6,1,1,2,1,1,1,65612
83,0,0,0,103,6,0,1,1,0,1,1,65613
84,0,0,0,103,3,1,1,1,0,1,1,65614
85,0,0,1,103,12,1,1,1,0,0,0,65615
86,0,0,0,103,12,1,1,1,0,1,1,65616
87,0,0,0,103,12,1,2,2,0,0,0,65617
88,0,0,0,103,4,1,1,1,1,1,1,65618
89,0,1,1,103,4,1,2,2,0,2,2,65619
90,0,0,0,103,12,1,1,2,0,1,1,65620
91,0,1,1,103,8,0,1,2,0,1,1,65621
92,1,0,0,103,13,1,2,3,1,1,1,65622
93,1,0,0,103,5,1,2,3,1,2,2,65623
94,1,0,1,103,9,1,1,2,0,2,2,65624
95,0,0,0,103,12,1,1,1,0,0,0,65625
96,1,0,0,103,9,1,2,2,0,2,2,65626
97,1,0,0,103,18,0,2,2,0,2,2,65627
98,1,1,1,103,5,0,2,2,0,2,2,65628
99,1,1,1,103,2,1,2,2,0,1,1,65629
100,1,1,1,103,22,1,3,2,0,2,2,65630
101,1,1,1,103,21,1,2,2,0,2,2,65631
102,1,1,1,103,39,0,1,2,0,2,2,65632
103,1,1,2,103,15,1,2,2,0,2,2,65633
104,1,1,1,103,6,1,2,2,0,1,1,65634
105,1,1,1,103,6,1,2,2,0,2,2,65635
106,1,0,0,103,12,1,1,2,0,1,1,65636
107,1,0,1,103,2,1,2,2,1,1,1,65637
108,1,1,1,103,9,0,1,2,0,1,1,65638
109,1,1,1,103,6,1,2,2,0,1,1,65639
110,1,1,1,103,10,1,2,2,1,1,1,65640
111,1,1,1,103,5,0,2,2,0,1,1,65641
112,1,0,0,103,12,1,1,2,0,1,1,65642
113,1,2,2,103,9,1,1,2,0,1,1,65643
114,1,2,2,103,10,1,2,3,0,1,1,65644
115,1,1,1,103,18,0,2,2,0,3,3,65645
116,1,0,0,103,12,1,0,0,0,1,1,65646
117,1,0,0,103,17,0,1,2,0,2,2,65647
118,1,0,0,103,12,1,1,2,0,0,2,65648
119,1,0,0,103,12,0,1,2,0,2,1,65649
120,1,0,0,103,12,1,2,2,0,1,1,65650
121,1,0,0,103,12,0,1,2,0,0,1,65651
122,1,0,1,103,12,1,1,1,0,0,1,65652
123,1,0,0,103,12,1,1,1,0,1,1,65653
124,1,0,0,103,3,0,1,2,0,1,1,65654
125,0,0,0,103,3,0,1,2,0,2,2,65655
126,1,0,0,103,12,1,1,2,0,1,2,65656
127,1,1,1,103,4,0,2,2,1,1,1,65657
128,0,1,1,103,2,1,1,1,0,1,1,65658
129,0,1,1,103,12,1,1,1,0,1,1,65659
130,0,2,2,166,3,1,1,1,0,1,1,65661
131,0,2,2,166,5,1,1,1,0,2,2,65662
132,1,2,2,166,10,1,1,1,1,2,2,65663
133,0,2,2,166,17,1,2,2,0,3,2,65664
134,1,2,3,166,15,0,2,2,0,3,3,65665
135,0,2,2,166,12,0,2,2,0,2,2,65666
136,0,3,3,166,7,0,2,2,0,2,2,65667
137,0,2,3,166,13,0,2,2,0,3,2,65668
138,1,3,2,166,10,1,2,2,0,2,2,65669
139,0,2,2,166,13,1,2,2,0,3,3,65670
140,0,2,2,166,15,1,3,2,0,1,2,65671
141,1,2,2,166,28,1,3,2,0,2,2,65672
142,0,3,3,166,11,1,3,2,0,2,2,65673
143,1,2,2,166,14,1,3,2,0,2,2,65674
144,1,2,2,166,12,0,2,2,0,1,1,65675
145,0,2,3,166,14,0,2,2,0,1,1,65676
146,0,1,1,166,12,1,1,1,0,2,2,65677
147,0,1,1,166,12,1,1,1,0,1,1,65678
148,0,1,1,166,10,0,1,1,0,2,2,65679
149,0,0,0,166,12,1,1,1,0,1,2,65680
150,0,0,0,166,12,1,1,1,0,1,1,65681
151,0,0,0,166,12,1,1,1,0,1,1,65682
152,0,0,0,166,3,0,1,1,0,1,1,65683
153,0,1,1,166,8,0,2,2,0,1,1,65684
154,0,0,0,166,2,0,2,2,0,2,2,65685
155,0,1,1,166,12,1,1,1,0,1,1,65686
156,1,2,2,166,13,0,2,1,0,3,1,65687
157,0,1,1,166,12,1,1,1,0,2,1,65688
158,0,1,1,166,12,1,1,1,0,2,2,65689
159,0,2,2,166,12,1,1,1,0,2,1,65690
160,0,2,2,166,12,1,1,1,0,2,2,65691
161,1,3,3,166,8,1,1,1,0,3,2,65692
162,0,2,2,166,12,1,1,1,0,2,2,65693
163,0,2,2,166,12,1,1,1,0,1,1,65694
164,0,2,2,166,12,1,1,1,0,1,1,65695
165,0,2,2,166,13,0,2,2,0,1,1,65696
166,0,2,2,166,12,1,1,1,0,2,2,65697
167,1,2,2,166,11,1,2,1,1,2,1,65698
168,0,2,2,166,12,1,1,1,0,1,1,65699
169,1,3,3,166,7,1,2,1,0,3,2,65700
170,0,1,2,166,12,1,1,1,0,1,1,65701
171,0,1,1,166,12,1,3,2,0,2,1,65702
172,0,1,1,166,12,1,1,1,0,2,1,65703
173,0,3,2,166,9,1,3,1,0,3,1,65704
174,0,2,2,166,4,0,3,1,0,2,2,65705
175,0,1,2,166,12,1,1,1,0,1,1,65706
176,1,2,2,166,16,0,2,1,0,3,2,65707
177,1,2,2,166,12,0,2,2,0,1,1,65708
178,1,2,2,166,9,0,1,1,0,2,2,65709
179,0,3,3,166,12,1,1,1,0,0,0,65710
180,0,3,3,190,1,0,1,1,0,1,1,65712
181,0,3,3,190,5,0,1,1,0,2,2,65713
182,0,3,3,190,9,0,2,1,0,2,2,65714
183,0,3,3,190,13,0,2,2,0,2,2,65715
184,0,3,3,190,27,0,3,2,0,1,2,65716
185,0,4,3,190,28,0,2,2,0,2,2,65717
186,0,3,3,190,24,0,2,2,0,1,2,65718
187,0,3,2,190,16,1,2,2,0,2,2,65719
188,0,3,3,190,19,0,3,2,0,2,2,65720
189,0,3,3,190,10,0,2,2,0,1,2,65721
190,0,3,3,190,9,1,1,2,0,1,1,65722
