,603a293ee62ae15da2674441_comparison,603a293ee62ae15da2674441_int,603a293ee62ae15da2674441_expint,conversation_id,message_len,5c4b06903566570001309394_comparison,5c4b06903566570001309394_int,5c4b06903566570001309394_expint,5df50a49a98a7a3924e4137e_comparison,5df50a49a98a7a3924e4137e_int,5df50a49a98a7a3924e4137e_expint,doccano_id
203,1,2,1,159,37,1,1,2,1,4,4,53999
204,1,2,1,159,19,1,3,2,0,3,3,54000
205,1,2,1,159,10,1,2,2,1,3,4,54001
206,0,3,2,159,4,0,2,2,0,3,3,54002
207,0,1,1,159,3,1,4,2,0,3,3,54003
208,1,2,2,159,18,1,3,2,0,4,3,54004
209,1,1,1,159,3,1,2,1,1,2,2,54005
210,1,2,1,159,19,0,2,1,1,3,2,54006
211,1,1,2,159,17,1,3,3,1,3,4,54007
212,1,2,1,159,15,1,2,3,1,4,4,54008
213,1,2,2,159,23,1,3,2,1,3,4,54009
214,1,2,2,159,5,1,3,2,0,3,3,54010
215,0,2,1,159,7,1,3,2,1,4,3,54011
216,0,2,1,159,1,1,2,2,0,3,3,54012
217,1,1,1,159,7,1,2,2,0,4,4,54013
218,1,1,1,159,2,1,3,2,1,3,3,54014
219,1,2,1,159,7,1,3,2,1,4,3,54015
220,1,1,1,159,15,1,2,2,1,3,4,54016
221,1,2,1,159,2,1,2,2,0,3,4,54017
222,1,3,2,159,9,1,2,2,1,4,4,54018
223,1,3,2,159,10,1,2,2,1,4,3,54019
224,1,2,1,159,8,1,2,2,1,3,3,54020
225,1,2,1,159,11,1,2,2,1,3,4,54021
226,1,2,2,159,1,1,2,2,1,3,3,54022
227,1,2,1,159,7,1,3,1,0,4,4,54023
228,1,1,1,159,13,1,2,1,1,2,2,54024
229,1,2,1,159,1,1,2,2,0,3,2,54025
230,1,1,1,159,1,1,2,2,1,4,3,54026
231,1,3,1,159,10,0,3,2,0,2,3,54027
232,1,2,2,159,7,1,3,2,1,2,3,54028
233,0,1,1,159,14,0,2,2,0,3,3,54029
234,1,2,2,159,25,1,3,2,1,4,4,54030
235,1,3,2,159,13,1,2,1,1,3,3,54031
236,1,1,1,159,4,1,3,2,0,3,2,54032
237,1,2,1,159,16,1,3,2,1,3,4,54033
238,1,2,1,159,1,1,3,2,1,3,4,54034
239,1,3,2,159,8,0,3,2,0,4,4,54035
240,0,2,1,159,1,1,3,1,1,4,3,54036
241,1,1,1,159,65,0,3,2,1,3,4,54037
242,1,1,1,159,7,1,3,3,1,3,3,54038
243,1,1,1,159,15,0,3,2,1,2,2,54039
244,1,1,1,159,15,0,3,2,1,3,3,54040
245,1,1,1,159,4,0,2,2,0,4,4,54041
246,1,2,1,159,2,0,2,2,1,3,3,54042
247,1,1,1,159,6,1,2,1,1,2,1,54043
248,1,3,2,159,7,0,3,1,0,2,3,54044
249,1,1,1,159,9,1,2,2,1,3,4,54045
250,1,3,2,159,15,1,2,2,1,3,4,54046
251,1,1,1,159,16,1,3,2,1,3,3,54047
252,0,3,2,159,8,1,2,2,0,4,4,54048
253,1,1,1,159,1,1,2,1,0,4,3,54049
254,1,2,1,159,11,0,2,1,1,0,0,54050
255,1,1,1,159,4,1,2,3,1,2,2,54051
256,1,1,1,159,7,1,3,2,1,3,3,54052
257,1,1,1,159,7,0,2,1,0,3,4,54053
258,1,2,1,159,18,1,2,1,1,2,2,54054
259,1,1,1,159,28,1,2,2,1,3,3,54055
260,1,2,3,159,4,1,2,2,1,3,4,54056
261,1,2,1,159,8,1,3,1,0,3,4,54057
262,1,1,1,159,10,0,2,2,1,4,4,54058
263,1,1,1,159,19,1,3,2,1,3,3,54059
264,1,2,1,159,2,1,2,1,1,3,4,54060
265,1,2,1,159,13,0,2,2,0,3,3,54061
266,1,2,1,159,5,1,3,2,0,4,3,54062
267,1,0,0,083,3,1,1,1,0,3,3,54064
268,0,3,2,083,44,0,3,2,0,4,3,54065
269,1,2,1,083,19,0,2,3,0,3,4,54066
270,1,2,1,083,22,1,2,2,0,3,3,54067
271,1,3,2,083,55,0,1,1,0,4,4,54068
272,0,2,1,083,24,0,1,1,0,3,2,54069
273,1,1,1,083,34,1,3,2,1,2,3,54070
274,1,1,1,083,24,0,1,1,0,3,3,54071
275,1,1,1,083,31,0,2,1,0,3,4,54072
276,1,1,1,083,7,0,1,1,0,4,3,54073
277,0,1,1,083,29,0,1,1,0,4,4,54074
278,1,2,1,083,28,0,1,1,0,4,3,54075
279,1,1,1,083,13,1,2,1,0,2,3,54076
280,1,2,1,083,39,0,1,1,0,3,3,54077
281,1,2,1,083,7,0,2,1,0,4,4,54078
282,1,1,1,083,12,0,2,2,0,3,4,54079
283,1,1,1,083,30,0,1,1,0,3,3,54080
284,1,1,1,083,21,0,1,1,0,3,4,54081
285,1,1,1,083,5,1,2,1,0,4,4,54082
286,0,2,1,083,56,0,1,1,0,4,4,54083
287,0,2,1,083,20,0,2,2,0,4,4,54084
288,0,2,1,083,13,1,1,2,0,4,4,54085
289,0,3,2,083,39,0,2,2,0,4,4,54086
290,1,2,1,083,3,1,1,1,0,2,2,54087
291,1,1,1,083,27,0,2,1,0,3,3,54088
292,0,3,2,083,17,1,2,2,0,3,4,54089
293,1,3,2,083,32,0,1,1,0,4,3,54090
294,1,2,1,083,11,1,1,1,0,4,4,54091
295,1,3,2,083,13,0,2,1,0,4,4,54092
296,1,2,1,083,46,0,1,1,0,4,3,54093
297,1,2,2,083,36,1,2,2,1,4,3,54094
298,1,2,1,083,20,0,1,1,0,4,3,54095
299,1,1,2,083,12,1,2,1,0,3,3,54096
300,0,1,1,083,17,1,1,1,0,3,3,54097
301,0,2,1,083,3,0,0,1,0,4,3,54098
302,1,2,1,083,8,0,1,0,0,3,3,54099
303,1,1,1,083,6,0,1,1,0,3,4,54100
304,0,2,1,083,11,0,2,1,0,4,3,54101
305,1,3,2,083,55,0,1,0,1,4,4,54102
306,0,2,2,083,25,0,0,1,1,3,4,54103
307,0,2,1,083,55,0,1,1,1,3,3,54104
308,1,1,1,083,36,1,2,1,0,3,4,54105
309,1,3,2,083,34,0,1,1,0,2,2,54106
310,1,2,1,083,15,0,1,1,0,3,2,54107
311,0,2,1,083,25,1,2,1,0,2,3,54108
312,1,2,1,083,36,0,2,1,0,2,3,54109
313,1,1,1,083,24,0,1,1,0,3,3,54110
314,1,3,2,083,38,0,2,1,0,3,4,54111
315,0,3,2,083,13,0,1,2,0,3,3,54112
316,1,2,1,190,4,0,1,1,0,3,3,54114
317,1,1,1,190,7,0,3,2,0,3,4,54115
318,0,2,2,190,21,0,3,3,0,4,3,54116
319,1,2,1,190,23,0,2,3,0,2,3,54117
320,0,4,3,190,57,0,4,3,0,4,3,54118
321,1,2,2,190,26,0,2,2,1,3,3,54119
322,0,3,2,190,29,1,1,1,0,3,4,54120
323,1,2,2,190,27,1,2,3,0,3,3,54121
324,1,3,2,190,43,0,3,2,0,4,3,54122
325,0,3,3,190,17,0,3,3,0,4,4,54123
326,1,2,1,190,19,0,2,3,0,3,4,54124
