,5f325435f0fc671a7434cabe_comparison,5f325435f0fc671a7434cabe_int,5f325435f0fc671a7434cabe_expint,conversation_id,message_len,5ed22618dd85e700082b5de0_comparison,5ed22618dd85e700082b5de0_int,5ed22618dd85e700082b5de0_expint,5fb7e27bfec8e14167bddfef_comparison,5fb7e27bfec8e14167bddfef_int,5fb7e27bfec8e14167bddfef_expint,doccano_id
86,1,3,2,119,40,1,2,2,0,3,3,66399
87,1,1,1,119,3,1,2,2,1,2,2,66400
88,0,4,4,119,21,1,2,2,0,3,2,66401
89,1,4,4,119,4,0,3,3,0,3,3,66402
90,1,3,3,119,18,1,3,3,0,3,3,66403
91,1,0,0,119,12,0,1,1,0,2,2,66404
92,1,0,0,119,12,0,1,1,0,2,2,66405
93,0,2,2,119,14,1,2,2,0,3,3,66406
94,1,0,0,119,12,0,2,2,0,2,3,66407
95,0,4,4,119,8,0,1,1,0,3,3,66408
96,1,3,3,119,12,0,1,1,1,3,3,66409
97,1,3,3,119,13,1,2,2,0,3,3,66410
98,1,3,3,119,7,0,1,1,0,3,2,66411
99,1,4,4,119,12,0,1,1,0,3,3,66412
100,1,4,4,119,14,1,2,1,0,3,2,66413
101,1,4,4,119,24,0,1,1,0,3,3,66414
102,1,3,3,119,12,0,1,1,0,4,3,66415
103,1,4,4,119,16,0,1,1,0,4,4,66416
104,1,4,4,119,12,0,1,1,1,4,4,66417
105,0,4,4,119,11,0,1,1,0,4,4,66418
106,0,2,2,119,4,1,1,1,0,3,4,66419
107,0,3,3,119,12,0,1,1,1,3,3,66420
108,0,4,4,119,4,1,1,1,0,4,4,66421
109,0,2,2,119,12,0,1,1,0,3,3,66422
110,1,4,4,119,12,1,2,2,1,3,3,66423
111,1,3,3,119,19,1,2,2,1,3,2,66424
112,1,3,3,119,11,1,1,1,0,2,2,66425
113,0,3,3,119,22,0,1,1,0,3,3,66426
114,1,4,4,119,8,0,1,1,0,4,4,66427
115,1,3,3,119,7,1,1,1,0,4,4,66428
116,1,1,1,119,5,0,2,2,0,3,3,66429
117,0,0,0,119,12,0,1,1,0,2,2,66430
118,1,1,0,119,3,1,2,2,1,3,3,66431
119,1,0,0,119,9,0,2,2,0,2,2,66432
120,1,4,4,119,15,0,2,2,0,3,3,66433
121,1,0,0,119,12,0,2,2,0,2,2,66434
122,0,0,0,119,12,0,2,2,1,1,2,66435
123,1,0,0,119,5,1,1,1,0,3,3,66436
124,1,0,0,777,1,1,2,2,0,0,0,66438
125,1,3,3,777,40,1,2,2,1,1,1,66439
126,0,4,4,777,44,1,2,2,0,3,3,66440
127,1,2,2,777,8,0,2,2,0,2,2,66441
128,1,0,0,777,8,1,2,2,0,1,1,66442
129,1,3,3,777,18,1,3,3,0,2,2,66443
130,1,4,4,777,72,0,3,3,0,3,3,66444
131,1,3,3,777,109,1,3,3,1,3,2,66445
132,0,3,3,777,39,0,3,3,0,3,3,66446
133,1,3,3,777,31,1,3,3,0,2,2,66447
134,1,4,2,777,11,0,3,3,0,3,3,66448
