,607d3fb81fd7a5c65619ed88_int,607d3fb81fd7a5c65619ed88_expint,conversation_id,message_len,60056b8b5db9c8774719d1a8_int,60056b8b5db9c8774719d1a8_expint,6101885b0f3e7fdafc8fd5d1_int,6101885b0f3e7fdafc8fd5d1_expint,doccano_id
55,1,2,249,5,3,2,2,2,36345
56,1,2,249,15,2,3,2,2,36346
57,1,1,249,9,3,2,2,2,36347
58,0,0,249,6,3,1,2,2,36348
59,0,0,249,2,2,1,2,2,36349
60,2,2,249,20,1,2,2,2,36350
61,3,3,249,43,2,4,3,3,36351
62,1,1,249,13,2,3,2,2,36352
63,1,1,249,13,2,3,1,1,36353
64,0,0,249,3,3,2,1,1,36354
65,1,1,249,8,3,2,1,2,36355
66,4,4,249,42,3,4,2,2,36356
67,3,3,249,22,4,3,2,1,36357
68,0,0,249,2,2,2,1,1,36358
69,4,4,249,55,2,4,2,1,36359
70,3,3,249,23,1,3,1,1,36360
71,2,2,249,30,2,3,1,1,36361
72,0,0,249,1,0,0,1,1,36362
73,3,4,249,30,1,3,1,1,36363
74,2,2,249,14,2,2,1,1,36364
75,2,2,249,16,2,1,1,1,36365
76,3,3,249,18,2,3,1,1,36366
77,4,4,249,42,0,3,1,1,36367
78,1,1,249,10,1,2,1,1,36368
79,1,1,249,9,1,2,1,1,36369
80,1,3,249,11,2,1,1,1,36370
81,2,3,249,24,3,3,1,1,36371
82,1,1,249,5,2,2,1,1,36372
83,2,3,249,33,1,3,1,1,36373
84,2,3,249,31,1,3,1,1,36374
85,1,1,249,4,2,1,2,1,36375
86,1,1,249,6,1,2,1,1,36376
87,1,1,249,5,2,3,1,1,36377
88,3,3,249,41,2,2,1,1,36378
89,2,3,249,30,1,1,1,1,36379
90,4,4,249,39,1,0,1,1,36380
91,3,3,249,29,1,1,1,1,36381
92,1,1,249,11,2,0,1,1,36382
93,1,1,249,15,2,2,1,1,36383
94,2,2,249,21,3,2,1,1,36384
95,1,2,249,12,2,1,1,1,36385
96,2,2,249,28,2,3,1,1,36386
97,1,3,249,22,3,3,1,1,36387
98,1,2,249,10,2,3,1,1,36388
99,1,0,249,6,3,2,2,0,36389
100,0,2,092,3,1,0,1,1,36391
101,0,1,092,2,1,0,1,1,36392
102,1,2,092,7,2,0,3,3,36393
103,1,2,092,4,3,2,2,2,36394
104,3,4,092,3,2,1,3,3,36395
105,0,0,092,1,3,0,1,1,36396
106,2,1,092,2,1,1,1,1,36397
107,0,0,092,1,1,2,1,1,36398
108,2,2,092,6,2,3,1,1,36399
109,0,0,092,1,2,0,1,1,36400
110,2,2,092,6,3,2,1,1,36401
111,2,2,092,7,3,1,1,1,36402
112,2,2,092,4,2,2,1,1,36403
113,0,0,092,3,2,1,1,1,36404
114,3,3,092,13,4,3,1,1,36405
115,2,2,092,6,2,2,1,1,36406
116,2,3,092,18,2,3,1,2,36407
117,0,0,092,1,3,1,1,1,36408
118,3,3,092,2,3,4,1,1,36409
119,4,4,092,3,1,1,1,1,36410
120,3,3,092,9,2,3,1,1,36411
121,3,3,092,12,1,2,1,1,36412
122,0,0,092,2,3,2,1,1,36413
123,1,1,092,4,2,1,1,1,36414
124,4,4,092,9,3,2,2,1,36415
125,4,4,092,9,2,2,2,2,36416
126,4,4,092,11,2,2,1,1,36417
127,2,3,092,21,3,4,2,1,36418
128,1,1,092,5,3,2,1,1,36419
129,2,4,092,7,3,3,1,1,36420
130,2,4,092,5,3,2,1,1,36421
131,4,4,092,3,4,3,1,1,36422
132,3,4,092,6,3,1,1,1,36423
133,0,0,092,1,3,2,1,1,36424
134,1,1,092,3,2,3,2,1,36425
135,1,1,092,6,3,4,2,1,36426
136,3,4,092,7,3,3,1,1,36427
137,3,4,092,6,4,4,1,1,36428
138,0,0,092,1,3,2,1,1,36429
139,1,1,092,4,2,2,1,1,36430
140,0,0,092,1,4,2,1,1,36431
141,0,0,092,1,4,1,1,1,36432
142,0,0,092,1,3,1,1,1,36433
143,0,0,092,1,3,1,1,1,36434
144,4,4,092,6,2,3,1,1,36435
145,3,3,092,6,2,2,1,1,36436
146,4,4,092,1,2,1,1,1,36437
147,0,0,092,1,3,1,1,1,36438
148,2,2,092,7,3,1,1,1,36439
149,1,1,092,1,2,2,1,1,36440
150,1,2,092,8,3,3,1,1,36441
151,0,0,092,1,3,1,2,2,36442
152,0,0,092,1,3,0,2,1,36443
153,0,0,092,1,2,1,2,1,36444
154,2,3,199,6,3,3,1,1,36446
155,2,4,199,6,3,2,1,1,36447
156,2,4,199,7,3,2,1,1,36448
157,3,4,199,18,2,2,2,2,36449
158,3,4,199,10,3,1,2,2,36450
159,3,4,199,8,3,2,2,2,36451
160,1,1,199,9,2,1,2,1,36452
161,1,1,199,2,2,2,1,1,36453
162,1,1,199,2,1,1,1,1,36454
163,2,2,199,6,2,3,1,1,36455
164,3,4,199,39,2,4,2,1,36456
165,1,1,199,4,3,2,1,1,36457
166,2,2,199,17,3,4,1,1,36458
167,1,1,199,2,2,2,1,1,36459
168,3,3,199,27,3,3,1,1,36460
169,4,4,199,47,3,4,2,2,36461
170,2,3,199,23,2,3,2,2,36462
171,3,3,199,32,3,3,2,2,36463
172,4,4,199,48,2,4,2,2,36464
173,2,2,199,11,2,3,2,2,36465
174,3,3,199,30,2,3,2,2,36466
175,1,1,199,5,3,2,2,2,36467
176,1,1,199,1,1,2,1,1,36468
177,2,2,199,9,2,2,1,1,36469
178,0,0,199,2,2,1,1,1,36470
179,1,1,199,8,3,1,1,1,36471
180,3,3,199,37,1,4,1,1,36472
181,3,4,199,8,1,1,1,1,36473
182,0,0,199,3,4,2,2,1,36474
183,1,1,199,3,2,2,1,1,36475
184,1,1,199,2,1,2,1,1,36476
185,2,2,199,6,1,2,1,1,36477
186,1,2,199,4,2,1,1,1,36478
187,2,3,199,17,4,3,1,1,36479
188,2,3,199,10,2,2,1,1,36480
189,2,3,199,14,2,4,1,1,36481
190,1,1,199,1,2,0,1,1,36482
191,1,1,199,2,3,1,1,1,36483
192,0,0,199,1,2,0,1,1,36484
193,2,2,199,18,2,2,1,1,36485
194,2,2,199,22,3,1,1,1,36486
195,2,2,199,16,3,2,1,1,36487
196,4,4,199,157,1,4,2,1,36488
197,4,4,199,139,1,2,2,1,36489
198,1,1,199,15,3,1,2,1,36490
199,1,1,199,4,2,2,1,1,36491
200,2,2,199,15,3,3,1,1,36492
201,0,0,199,2,2,1,1,1,36493
202,0,0,199,1,3,1,1,1,36494
203,1,1,199,1,2,1,1,1,36495
204,0,0,199,1,3,0,1,1,36496
205,1,1,199,13,2,0,1,1,36497
206,0,0,199,1,2,0,1,1,36498
207,0,1,199,1,2,1,1,1,36499
208,1,1,199,1,4,1,1,1,36500
209,0,0,199,1,2,1,1,1,36501
210,1,1,199,8,3,2,2,3,36502
211,0,1,199,3,1,1,2,2,36503
212,2,2,199,16,3,2,3,3,36504
213,1,1,199,4,2,1,2,1,36505
214,2,3,199,10,3,1,1,1,36506
215,3,3,199,22,2,3,1,1,36507
216,2,3,199,18,3,4,1,1,36508
217,0,1,199,1,3,0,1,1,36509
218,1,1,199,2,3,2,1,1,36510
219,3,3,199,29,2,4,3,2,36511
220,0,0,199,1,3,1,2,1,36512
221,1,1,199,3,2,1,2,2,36513
222,2,2,199,13,3,2,3,3,36514
223,4,4,199,36,1,4,3,3,36515
224,0,1,199,4,3,1,2,0,36516
225,1,2,214,8,2,2,2,2,36518
226,2,3,214,23,3,4,2,2,36519
227,2,3,214,3,2,2,2,2,36520
228,1,1,214,5,3,1,2,2,36521
229,2,3,214,26,3,3,2,2,36522
230,2,2,214,6,2,2,2,2,36523
231,4,4,214,31,4,4,2,2,36524
232,1,2,214,12,2,3,2,2,36525
233,3,3,214,18,2,3,2,2,36526
234,2,3,214,15,3,2,3,3,36527
235,2,3,214,25,2,3,3,3,36528
236,1,2,214,3,3,1,3,3,36529
237,1,1,214,2,2,1,2,2,36530
238,0,0,214,3,3,1,2,2,36531
239,4,4,214,28,2,4,3,3,36532
240,4,4,214,44,2,4,3,3,36533
241,2,4,214,17,3,2,3,3,36534
242,2,2,214,16,2,4,3,3,36535
243,1,1,214,5,3,2,3,3,36536
244,3,3,214,26,2,3,3,3,36537
245,1,2,214,12,2,2,4,4,36538
246,3,4,214,85,2,4,3,3,36539
247,3,4,214,38,1,3,3,3,36540
248,3,3,214,28,2,3,3,3,36541
249,4,4,214,27,2,3,3,3,36542
250,1,1,214,4,1,1,2,2,36543
251,2,4,214,24,3,3,3,3,36544
252,4,4,214,38,3,4,3,3,36545
253,4,4,214,56,2,4,3,3,36546
254,1,1,214,8,2,2,3,3,36547
255,2,2,214,14,1,2,2,2,36548
256,4,4,214,44,1,3,2,2,36549
257,1,1,214,6,1,1,2,2,36550
258,2,3,214,21,2,2,2,2,36551
259,1,1,214,6,3,3,1,1,36552
260,3,3,214,31,2,4,1,1,36553
261,4,4,214,57,2,4,2,2,36554
262,4,4,214,45,2,4,2,1,36555
263,3,4,214,32,1,3,2,1,36556
264,3,3,214,33,1,3,2,1,36557
265,2,4,214,33,1,2,2,1,36558
266,1,1,214,3,3,1,2,1,36559
267,0,0,214,4,1,1,1,1,36560
268,3,3,214,31,2,3,1,1,36561
269,4,4,214,66,2,4,2,1,36562
270,1,1,214,3,2,2,1,1,36563
271,1,1,214,3,2,2,1,1,36564
272,1,1,214,18,2,3,3,2,36565
273,1,1,214,7,2,2,1,1,36566
274,1,1,214,16,2,3,1,1,36567
275,2,2,214,19,2,3,1,1,36568
276,1,1,214,21,2,3,1,1,36569
277,2,2,214,27,1,2,1,1,36570
278,1,1,214,5,3,3,1,1,36571
279,3,4,214,52,1,4,2,1,36572
280,1,1,214,8,1,2,1,1,36573
281,3,3,214,44,2,4,1,1,36574
282,1,1,214,7,1,2,1,1,36575
283,1,2,214,14,3,3,1,1,36576
284,1,1,214,6,2,2,2,1,36577
285,1,1,214,17,2,4,1,1,36578
286,1,2,214,14,1,2,1,1,36579
287,3,3,214,46,2,4,2,1,36580
288,2,3,214,29,3,3,2,2,36581
289,2,2,214,18,2,2,2,1,36582
290,1,1,195,8,1,1,1,1,36584
291,1,2,195,7,2,1,2,2,36585
292,1,3,195,11,1,2,2,2,36586
293,1,3,195,14,2,2,2,2,36587
294,2,3,195,10,3,2,2,2,36588
295,2,4,195,25,2,3,2,2,36589
296,1,1,195,9,1,1,1,1,36590
297,2,2,195,18,2,3,3,3,36591
298,1,1,195,4,2,1,2,3,36592
299,2,3,195,7,4,2,2,3,36593
300,1,1,195,6,1,1,3,3,36594
301,1,1,195,7,3,2,3,3,36595
302,1,1,195,7,2,3,3,3,36596
303,1,2,195,6,3,2,3,3,36597
304,2,2,195,13,2,1,3,3,36598
305,1,1,195,7,2,1,3,3,36599
306,1,1,195,12,3,3,3,3,36600
307,1,1,195,4,3,1,3,3,36601
308,0,2,195,6,4,3,3,3,36602
309,1,4,195,17,3,3,3,3,36603
310,2,3,195,14,3,4,3,3,36604
311,4,4,195,86,3,4,2,2,36605
312,0,0,195,2,1,1,1,1,36606
313,1,1,195,13,3,2,1,1,36607
314,1,1,195,13,4,2,1,1,36608
315,2,4,195,22,3,2,2,2,36609
316,3,4,195,40,2,3,1,1,36610
317,3,4,195,37,2,2,2,2,36611
318,2,4,195,19,4,4,2,2,36612
319,1,2,195,10,3,2,2,2,36613
320,1,1,195,8,2,3,2,2,36614
321,1,2,195,13,2,3,2,2,36615
322,2,2,195,10,1,3,2,2,36616
323,1,1,195,13,4,3,1,1,36617
324,3,3,195,31,3,4,1,1,36618
325,1,1,195,5,2,2,1,1,36619
326,2,2,195,14,2,2,1,1,36620
327,1,2,195,5,1,2,1,1,36621
328,1,2,195,7,3,3,1,1,36622
329,2,2,195,3,2,2,1,1,36623
330,1,1,195,3,4,1,1,1,36624
331,3,4,195,39,3,3,2,2,36625
332,4,4,195,62,1,4,2,2,36626
333,4,4,195,52,2,4,2,2,36627
334,2,3,195,3,2,2,2,1,36628
335,2,4,195,9,1,3,1,1,36629
336,1,2,195,11,2,2,2,2,36630
337,2,3,195,9,2,3,2,2,36631
338,2,4,195,22,2,3,2,2,36632
339,1,3,195,8,2,2,2,2,36633
340,2,3,195,14,3,3,2,2,36634
341,1,2,195,17,1,3,2,2,36635
342,3,3,195,21,2,3,1,1,36636
343,4,4,195,23,1,2,1,1,36637
344,4,4,195,34,1,3,1,1,36638
345,3,4,195,32,1,4,1,1,36639
346,2,3,195,19,2,3,1,1,36640
347,2,4,195,10,2,2,1,1,36641
348,1,2,195,5,1,3,1,1,36642
349,2,3,195,19,1,2,1,1,36643
350,1,0,195,7,3,2,1,1,36644
351,0,0,195,2,1,2,2,2,36645
