,5ecd7b06a1a9170e7806f51e_comparison,5ecd7b06a1a9170e7806f51e_int,5ecd7b06a1a9170e7806f51e_expint,conversation_id,message_len,5f5e7de4c81d3672642cd612_comparison,5f5e7de4c81d3672642cd612_int,5f5e7de4c81d3672642cd612_expint,5ffdf54a500d7740e02f3639_comparison,5ffdf54a500d7740e02f3639_int,5ffdf54a500d7740e02f3639_expint,doccano_id
112,0,4,4,180,30,0,1,2,0,3,2,64562
113,0,3,2,180,14,0,1,1,0,3,2,64563
114,0,4,4,180,12,0,1,1,0,3,2,64564
115,0,4,4,180,16,1,0,1,0,3,2,64565
116,0,2,4,180,8,0,1,1,0,3,2,64566
117,0,2,3,180,11,0,1,1,0,3,2,64567
118,0,3,4,180,7,1,0,0,0,3,3,64568
119,0,2,4,180,10,0,0,0,0,3,2,64569
120,0,3,4,180,6,0,1,1,0,3,3,64570
121,0,2,3,180,13,0,1,2,0,2,2,64571
122,0,4,3,180,12,0,1,2,0,2,2,64572
123,0,3,4,180,5,0,2,1,0,2,2,64573
124,0,4,3,180,11,0,1,1,0,2,2,64574
125,0,3,3,180,8,1,1,0,0,2,2,64575
126,0,2,3,180,3,0,0,0,0,2,1,64576
127,0,4,2,180,20,0,1,1,0,2,2,64577
128,0,3,1,180,2,1,0,0,0,2,1,64578
129,1,2,2,180,8,1,0,0,0,2,2,64579
130,0,1,2,180,6,0,0,0,0,2,2,64580
131,0,3,3,180,36,1,2,1,0,2,2,64581
132,0,2,2,180,13,1,1,2,0,2,2,64582
133,1,3,3,180,25,0,1,2,0,2,2,64583
134,0,2,2,180,15,0,0,0,0,1,1,64584
135,0,2,2,180,13,0,0,0,0,1,1,64585
136,0,2,3,180,10,0,0,0,0,3,2,64586
137,0,4,4,180,15,0,0,1,0,3,2,64587
138,0,4,4,180,62,0,0,3,0,3,3,64588
139,0,4,4,180,13,0,1,1,0,3,3,64589
140,0,3,4,180,13,0,0,0,0,3,2,64590
141,1,3,3,180,14,0,0,1,0,3,2,64591
142,0,2,4,180,9,1,2,1,0,2,1,64592
143,0,3,4,180,12,0,1,1,0,2,2,64593
144,0,2,4,180,1,0,0,0,0,2,2,64594
145,0,2,4,180,12,0,0,0,0,2,2,64595
146,0,3,3,180,5,1,0,0,0,3,3,64596
147,0,2,3,180,8,0,2,1,0,3,3,64597
148,1,4,3,180,17,1,0,0,0,3,2,64598
149,0,4,4,180,94,0,0,1,1,2,1,64599
150,0,3,3,180,93,0,1,0,0,2,1,64600
151,0,4,2,180,50,0,1,2,0,2,2,64601
152,0,2,3,180,31,0,0,0,0,2,2,64602
153,1,2,2,180,8,1,0,0,1,2,1,64603
154,0,2,1,180,6,0,0,0,0,2,1,64604
155,0,2,3,180,2,0,0,0,0,3,2,64605
156,0,3,3,180,13,0,1,1,0,3,2,64606
157,0,3,1,180,16,0,0,1,0,3,2,64607
158,0,3,2,180,33,1,0,1,1,2,1,64608
159,0,3,3,180,10,0,1,1,0,2,2,64609
160,0,3,2,180,25,1,1,1,0,2,2,64610
161,0,2,2,180,14,0,0,0,0,2,2,64611
162,0,3,4,180,13,0,1,1,0,2,2,64612
163,0,3,4,180,19,1,1,1,0,2,2,64613
164,0,2,3,180,8,0,1,0,0,2,2,64614
165,0,2,1,180,26,0,0,1,0,2,2,64615
166,0,1,1,180,6,1,0,0,0,2,1,64616
167,0,2,3,180,13,1,0,1,0,2,2,64617
168,0,2,2,180,19,1,0,0,0,2,2,64618
169,0,1,2,180,12,0,0,0,0,2,2,64619
170,0,2,1,180,20,0,0,1,0,2,2,64620
171,0,1,1,180,9,0,0,0,0,2,2,64621
172,0,2,1,180,10,0,0,1,0,2,2,64622
173,0,3,2,180,23,0,0,2,0,2,2,64623
174,0,2,2,180,5,0,0,0,0,3,2,64624
175,0,2,2,180,10,0,0,0,0,2,1,64625
176,1,0,2,777,1,1,0,0,1,1,0,64627
177,1,3,3,777,40,1,1,2,0,2,1,64628
178,1,3,3,777,44,1,0,1,0,2,1,64629
179,0,2,2,777,8,0,0,0,0,2,1,64630
180,0,1,2,777,8,0,0,0,0,3,2,64631
181,1,2,2,777,18,1,2,2,0,2,2,64632
182,1,2,3,777,72,0,1,2,1,2,2,64633
183,1,2,2,777,109,1,0,1,0,2,2,64634
184,1,1,1,777,39,1,1,1,0,2,2,64635
185,1,1,2,777,31,1,0,1,0,2,2,64636
186,1,1,2,777,11,1,0,1,0,2,2,64637
