,5fd0c81fc79aef1882cbee94_comparison,5fd0c81fc79aef1882cbee94_int,5fd0c81fc79aef1882cbee94_expint,conversation_id,message_len,5f3e95436fa4350dadcfbfeb_comparison,5f3e95436fa4350dadcfbfeb_int,5f3e95436fa4350dadcfbfeb_expint,5d2d98a9a0d896001a5d6e4f_comparison,5d2d98a9a0d896001a5d6e4f_int,5d2d98a9a0d896001a5d6e4f_expint,doccano_id
42,0,3,3,153,6,0,3,3,0,2,2,65925
43,0,3,4,153,12,1,4,4,0,1,1,65926
44,0,2,2,153,12,1,4,4,0,2,2,65927
45,0,2,4,153,12,1,4,4,0,2,2,65928
46,0,3,3,153,8,0,3,3,0,2,2,65929
47,0,4,4,153,30,0,4,4,0,2,2,65930
48,1,3,2,153,10,0,4,4,0,2,2,65931
49,0,2,3,153,12,1,4,4,0,2,1,65932
50,0,2,2,153,8,0,4,4,0,1,1,65933
51,1,2,2,153,8,0,3,3,0,2,2,65934
52,1,2,3,153,22,0,4,4,0,1,1,65935
53,1,1,3,153,20,0,4,4,1,2,2,65936
54,0,1,1,153,12,1,3,3,0,3,3,65937
55,1,2,2,153,2,1,3,2,1,2,2,65938
56,0,1,1,153,4,0,2,2,0,2,2,65939
57,0,1,1,143,2,1,1,1,0,2,2,65941
58,0,3,3,143,18,0,2,2,0,2,2,65942
59,1,2,3,143,7,0,2,2,0,2,2,65943
60,0,3,2,143,4,0,2,2,0,2,2,65944
61,0,4,3,143,11,0,2,2,0,2,2,65945
62,0,2,3,143,8,0,2,2,0,2,2,65946
63,0,3,3,143,13,0,3,3,0,2,2,65947
64,0,4,4,143,32,1,2,2,1,2,2,65948
65,0,4,3,143,26,0,2,2,1,2,2,65949
66,1,3,3,143,46,0,2,2,1,2,2,65950
67,0,2,3,143,18,0,2,2,0,2,2,65951
68,0,3,2,143,14,1,2,2,0,3,2,65952
69,0,4,3,143,10,0,3,3,1,2,2,65953
70,0,3,3,143,46,0,2,2,0,1,1,65954
71,0,4,4,143,16,0,3,3,0,1,1,65955
72,0,2,2,143,14,0,2,2,0,2,2,65956
73,1,4,4,143,5,0,3,2,0,1,1,65957
74,0,3,3,143,11,0,2,2,1,1,1,65958
75,1,2,3,143,5,1,2,2,1,2,2,65959
76,0,2,2,143,11,0,2,2,0,2,2,65960
77,1,1,4,143,12,1,3,3,1,2,2,65961
78,0,4,4,143,11,0,3,3,1,2,2,65962
79,0,3,3,143,11,0,3,3,1,2,2,65963
80,1,2,2,143,12,1,3,3,0,2,2,65964
81,0,4,3,143,28,0,3,3,1,2,2,65965
82,0,3,3,143,12,1,3,3,1,2,2,65966
83,0,3,3,143,26,0,2,2,0,2,2,65967
84,0,2,3,143,8,0,3,3,1,2,2,65968
85,0,2,2,143,12,0,3,3,0,2,2,65969
86,0,2,3,143,12,0,2,2,0,2,2,65970
87,0,3,3,143,14,0,2,2,0,2,2,65971
88,0,3,2,143,14,0,2,2,0,2,2,65972
89,0,4,4,143,11,0,2,2,0,2,2,65973
90,0,3,2,143,10,0,3,3,0,2,2,65974
91,0,0,1,143,15,0,3,3,0,2,2,65975
92,0,3,3,143,10,0,3,3,0,2,2,65976
93,0,3,3,143,10,0,3,3,0,2,2,65977
94,0,4,4,143,9,0,4,4,0,2,2,65978
95,0,3,2,143,14,0,3,3,0,2,2,65979
96,0,4,4,143,29,0,3,3,1,2,2,65980
97,0,3,2,143,13,0,3,3,1,2,2,65981
98,0,3,2,143,37,0,4,4,1,2,2,65982
99,0,3,3,143,12,0,4,4,1,2,2,65983
100,0,3,2,143,25,0,4,4,0,2,2,65984
101,0,3,3,143,53,0,4,4,0,2,2,65985
102,0,3,3,143,9,0,4,4,0,2,2,65986
103,0,2,2,143,8,0,3,3,0,2,2,65987
104,0,3,3,143,14,0,3,3,0,3,3,65988
105,0,3,3,143,18,0,4,4,0,2,2,65989
106,0,3,3,143,18,0,3,3,0,2,3,65990
107,1,3,2,143,10,1,4,4,0,2,2,65991
108,1,3,3,143,7,1,3,3,1,2,3,65992
109,0,3,2,143,15,0,4,4,0,2,2,65993
110,1,2,3,143,12,0,3,3,0,2,2,65994
111,1,4,4,143,33,0,4,4,0,2,3,65995
112,1,3,3,143,11,0,3,3,0,2,2,65996
113,0,3,3,143,6,0,4,4,0,2,3,65997
114,0,3,2,143,6,0,3,3,0,2,2,65998
115,0,3,3,143,19,0,3,3,1,2,2,65999
116,1,3,3,143,12,0,4,4,0,2,2,66000
117,0,3,3,143,13,0,4,3,0,2,2,66001
118,0,4,3,143,12,1,4,4,1,2,3,66002
119,0,3,3,143,7,1,3,3,0,2,2,66003
120,0,4,3,143,1,0,3,3,0,2,2,66004
121,1,2,3,143,20,1,3,3,1,2,2,66005
122,0,2,2,143,9,0,4,4,1,2,2,66006
123,1,3,2,143,18,1,4,4,1,2,2,66007
124,0,2,3,143,25,0,4,4,1,2,2,66008
125,0,2,3,143,8,0,3,3,0,2,2,66009
126,1,3,2,143,39,1,4,4,1,3,3,66010
127,0,3,3,143,94,0,4,4,0,2,2,66011
128,0,3,4,143,9,0,3,4,0,2,2,66012
129,0,3,3,143,20,0,3,3,0,2,3,66013
130,0,3,2,143,6,0,4,4,0,3,3,66014
131,0,2,2,143,6,1,4,4,1,2,2,66015
132,0,4,3,143,8,0,4,4,0,2,2,66016
133,0,3,3,143,11,0,4,4,0,2,2,66017
134,0,3,3,143,5,0,4,4,0,2,3,66018
135,0,4,3,143,31,0,4,4,0,2,2,66019
136,0,3,2,143,13,0,3,4,0,2,2,66020
137,0,2,3,143,12,0,4,4,0,2,2,66021
138,0,3,3,143,27,0,3,3,0,2,3,66022
139,1,2,2,143,10,0,3,3,0,2,2,66023
140,0,3,2,143,11,0,4,4,0,2,3,66024
141,0,3,3,143,15,0,3,4,1,2,3,66025
142,1,4,3,143,15,0,4,4,0,2,2,66026
143,0,3,3,143,9,0,3,4,0,2,2,66027
144,1,2,3,143,13,0,4,4,0,2,2,66028
145,0,2,2,143,17,0,3,3,0,2,3,66029
146,1,1,1,143,13,1,4,4,0,3,3,66030
147,0,2,2,167,12,1,1,1,0,1,2,66032
148,1,2,2,167,12,1,2,2,0,2,3,66033
149,0,1,1,167,6,0,2,3,0,2,2,66034
150,0,2,1,167,12,1,2,2,0,2,3,66035
151,1,2,2,167,12,1,3,3,0,2,2,66036
152,1,3,3,167,12,1,2,3,0,2,2,66037
153,1,2,3,167,3,1,2,2,1,2,2,66038
154,0,2,2,167,12,1,2,3,0,1,1,66039
155,1,3,3,167,13,0,4,4,0,2,3,66040
156,0,3,2,167,7,0,3,3,1,2,2,66041
157,1,3,2,167,8,0,4,4,0,2,3,66042
158,0,2,2,167,12,1,1,1,0,2,2,66043
159,0,2,3,167,12,1,1,1,0,2,3,66044
160,0,2,2,167,12,1,1,2,0,2,2,66045
161,0,3,2,167,12,1,1,1,0,2,2,66046
162,0,2,2,167,12,1,1,1,0,2,2,66047
163,0,2,2,167,12,1,1,1,0,2,2,66048
164,0,2,2,167,20,0,1,1,0,2,2,66049
165,0,2,2,167,12,1,1,1,0,2,2,66050
166,1,3,3,167,12,1,1,1,0,2,2,66051
167,1,2,3,167,12,1,1,1,0,2,2,66052
168,0,2,2,167,12,1,1,1,0,2,2,66053
169,0,2,2,167,2,1,1,1,0,2,3,66054
170,1,2,4,167,6,1,1,1,0,2,3,66055
171,1,1,1,167,12,1,1,1,0,2,2,66056
172,0,2,2,167,2,1,2,1,0,2,2,66057
173,0,3,2,167,12,0,2,2,0,2,2,66058
174,0,3,2,167,12,1,1,1,0,2,2,66059
175,1,3,3,167,2,1,1,2,1,2,2,66060
176,0,2,3,167,6,0,2,2,0,2,2,66061
177,0,3,3,167,14,0,1,1,0,2,2,66062
178,0,3,3,167,12,1,3,3,0,2,2,66063
179,0,2,2,167,5,0,2,2,0,2,2,66064
180,0,2,2,167,4,0,2,2,0,2,2,66065
181,0,2,3,167,4,0,2,2,0,2,2,66066
182,0,3,3,167,3,0,4,4,1,2,2,66067
183,0,3,3,167,6,0,4,4,0,2,2,66068
184,0,3,3,167,14,0,4,4,0,2,2,66069
185,1,3,3,167,6,0,4,4,0,2,3,66070
186,1,3,3,167,13,1,4,4,1,2,3,66071
187,0,3,4,167,30,0,4,4,1,2,3,66072
188,1,3,3,167,28,1,4,4,1,2,2,66073
189,0,2,2,167,5,1,4,4,1,2,2,66074
190,0,2,2,167,12,1,3,3,0,2,2,66075
191,0,3,3,167,2,1,2,2,0,2,3,66076
192,0,2,2,167,12,1,3,3,0,2,3,66077
193,0,3,3,167,12,1,2,2,0,2,2,66078
194,0,2,2,167,2,0,2,2,0,2,2,66079
195,1,1,1,167,12,1,2,2,0,2,2,66080
196,1,1,1,167,2,1,2,2,1,3,3,66081
197,0,1,1,190,1,0,1,1,0,2,3,66083
198,0,2,2,190,5,0,3,3,0,2,3,66084
199,0,3,3,190,9,0,3,3,0,3,3,66085
200,0,3,3,190,13,1,3,3,0,3,3,66086
201,0,3,3,190,27,0,4,3,0,3,3,66087
202,0,3,3,190,28,0,3,3,0,3,3,66088
203,0,2,2,190,24,0,3,3,0,3,3,66089
204,0,3,3,190,16,1,3,3,1,3,3,66090
205,0,3,3,190,19,0,3,3,1,3,3,66091
206,0,3,2,190,10,0,4,4,0,3,3,66092
207,0,3,2,190,9,0,4,3,1,2,2,66093
