,5fae9cb0444e590669418214_int,5fae9cb0444e590669418214_expint,conversation_id,message_len,5f983c66dabf130bee4502f7_int,5f983c66dabf130bee4502f7_expint,60c8bfd9f42872e2d303cc67_int,60c8bfd9f42872e2d303cc67_expint,doccano_id
73,3,4,052,2,1,1,1,2,39436
74,4,4,052,12,3,1,2,2,39437
75,4,3,052,12,3,2,2,2,39438
76,3,4,052,3,1,0,1,1,39439
77,4,4,052,7,2,1,0,1,39440
78,1,3,052,1,1,2,0,1,39441
79,3,3,052,6,2,2,1,1,39442
80,4,4,052,7,3,2,2,1,39443
81,4,4,052,5,3,2,2,1,39444
82,4,4,052,19,3,2,2,1,39445
83,4,4,052,8,2,2,1,2,39446
84,3,3,052,8,3,1,1,0,39447
85,2,1,052,3,1,0,1,0,39448
86,1,0,052,4,1,0,0,0,39449
87,2,3,172,5,2,2,1,1,39451
88,1,3,172,11,2,1,1,1,39452
89,3,4,172,22,3,3,2,2,39453
90,4,4,172,19,3,3,2,2,39454
91,4,4,172,7,2,2,1,1,39455
92,4,4,172,29,2,4,3,3,39456
93,4,4,172,17,3,2,2,3,39457
94,4,4,172,18,2,3,3,4,39458
95,4,4,172,11,3,2,2,2,39459
96,4,4,172,14,4,3,2,3,39460
97,4,4,172,9,3,3,1,1,39461
98,4,4,172,59,4,2,4,3,39462
99,4,4,172,15,3,3,3,3,39463
100,4,4,172,22,4,3,3,2,39464
101,3,1,172,13,3,2,3,2,39465
102,3,3,172,3,2,3,3,3,39466
103,4,4,172,23,4,2,3,3,39467
104,4,4,172,12,2,2,3,3,39468
105,4,4,172,21,2,3,3,4,39469
106,4,4,172,6,3,4,3,2,39470
107,4,4,172,14,3,2,3,4,39471
108,4,4,172,25,4,3,3,3,39472
109,4,4,172,20,4,3,3,4,39473
110,4,4,172,25,4,4,4,4,39474
111,4,4,172,28,3,2,3,3,39475
112,4,4,172,16,3,2,4,3,39476
113,4,4,172,19,3,2,4,4,39477
114,4,4,172,25,2,2,4,4,39478
115,4,4,172,29,3,3,4,4,39479
116,4,4,172,25,4,2,3,4,39480
117,4,4,172,7,2,4,3,4,39481
118,4,4,172,16,3,3,3,3,39482
119,3,4,172,12,1,2,4,3,39483
120,4,4,172,36,3,2,4,3,39484
121,4,4,172,13,4,2,3,3,39485
122,4,4,172,30,3,2,4,4,39486
123,4,4,172,18,2,1,3,3,39487
124,4,4,172,12,2,2,4,4,39488
125,4,4,172,17,3,2,3,3,39489
126,4,4,172,19,3,2,4,4,39490
127,4,4,172,25,3,2,3,4,39491
128,4,4,172,16,4,4,4,4,39492
129,4,4,172,39,4,3,4,4,39493
130,4,4,172,10,3,3,3,4,39494
131,4,4,172,1,3,2,2,3,39495
132,4,4,172,12,2,1,3,4,39496
133,4,4,172,48,3,2,3,4,39497
134,4,4,172,14,2,1,2,1,39498
135,3,2,172,6,1,0,1,0,39499
136,2,2,163,14,1,2,2,2,39501
137,2,2,163,9,2,2,1,2,39502
138,2,2,163,7,1,2,1,1,39503
139,2,2,163,5,2,2,0,1,39504
140,3,3,163,24,3,2,4,4,39505
141,3,3,163,12,3,2,2,3,39506
142,4,4,163,32,3,2,4,4,39507
143,4,4,163,39,3,1,4,4,39508
144,4,4,163,7,1,2,3,3,39509
145,4,4,163,45,2,3,4,4,39510
146,3,3,163,4,3,2,3,4,39511
147,3,3,163,1,1,2,2,3,39512
148,4,4,163,17,2,2,3,4,39513
149,4,4,163,4,3,3,2,3,39514
150,4,4,163,12,2,3,3,4,39515
151,4,4,163,2,1,4,1,4,39516
152,4,4,163,48,4,2,4,4,39517
153,4,4,163,22,2,2,4,4,39518
154,4,4,163,28,3,2,3,4,39519
155,4,4,163,1,1,3,2,3,39520
156,3,3,163,13,2,2,3,3,39521
157,3,4,163,6,2,2,3,4,39522
158,3,3,163,18,2,2,3,4,39523
159,3,4,163,36,3,2,3,4,39524
160,4,4,163,6,3,2,2,3,39525
161,4,4,163,7,2,1,3,3,39526
162,4,4,163,28,2,2,4,4,39527
163,4,4,163,13,2,2,3,4,39528
164,4,4,163,16,1,2,3,3,39529
165,4,4,163,9,2,1,2,3,39530
166,4,4,163,9,1,2,2,1,39531
167,4,4,163,9,2,3,2,2,39532
168,4,4,163,14,2,3,1,2,39533
169,4,4,163,23,2,2,2,3,39534
170,4,4,163,29,3,2,3,4,39535
171,4,4,163,1,0,1,2,3,39536
172,4,4,163,11,1,2,2,2,39537
173,4,4,163,15,2,2,3,3,39538
174,4,4,163,20,2,2,3,2,39539
175,4,4,163,10,2,2,3,3,39540
176,4,4,163,27,3,2,3,4,39541
177,4,4,163,1,2,1,1,2,39542
178,4,4,163,9,2,2,2,1,39543
179,4,4,163,12,1,2,2,2,39544
180,4,4,163,18,1,2,2,2,39545
181,4,4,163,5,2,3,2,1,39546
182,4,4,163,8,3,2,2,1,39547
183,4,4,163,32,2,2,2,1,39548
184,4,4,163,9,2,2,1,1,39549
185,4,4,163,22,2,2,2,2,39550
186,4,4,163,4,3,2,2,1,39551
187,4,4,163,2,2,1,1,1,39552
188,4,4,163,45,2,3,3,3,39553
189,4,4,163,35,2,2,4,4,39554
190,4,4,163,58,2,2,4,4,39555
191,3,2,163,10,2,2,3,3,39556
192,3,4,163,46,2,3,2,2,39557
193,3,3,163,28,2,2,3,2,39558
194,4,4,163,49,3,3,3,3,39559
195,4,4,163,11,2,2,3,2,39560
196,4,4,163,2,1,2,2,2,39561
197,4,4,163,6,1,2,2,2,39562
198,4,4,163,3,1,2,1,1,39563
199,4,4,163,13,2,2,1,2,39564
200,4,4,163,6,2,1,1,1,39565
201,4,4,163,17,2,2,2,2,39566
202,4,4,163,11,1,2,3,2,39567
203,4,4,163,3,1,2,2,2,39568
204,4,4,163,22,2,2,2,3,39569
205,4,4,163,4,3,2,2,2,39570
206,4,4,163,7,2,2,3,3,39571
207,4,4,163,8,2,1,3,2,39572
208,4,4,163,3,1,2,2,2,39573
209,4,4,163,13,3,2,3,3,39574
210,4,4,163,8,2,2,4,4,39575
211,4,4,163,9,3,2,4,4,39576
212,4,4,163,17,3,2,4,4,39577
213,4,4,163,10,2,2,3,3,39578
214,3,2,163,12,2,1,2,1,39579
215,2,2,163,5,1,0,1,0,39580
216,0,2,094,3,1,2,0,1,39582
217,1,1,094,6,2,2,0,0,39583
218,3,3,094,13,2,2,1,2,39584
219,3,3,094,3,1,2,1,1,39585
220,3,3,094,3,1,2,1,1,39586
221,3,3,094,6,2,3,1,1,39587
222,3,4,094,9,2,2,1,1,39588
223,4,4,094,2,1,2,0,1,39589
224,4,4,094,1,2,2,1,1,39590
225,4,4,094,11,2,2,2,1,39591
226,4,4,094,18,2,2,2,2,39592
227,4,4,094,7,2,2,2,2,39593
228,4,4,094,6,2,2,1,2,39594
229,4,4,094,8,2,2,2,2,39595
230,4,3,094,3,2,2,2,2,39596
231,3,3,094,5,1,2,2,2,39597
232,3,4,094,2,2,2,1,1,39598
233,3,3,094,1,1,2,0,1,39599
234,4,4,094,8,2,2,1,1,39600
235,4,4,094,12,3,2,2,2,39601
236,4,4,094,3,2,2,2,2,39602
237,4,4,094,7,3,2,2,2,39603
238,4,4,094,13,2,2,2,2,39604
239,4,4,094,9,3,2,1,1,39605
240,4,4,094,16,3,2,2,2,39606
241,4,4,094,8,2,2,2,2,39607
242,4,4,094,1,1,2,0,1,39608
243,4,4,094,20,2,2,2,2,39609
244,4,4,094,4,2,2,1,1,39610
245,4,4,094,9,2,2,2,2,39611
246,3,3,094,1,1,1,0,1,39612
247,3,4,094,3,2,2,2,2,39613
248,3,3,094,1,1,2,0,1,39614
249,3,4,094,1,1,2,0,1,39615
250,2,3,094,1,0,1,0,1,39616
251,2,3,094,1,2,2,0,1,39617
252,3,3,094,1,2,2,1,1,39618
253,3,3,094,1,2,2,0,1,39619
254,4,4,094,2,2,2,1,1,39620
255,4,4,094,3,2,2,1,1,39621
256,4,4,094,2,2,2,1,1,39622
257,4,4,094,2,2,2,1,1,39623
258,4,4,094,9,2,2,2,1,39624
259,4,4,094,11,2,2,2,2,39625
260,4,4,094,20,2,3,2,2,39626
261,4,4,094,13,2,2,2,2,39627
262,4,4,094,9,2,2,2,2,39628
263,4,4,094,21,3,2,2,2,39629
264,4,4,094,2,2,2,1,1,39630
265,3,3,094,4,1,2,0,0,39631
266,3,3,094,6,2,0,0,0,39632
267,1,1,062,1,1,2,0,0,39634
268,2,2,062,31,2,2,2,1,39635
269,2,2,062,40,3,2,2,1,39636
270,2,2,062,39,2,2,2,2,39637
271,2,2,062,9,2,3,1,2,39638
272,2,2,062,5,1,3,1,1,39639
273,2,2,062,25,2,2,2,3,39640
274,1,1,062,91,3,2,3,2,39641
275,2,3,062,118,3,2,4,3,39642
276,2,3,062,59,3,2,3,2,39643
277,3,3,062,27,2,2,3,3,39644
278,2,3,062,45,2,2,2,2,39645
279,2,2,062,35,2,2,2,3,39646
280,3,3,062,43,2,2,2,3,39647
281,3,3,062,16,2,2,3,2,39648
282,3,3,062,41,3,2,3,3,39649
283,3,3,062,12,2,2,2,2,39650
284,3,3,062,72,4,3,3,3,39651
285,4,4,062,26,3,2,3,3,39652
286,4,4,062,32,3,2,3,3,39653
287,4,4,062,28,3,2,3,3,39654
288,4,4,062,20,3,2,4,4,39655
289,4,4,062,9,2,2,3,3,39656
290,4,4,062,17,2,2,3,3,39657
291,3,3,062,30,3,2,3,2,39658
292,3,1,062,5,1,0,1,0,39659
