,5f14dbbb791d175744d71a09_comparison,5f14dbbb791d175744d71a09_int,5f14dbbb791d175744d71a09_expint,conversation_id,message_len,5ea59ae1ae3958000acc6400_comparison,5ea59ae1ae3958000acc6400_int,5ea59ae1ae3958000acc6400_expint,5fa888dbc0c212750f986c9e_comparison,5fa888dbc0c212750f986c9e_int,5fa888dbc0c212750f986c9e_expint,doccano_id
35,0,3,3,064,31,0,3,2,1,3,4,59762
36,0,3,3,064,27,0,3,2,0,3,3,59763
37,0,3,3,064,8,0,3,2,0,2,2,59764
38,0,3,3,064,9,0,3,2,1,2,3,59765
39,0,3,3,064,6,0,2,4,1,2,3,59766
40,1,3,3,064,3,1,3,4,1,1,2,59767
41,1,3,3,064,4,0,4,2,0,3,3,59768
42,1,3,3,064,2,0,3,3,1,2,2,59769
43,0,3,4,064,5,0,3,0,0,2,2,59770
44,0,4,4,064,2,0,3,3,0,2,2,59771
45,0,3,3,064,19,0,4,0,0,2,3,59772
46,1,3,3,064,1,0,3,3,1,1,1,59773
47,1,3,3,064,5,0,3,2,1,2,3,59774
48,0,3,3,064,4,0,4,0,0,2,2,59775
49,0,3,3,064,4,1,3,3,1,1,2,59776
50,0,3,3,231,2,0,4,2,1,2,2,59778
51,0,4,3,231,11,0,3,2,0,3,3,59779
52,0,3,3,231,5,0,3,2,0,3,3,59780
53,1,3,3,231,3,0,3,2,1,2,2,59781
54,0,3,3,231,3,1,2,4,1,2,3,59782
55,0,3,3,231,14,1,2,3,0,2,2,59783
56,0,3,3,231,5,0,3,2,1,2,3,59784
57,0,3,3,231,5,1,2,3,0,3,3,59785
58,1,3,3,231,11,1,2,3,1,3,4,59786
59,0,3,3,231,5,1,2,3,0,3,3,59787
60,0,3,3,231,6,1,2,3,1,2,2,59788
61,0,3,3,231,6,0,3,2,0,3,3,59789
62,0,3,3,231,2,0,3,2,1,1,2,59790
63,1,3,3,231,7,0,3,2,0,3,3,59791
64,1,4,3,231,11,0,3,3,0,3,3,59792
65,0,3,3,231,3,0,3,2,0,2,2,59793
66,0,3,3,231,3,1,2,3,0,2,2,59794
67,0,3,3,231,1,1,2,3,0,2,2,59795
68,0,3,3,231,3,0,3,2,1,2,3,59796
69,0,3,3,231,20,1,2,3,1,3,3,59797
70,0,3,3,231,3,1,2,3,1,2,3,59798
71,0,3,3,231,8,0,3,2,0,3,3,59799
72,0,3,3,231,15,0,3,2,0,3,3,59800
73,0,3,3,231,9,0,4,2,1,2,3,59801
74,0,3,3,231,11,0,4,1,0,3,3,59802
75,1,3,3,231,8,1,3,4,1,2,3,59803
76,1,3,3,231,3,1,3,4,1,2,2,59804
77,0,3,3,231,8,0,4,2,0,3,3,59805
78,0,4,4,231,9,0,3,2,1,2,3,59806
79,0,4,4,231,2,0,3,2,0,2,2,59807
80,1,3,3,231,5,0,4,2,1,2,3,59808
81,0,4,4,231,11,1,2,4,1,2,3,59809
82,0,4,4,231,2,0,4,2,0,2,2,59810
83,0,3,3,231,1,0,4,2,0,2,2,59811
84,0,3,3,231,4,0,3,3,0,2,2,59812
85,1,3,3,231,38,1,2,4,0,4,3,59813
86,1,3,3,231,10,0,3,2,1,3,3,59814
87,0,4,3,231,7,0,3,3,1,2,3,59815
88,0,4,4,231,16,0,3,2,0,3,3,59816
89,0,4,4,231,26,0,4,2,0,4,3,59817
90,1,4,4,231,19,0,3,2,0,2,2,59818
91,0,3,3,231,5,0,3,3,1,2,2,59819
92,0,3,3,231,12,0,3,2,0,3,3,59820
93,1,3,3,231,20,0,4,3,0,4,3,59821
94,0,3,3,231,13,1,3,4,0,3,3,59822
95,0,3,3,231,16,1,3,3,1,2,3,59823
96,0,3,3,231,6,0,4,3,0,2,2,59824
97,0,3,3,231,2,1,3,3,0,2,2,59825
98,1,3,3,231,10,0,4,2,1,2,3,59826
99,1,3,3,231,6,0,3,2,0,2,2,59827
100,0,3,3,231,6,0,4,2,0,3,3,59828
101,1,1,0,188,3,1,2,4,1,2,3,59830
102,0,3,3,188,3,0,3,2,1,2,3,59831
103,0,3,3,188,6,0,4,2,0,3,3,59832
104,0,3,3,188,11,1,0,3,0,3,3,59833
105,0,3,3,188,10,0,3,3,0,2,2,59834
106,0,3,3,188,8,0,3,1,1,1,3,59835
107,0,3,3,188,9,1,2,3,0,2,2,59836
108,0,3,3,188,21,0,4,2,0,3,3,59837
109,0,3,3,188,14,0,3,1,0,3,3,59838
110,0,3,3,188,2,0,3,1,0,4,3,59839
111,0,4,4,188,6,0,4,2,0,3,2,59840
112,0,4,4,188,43,1,3,3,0,3,3,59841
113,0,4,4,188,18,0,4,2,0,3,2,59842
114,0,4,4,188,36,0,3,1,1,2,2,59843
115,0,4,4,188,9,0,1,3,0,3,2,59844
116,0,3,3,188,19,0,3,1,0,2,2,59845
117,0,4,4,188,10,0,4,1,0,2,2,59846
118,0,4,4,188,14,0,4,1,0,3,3,59847
119,0,4,4,188,17,1,3,3,1,2,3,59848
120,1,4,4,188,25,1,2,4,1,2,3,59849
121,0,4,4,188,5,1,2,3,0,3,3,59850
122,1,3,3,188,5,1,1,4,0,2,2,59851
123,0,3,3,188,2,0,3,1,0,2,2,59852
124,0,3,3,188,12,0,3,1,0,2,2,59853
125,0,3,3,188,7,0,4,1,0,2,3,59854
126,0,4,4,188,17,1,2,4,1,2,3,59855
127,0,4,4,188,3,0,3,1,0,2,2,59856
128,0,4,4,188,18,0,3,3,0,3,3,59857
129,1,3,3,188,20,0,3,2,1,2,3,59858
130,0,3,3,188,9,1,2,3,0,2,2,59859
131,0,4,4,188,10,0,3,1,1,2,3,59860
132,0,3,3,188,14,0,3,2,0,3,2,59861
133,1,4,4,188,1,1,0,4,1,1,2,59862
134,0,3,3,188,40,0,3,3,0,3,3,59863
135,0,3,3,188,8,0,3,2,1,1,2,59864
136,0,4,3,188,4,0,3,2,0,2,2,59865
137,0,3,3,188,1,1,2,3,0,1,1,59866
138,0,3,3,188,7,1,2,4,0,2,2,59867
139,1,4,4,188,12,1,4,4,0,3,2,59868
140,1,3,3,188,56,0,3,3,0,3,3,59869
141,0,3,3,188,8,0,4,2,0,2,2,59870
142,0,2,3,188,11,0,4,2,1,1,2,59871
143,1,3,3,188,13,0,3,3,0,3,3,59872
144,0,3,3,188,5,0,4,2,1,2,2,59873
145,0,3,3,188,34,0,4,2,0,2,2,59874
146,0,3,3,188,13,0,4,2,1,2,2,59875
147,0,4,4,188,21,0,4,2,0,3,2,59876
148,0,3,3,188,3,0,4,2,0,2,2,59877
149,0,3,3,188,22,1,3,3,0,2,2,59878
150,0,4,4,188,13,0,3,1,1,2,3,59879
151,1,3,3,188,21,1,2,3,0,2,2,59880
152,0,3,3,188,14,0,3,2,0,3,3,59881
153,0,4,4,188,34,0,3,2,1,2,2,59882
154,1,3,3,188,9,0,4,2,1,2,3,59883
155,0,4,4,188,7,0,1,1,1,1,2,59884
156,0,3,3,188,33,0,4,2,0,2,2,59885
157,0,4,4,188,3,0,3,3,1,1,2,59886
158,0,3,3,188,2,0,4,2,0,2,2,59887
159,0,4,4,188,14,0,4,2,1,2,3,59888
160,0,4,4,188,2,0,3,2,0,2,2,59889
161,0,3,3,190,1,0,4,2,1,1,2,59891
162,0,4,4,190,5,0,3,2,0,2,2,59892
163,0,4,4,190,9,0,4,2,0,3,3,59893
164,0,4,4,190,13,1,3,3,1,2,2,59894
165,0,4,4,190,27,0,4,2,0,3,3,59895
166,0,4,4,190,28,1,2,4,1,2,3,59896
167,0,4,4,190,24,0,4,2,1,2,3,59897
168,0,4,4,190,16,1,4,4,0,2,2,59898
169,0,3,3,190,19,0,3,2,0,3,3,59899
170,0,4,4,190,10,0,3,2,0,3,3,59900
171,0,4,4,190,9,0,3,2,0,3,2,59901
