,5efd146921bf49159fe2d166_comparison,5efd146921bf49159fe2d166_int,5efd146921bf49159fe2d166_expint,conversation_id,message_len,5f8f6afd0b55a11df912a5c9_comparison,5f8f6afd0b55a11df912a5c9_int,5f8f6afd0b55a11df912a5c9_expint,61139bc8479c2861f52c4a71_comparison,61139bc8479c2861f52c4a71_int,61139bc8479c2861f52c4a71_expint,doccano_id
70,1,4,3,126,11,1,3,2,1,4,4,64339
71,0,4,2,126,12,1,2,1,0,4,4,64340
72,0,4,3,126,7,1,2,1,0,4,4,64341
73,0,4,2,126,8,0,3,2,1,4,4,64342
74,1,4,3,126,7,1,3,2,0,4,4,64343
75,1,3,2,126,4,1,3,2,1,4,4,64344
76,0,4,1,126,12,0,2,2,0,4,4,64345
77,0,2,1,020,4,0,2,2,0,4,4,64347
78,1,3,3,020,6,1,3,2,0,4,4,64348
79,1,2,2,020,4,1,2,2,1,4,4,64349
80,1,3,3,020,13,1,3,2,1,4,4,64350
81,0,2,1,020,10,1,3,2,0,3,3,64351
82,0,2,2,020,12,1,3,2,0,4,4,64352
83,1,3,2,020,9,1,2,2,1,4,4,64353
84,1,2,3,020,2,1,3,2,1,4,4,64354
85,1,3,3,020,13,1,2,2,1,4,4,64355
86,1,4,3,020,25,1,2,2,1,4,4,64356
87,1,3,4,020,5,1,2,1,1,4,4,64357
88,1,3,2,020,11,1,3,2,1,4,4,64358
89,0,3,3,020,12,1,3,2,0,4,4,64359
90,1,3,3,020,3,1,3,2,0,4,4,64360
91,0,2,2,020,2,1,2,2,0,4,4,64361
92,0,3,3,020,12,1,3,2,0,4,4,64362
93,0,3,3,020,10,1,2,2,0,4,4,64363
94,1,3,3,020,1,1,3,2,1,4,4,64364
95,1,3,4,020,10,1,3,2,1,4,4,64365
96,0,3,2,020,12,1,3,1,0,4,4,64366
97,1,2,2,020,19,1,3,2,0,4,4,64367
98,1,3,3,020,3,1,3,1,0,4,4,64368
99,1,4,4,020,6,1,3,2,1,4,4,64369
100,0,4,4,020,14,1,3,2,1,4,4,64370
101,1,4,3,020,13,1,3,3,0,4,4,64371
102,1,4,4,020,8,1,4,2,0,4,4,64372
103,0,3,3,020,12,1,2,2,0,4,4,64373
104,1,3,3,020,5,1,3,2,0,4,4,64374
105,1,2,3,020,5,1,2,1,1,4,4,64375
106,1,4,4,020,16,1,4,1,1,4,4,64376
107,1,3,3,020,17,1,3,2,1,4,4,64377
108,1,4,3,020,6,1,3,2,0,4,4,64378
109,1,4,3,020,11,1,2,2,0,4,4,64379
110,1,4,3,020,3,1,3,2,0,4,4,64380
111,0,4,3,020,2,1,3,2,0,4,4,64381
112,0,4,3,020,12,1,3,2,0,4,4,64382
113,0,4,4,020,12,1,3,2,0,4,4,64383
114,0,4,4,020,2,1,2,1,0,4,4,64384
115,1,4,4,020,8,1,3,2,1,4,4,64385
116,0,3,2,020,12,1,3,2,0,4,4,64386
117,1,3,2,020,3,0,3,2,0,4,4,64387
118,1,3,2,020,3,0,3,2,0,4,4,64388
119,0,2,2,201,23,1,3,2,0,3,3,64391
120,0,1,1,201,6,0,3,2,0,3,3,64392
121,1,2,2,201,47,0,3,2,0,4,4,64393
122,0,4,2,201,11,0,3,2,0,4,4,64394
123,0,3,2,201,17,1,3,2,0,4,4,64395
124,0,3,2,201,15,1,2,2,0,4,4,64396
125,1,4,4,201,20,1,3,2,0,4,4,64397
126,0,4,4,201,20,1,3,2,0,3,3,64398
127,0,4,3,201,25,1,3,2,0,4,3,64399
128,0,4,4,201,23,1,2,2,0,4,4,64400
129,0,4,4,201,4,0,3,2,0,4,4,64401
130,0,3,3,201,10,1,3,2,0,4,4,64402
131,0,2,2,201,40,1,3,2,0,4,4,64403
132,0,2,2,201,39,1,3,2,0,4,4,64404
133,1,3,3,201,19,1,3,2,0,3,3,64405
134,0,2,3,201,14,1,3,2,0,4,4,64406
135,0,3,2,201,16,1,2,1,0,3,2,64407
136,0,2,3,201,21,1,2,2,0,3,3,64408
137,0,3,3,201,8,1,3,2,0,3,3,64409
138,0,3,3,201,8,1,2,1,0,3,3,64410
139,0,2,2,201,17,1,3,1,0,3,1,64411
140,0,3,2,201,5,1,3,3,0,2,1,64412
141,0,2,2,201,6,0,2,1,0,3,2,64413
142,0,3,3,201,11,1,3,3,0,3,1,64414
143,1,3,2,201,23,1,2,1,0,2,2,64415
144,1,1,2,201,12,1,2,2,0,2,2,64416
145,0,4,4,201,39,1,2,1,0,4,4,64417
146,0,4,4,201,17,1,2,1,0,4,4,64418
147,0,2,2,201,48,1,2,1,0,2,2,64419
148,0,3,2,201,79,1,3,2,0,3,4,64420
149,0,2,2,201,6,0,3,2,0,3,3,64421
150,0,3,4,201,81,1,3,2,0,4,4,64422
151,0,2,2,201,16,1,3,2,0,3,3,64423
152,0,2,3,201,14,1,3,2,0,3,3,64424
153,0,2,2,201,9,1,3,3,0,3,3,64425
154,0,2,2,201,10,1,3,3,0,3,3,64426
155,0,2,2,201,14,1,3,3,0,3,3,64427
156,0,2,2,201,12,1,3,3,0,3,3,64428
157,0,2,2,201,50,1,3,3,0,3,3,64429
158,1,4,4,201,43,1,3,3,0,4,4,64430
159,1,2,2,201,9,1,3,3,0,3,3,64431
160,0,3,2,201,8,1,3,3,0,4,4,64432
161,0,2,2,201,26,0,3,2,0,4,4,64433
162,0,2,2,201,12,0,2,1,0,3,3,64434
163,0,2,2,201,17,0,2,1,0,2,1,64435
164,0,2,2,190,1,0,2,1,0,2,2,64436
165,0,4,4,190,5,0,3,2,0,4,4,64437
166,0,4,4,190,9,0,3,2,0,4,4,64438
167,1,4,3,190,13,0,3,3,0,4,4,64439
168,0,4,4,190,27,0,3,3,0,4,4,64440
169,0,4,4,190,28,1,3,3,0,4,4,64441
170,0,4,3,190,24,0,3,3,0,4,4,64442
171,0,4,3,190,16,1,3,3,0,4,4,64443
172,0,4,4,190,19,0,3,3,0,4,4,64444
173,0,4,3,190,10,0,3,3,0,4,4,64445
174,0,4,3,190,9,1,3,3,0,4,4,64446
