,610a9f8ba0cf35614ecb2a8d_int,610a9f8ba0cf35614ecb2a8d_expint,conversation_id,message_len,5ec3b9e83f187802a6aa041e_int,5ec3b9e83f187802a6aa041e_expint,61693c754827d0e35885a4ea_int,61693c754827d0e35885a4ea_expint,doccano_id
50,1,2,152,12,3,4,2,2,36022
51,0,1,152,3,2,3,1,1,36023
52,0,1,152,1,3,3,1,2,36024
53,1,2,152,3,4,4,2,2,36025
54,0,1,152,3,4,4,1,2,36026
55,1,2,152,7,3,4,2,3,36027
56,2,1,152,40,4,4,4,3,36028
57,0,2,152,1,2,4,1,2,36029
58,2,1,152,20,4,3,3,2,36030
59,2,1,152,23,3,4,3,2,36031
60,2,2,152,19,3,4,2,2,36032
61,1,2,152,9,3,3,2,2,36033
62,0,1,152,2,3,3,2,2,36034
63,0,1,152,5,2,3,3,2,36035
64,1,1,152,4,3,3,3,2,36036
65,2,1,152,20,3,3,4,2,36037
66,1,2,152,38,3,2,4,3,36038
67,1,2,152,11,3,2,3,2,36039
68,0,1,152,4,2,3,3,2,36040
69,2,1,152,17,3,3,3,2,36041
70,1,2,152,21,3,3,2,2,36042
71,2,1,152,6,4,4,2,2,36043
72,3,2,152,10,4,3,3,2,36044
73,1,2,152,32,4,3,4,3,36045
74,1,1,152,35,4,3,4,3,36046
75,2,1,152,24,2,2,2,2,36047
76,0,1,152,3,1,1,1,1,36048
77,1,1,152,9,1,0,1,1,36049
78,1,2,012,6,1,1,2,2,36051
79,3,2,012,20,2,2,3,2,36052
80,2,2,012,14,2,2,3,2,36053
81,1,2,012,7,3,3,2,2,36054
82,1,2,012,7,2,3,3,2,36055
83,1,2,012,6,3,1,2,2,36056
84,1,2,012,9,3,4,2,2,36057
85,1,1,012,11,3,3,2,2,36058
86,1,2,012,22,2,3,2,2,36059
87,0,1,012,1,3,3,2,2,36060
88,1,2,012,12,3,3,2,2,36061
89,1,1,012,14,4,4,2,2,36062
90,1,2,012,10,4,2,2,2,36063
91,2,2,012,5,4,3,2,3,36064
92,1,1,012,2,3,2,1,2,36065
93,1,2,012,15,3,3,2,2,36066
94,1,2,012,12,4,3,2,2,36067
95,0,1,012,4,4,3,3,3,36068
96,0,1,012,2,3,2,1,2,36069
97,1,2,012,13,3,3,2,2,36070
98,1,2,012,4,4,3,2,2,36071
99,1,1,012,1,3,3,3,2,36072
100,2,1,012,21,4,4,3,2,36073
101,3,2,012,15,4,4,2,2,36074
102,1,2,012,7,4,3,2,2,36075
103,2,1,012,11,3,3,2,2,36076
104,1,2,012,13,3,3,2,2,36077
105,2,1,012,20,4,4,2,2,36078
106,2,2,012,20,4,4,2,2,36079
107,1,2,012,8,4,3,1,2,36080
108,2,1,012,22,4,3,2,3,36081
109,2,1,012,26,4,3,3,3,36082
110,1,2,012,12,4,4,2,2,36083
111,1,1,012,5,3,3,1,1,36084
112,1,0,012,1,1,0,1,1,36085
113,0,1,190,4,1,1,1,2,36087
114,1,1,190,5,2,2,2,2,36088
115,3,2,190,22,3,3,2,2,36089
116,2,2,190,18,3,3,2,2,36090
117,3,2,190,69,4,3,3,2,36091
118,2,2,190,17,4,4,3,3,36092
119,3,2,190,24,3,3,2,2,36093
120,3,2,190,16,3,3,3,3,36094
121,3,3,190,31,4,4,3,3,36095
122,1,2,190,17,4,4,2,2,36096
123,2,2,190,48,4,3,2,3,36097
124,1,2,190,10,4,3,2,3,36098
125,2,2,190,30,4,4,2,3,36099
126,1,2,190,35,3,3,3,3,36100
127,3,2,190,10,3,3,3,3,36101
128,3,2,190,6,3,3,1,2,36102
129,3,2,190,19,3,3,2,3,36103
130,2,3,190,18,3,4,2,3,36104
131,2,2,190,40,4,4,3,3,36105
132,3,2,190,85,4,4,3,3,36106
133,1,2,190,6,3,3,1,2,36107
134,1,1,190,41,3,4,2,2,36108
135,2,2,190,50,4,4,3,2,36109
136,2,1,190,28,3,3,2,2,36110
137,2,3,190,30,3,3,3,2,36111
138,1,2,190,5,2,3,3,2,36112
139,2,2,190,22,3,3,2,2,36113
140,3,2,190,28,4,4,3,2,36114
141,3,2,190,39,4,4,2,3,36115
142,2,2,190,40,4,4,3,2,36116
143,2,1,190,8,4,4,2,2,36117
144,2,2,190,28,3,4,3,3,36118
145,2,3,190,6,3,3,2,2,36119
146,1,1,190,4,2,2,2,2,36120
147,2,2,190,29,2,2,2,2,36121
148,0,1,190,1,1,1,1,1,36122
149,2,0,190,25,3,3,2,0,36123
150,1,2,119,7,1,3,1,1,36125
151,1,2,119,6,1,2,1,1,36126
152,2,2,119,16,1,2,2,2,36127
153,2,2,119,15,1,2,2,2,36128
154,2,2,119,9,2,2,1,2,36129
155,1,2,119,49,2,3,2,2,36130
156,2,3,119,17,2,2,2,2,36131
157,1,2,119,13,2,2,1,1,36132
158,1,1,119,5,1,1,1,1,36133
159,2,1,119,22,2,2,1,2,36134
160,2,1,119,16,3,2,2,2,36135
161,2,1,119,4,2,1,1,2,36136
162,1,1,119,8,1,1,2,2,36137
163,1,2,119,11,1,0,2,2,36138
164,2,1,119,41,1,1,3,2,36139
165,3,2,119,13,1,1,2,2,36140
166,2,2,119,13,1,1,2,2,36141
167,2,1,119,9,1,1,2,2,36142
168,2,3,119,18,2,2,3,2,36143
169,1,2,119,9,2,2,2,2,36144
170,2,2,119,23,2,3,3,2,36145
171,1,1,119,10,2,3,2,2,36146
172,1,2,119,10,3,3,1,2,36147
173,2,2,119,27,2,2,2,2,36148
174,1,1,119,3,1,1,2,2,36149
175,2,1,119,40,1,1,3,2,36150
176,2,2,119,22,2,2,3,2,36151
177,2,1,119,4,2,1,2,2,36152
178,1,2,119,21,2,1,3,2,36153
179,1,1,119,9,1,1,2,2,36154
180,0,2,119,9,1,1,2,2,36155
181,0,1,119,5,1,2,2,2,36156
182,1,2,119,8,2,2,2,2,36157
183,1,2,119,32,2,2,3,2,36158
184,1,1,119,30,2,1,3,3,36159
185,2,1,119,14,1,1,2,2,36160
186,2,2,119,14,2,2,2,2,36161
187,1,1,119,7,2,1,1,2,36162
188,1,1,119,6,1,1,2,2,36163
189,1,2,119,5,1,1,3,3,36164
190,2,2,119,14,2,1,3,3,36165
191,3,2,119,39,3,2,3,3,36166
192,1,2,119,15,2,1,3,2,36167
193,2,1,119,32,2,2,1,0,36168
194,1,0,119,2,1,0,0,0,36169
195,1,1,080,2,2,3,1,1,36171
196,1,1,080,10,2,3,2,2,36172
197,1,1,080,9,2,2,2,2,36173
198,2,1,080,15,2,1,3,2,36174
199,1,1,080,6,2,1,2,2,36175
200,1,1,080,16,3,3,3,3,36176
201,2,1,080,12,3,3,2,2,36177
202,1,2,080,10,2,1,2,2,36178
203,2,2,080,9,2,2,1,2,36179
204,2,2,080,16,3,3,1,1,36180
205,1,1,080,4,3,3,1,1,36181
206,2,1,080,13,3,3,2,2,36182
207,1,2,080,21,4,3,2,2,36183
208,1,2,080,12,3,2,1,1,36184
209,1,1,080,5,2,2,1,2,36185
210,1,1,080,14,2,1,2,2,36186
211,1,1,080,5,2,1,1,2,36187
212,1,2,080,15,1,1,3,2,36188
213,2,1,080,15,2,1,2,2,36189
214,2,2,080,19,2,2,2,2,36190
215,2,2,080,14,3,4,2,2,36191
216,3,2,080,24,3,3,3,2,36192
217,0,1,080,4,3,3,1,1,36193
218,2,2,080,34,3,4,2,2,36194
219,1,1,080,26,3,4,3,2,36195
220,2,1,080,45,3,3,2,2,36196
221,1,2,080,9,2,2,2,2,36197
222,1,2,080,9,2,1,2,2,36198
223,0,1,080,4,2,2,1,2,36199
224,2,1,080,27,2,2,2,2,36200
225,1,2,080,52,3,3,2,2,36201
226,0,1,080,5,2,2,1,2,36202
227,2,2,080,13,2,1,3,2,36203
228,2,1,080,24,1,1,3,3,36204
229,2,2,080,28,1,1,3,3,36205
230,3,2,080,23,1,1,3,2,36206
231,2,1,080,18,1,1,3,2,36207
232,2,3,080,9,2,3,1,2,36208
233,1,2,080,2,2,2,1,2,36209
234,3,2,080,3,2,3,1,1,36210
235,2,2,080,8,3,3,2,2,36211
236,2,2,080,17,3,3,2,2,36212
237,2,1,080,8,3,4,1,2,36213
238,1,1,080,2,3,4,1,1,36214
239,1,1,080,3,3,4,1,1,36215
240,2,1,080,9,3,3,2,2,36216
241,1,2,080,5,3,3,2,2,36217
242,1,2,080,4,3,3,2,2,36218
243,1,1,080,3,2,2,1,2,36219
244,1,2,080,5,4,3,1,2,36220
245,2,2,080,10,3,3,1,2,36221
246,2,1,080,4,3,3,1,2,36222
247,1,2,080,7,2,2,2,2,36223
248,3,2,080,20,3,3,2,2,36224
249,2,2,080,1,4,3,2,2,36225
250,2,2,080,6,3,3,3,2,36226
251,1,2,080,9,3,3,2,2,36227
252,2,2,080,15,4,4,2,2,36228
253,1,2,080,17,3,4,2,1,36229
254,1,1,080,9,3,2,2,2,36230
255,1,2,080,6,2,2,2,2,36231
256,2,2,080,8,2,1,2,2,36232
257,3,2,080,8,3,3,2,2,36233
258,2,2,080,10,4,4,2,2,36234
259,2,2,080,10,4,4,1,1,36235
260,1,2,080,3,3,4,1,1,36236
261,2,2,080,6,3,4,2,1,36237
262,2,1,080,23,4,4,2,1,36238
263,2,2,080,30,3,4,2,2,36239
264,1,2,080,4,3,4,2,2,36240
265,1,2,080,2,3,3,2,2,36241
266,2,1,080,10,2,2,3,2,36242
267,1,2,080,16,3,2,2,2,36243
268,2,2,080,12,2,3,2,2,36244
269,3,2,080,16,3,3,1,1,36245
270,2,0,080,3,3,0,0,0,36246
271,0,1,257,1,1,1,1,1,36248
272,3,2,257,10,2,1,1,1,36249
273,1,2,257,8,1,1,1,1,36250
274,2,3,257,61,2,2,2,1,36251
275,2,2,257,29,2,2,2,2,36252
276,2,3,257,26,2,3,2,2,36253
277,2,2,257,30,2,3,3,2,36254
278,1,2,257,6,3,3,2,2,36255
279,1,2,257,3,3,3,1,2,36256
280,0,1,257,2,3,3,2,2,36257
281,2,1,257,15,3,4,3,3,36258
282,1,2,257,14,3,3,3,2,36259
283,1,2,257,10,3,3,2,2,36260
284,0,1,257,4,4,4,3,2,36261
285,1,2,257,8,4,3,3,2,36262
286,1,2,257,3,3,3,2,2,36263
287,2,2,257,3,2,2,3,3,36264
288,0,1,257,1,3,3,1,1,36265
289,2,3,257,16,4,3,1,2,36266
290,1,2,257,16,3,3,2,2,36267
291,2,3,257,9,4,4,2,2,36268
292,3,3,257,60,4,4,3,2,36269
293,0,2,257,2,4,3,2,2,36270
294,1,2,257,6,4,3,1,2,36271
295,2,2,257,16,4,3,2,2,36272
296,2,1,257,26,4,3,2,2,36273
297,1,2,257,12,3,3,2,2,36274
298,2,2,257,38,4,3,2,2,36275
299,1,2,257,12,3,3,2,2,36276
300,0,1,257,1,4,3,1,2,36277
301,1,2,257,10,4,3,2,2,36278
302,1,2,257,13,4,2,2,2,36279
303,2,2,257,11,3,2,2,2,36280
304,2,3,257,14,3,3,3,2,36281
305,1,2,257,13,3,3,2,2,36282
306,1,2,257,6,3,3,2,2,36283
307,2,2,257,22,2,3,3,3,36284
308,2,2,257,6,3,1,2,2,36285
309,3,1,257,39,2,2,2,1,36286
310,2,0,257,7,4,0,1,0,36287
