,5de440d3400de40285c01263_comparison,5de440d3400de40285c01263_int,5de440d3400de40285c01263_expint,conversation_id,message_len,5e7a5584718c83035a42519c_comparison,5e7a5584718c83035a42519c_int,5e7a5584718c83035a42519c_expint,6030119a4403b3e1f92a756a_comparison,6030119a4403b3e1f92a756a_int,6030119a4403b3e1f92a756a_expint,doccano_id
64,0,1,1,195,1,1,2,1,0,2,2,58563
65,0,1,3,195,2,0,3,3,0,3,2,58564
66,0,2,1,195,25,1,3,2,0,3,2,58565
67,0,2,2,195,8,1,4,2,0,2,2,58566
68,1,1,0,195,1,0,3,1,0,1,1,58567
69,0,2,2,195,15,1,3,2,0,2,2,58568
70,1,1,3,195,10,1,3,3,0,2,2,58569
71,1,3,2,195,28,1,2,3,1,2,3,58570
72,1,1,1,195,1,1,4,2,0,2,2,58571
73,1,3,3,195,17,1,4,3,0,2,2,58572
74,1,1,1,195,7,1,2,1,0,2,2,58573
75,0,2,2,195,5,1,2,3,0,2,2,58574
76,0,3,3,195,18,0,2,1,0,2,2,58575
77,1,3,3,195,21,1,4,3,0,2,2,58576
78,1,3,4,195,11,1,4,2,0,3,2,58577
79,1,3,2,195,15,1,3,2,0,3,2,58578
80,1,4,3,195,41,1,4,3,1,3,3,58579
81,1,3,4,195,27,1,2,2,0,2,2,58580
82,1,2,1,195,7,1,2,3,1,3,3,58581
83,1,1,0,195,18,1,3,2,0,2,2,58582
84,0,1,0,195,4,1,2,2,0,2,2,58583
85,1,1,1,195,18,0,3,3,0,1,2,58584
86,1,3,3,195,39,1,3,3,0,2,2,58585
87,1,1,2,195,22,1,3,2,0,2,2,58586
88,0,0,1,195,2,0,3,2,0,2,2,58587
89,0,0,1,195,2,0,4,2,0,2,2,58588
90,1,2,2,195,15,1,3,2,0,2,2,58589
91,1,2,1,195,6,0,2,2,0,2,2,58590
92,1,1,1,195,10,0,3,3,0,2,2,58591
93,1,2,1,195,10,1,1,0,1,2,2,58592
94,0,0,1,195,1,0,3,2,0,2,2,58593
95,0,3,2,195,35,1,4,4,0,3,3,58594
96,1,2,2,195,11,1,2,1,0,2,2,58595
97,0,2,1,195,5,1,3,3,0,2,2,58596
98,1,1,1,195,7,1,3,3,0,3,2,58597
99,0,0,1,195,1,0,3,3,0,2,2,58598
100,1,2,3,195,22,1,3,3,0,2,2,58599
101,1,3,3,195,9,1,4,3,0,3,3,58600
102,0,2,3,195,6,0,3,4,0,2,2,58601
103,0,2,2,195,10,0,4,3,0,3,3,58602
104,0,0,1,195,2,0,4,4,0,2,2,58603
105,1,1,2,195,8,1,2,2,0,3,2,58604
106,1,1,2,195,13,1,4,1,0,3,2,58605
107,0,2,1,195,4,0,2,2,0,3,3,58606
108,0,2,2,195,12,1,3,2,0,3,3,58607
109,0,1,0,195,4,0,3,4,0,3,3,58608
110,0,2,1,195,5,1,3,3,0,2,2,58609
111,1,2,1,195,3,1,3,2,0,3,3,58610
112,0,2,2,195,12,1,3,3,0,2,2,58611
113,0,0,1,195,1,1,3,2,0,3,3,58612
114,0,1,0,195,4,1,4,4,0,3,3,58613
115,0,1,0,195,1,1,3,2,0,2,2,58614
116,0,1,0,195,2,1,2,1,0,2,2,58615
117,1,2,2,195,11,1,4,2,0,2,2,58616
118,1,1,0,195,2,1,4,3,0,2,2,58617
119,0,1,0,195,2,0,3,3,0,2,2,58618
120,0,1,1,195,1,1,2,3,0,2,2,58619
121,1,0,0,195,15,1,1,2,0,1,1,58620
122,0,1,0,195,6,1,3,0,0,2,2,58621
123,0,1,0,195,1,1,3,2,0,1,1,58622
124,1,2,2,249,6,1,0,0,0,2,2,58624
125,0,3,2,249,3,1,1,1,0,2,2,58625
126,1,2,2,249,19,1,2,1,0,2,2,58626
127,1,2,1,249,18,0,3,2,0,2,2,58627
128,1,2,3,249,15,1,3,3,0,2,2,58628
129,1,2,1,249,20,1,1,2,1,2,2,58629
130,1,1,1,249,7,1,1,2,1,2,2,58630
131,1,3,2,249,19,1,2,3,0,2,2,58631
132,1,2,3,249,6,1,1,2,0,2,2,58632
133,0,4,2,249,5,1,1,1,0,1,1,58633
134,1,2,2,249,7,1,2,2,0,2,2,58634
135,1,1,2,249,9,1,1,2,0,2,2,58635
136,0,1,0,249,7,0,1,2,0,2,2,58636
137,0,2,2,249,22,1,3,3,0,2,2,58637
138,0,2,2,249,17,1,1,1,0,2,2,58638
139,1,2,2,249,11,1,2,3,0,3,2,58639
140,1,2,1,249,23,1,3,2,0,2,2,58640
141,0,1,1,249,4,1,2,1,0,2,2,58641
142,1,2,1,249,14,1,1,2,0,2,2,58642
143,0,0,1,249,2,1,2,2,0,2,2,58643
144,0,3,2,249,10,1,3,3,0,2,2,58644
145,1,1,1,249,7,0,3,2,0,2,2,58645
146,1,1,1,249,2,1,1,1,1,1,1,58646
147,1,1,1,249,3,1,3,2,0,2,1,58647
148,1,1,0,249,2,0,3,3,0,2,2,58648
149,1,0,1,249,5,1,4,2,0,2,2,58649
150,1,0,0,249,1,1,3,3,1,1,1,58650
151,1,1,1,249,6,1,4,4,1,2,2,58651
152,0,1,0,249,2,0,2,2,0,2,2,58652
153,1,2,1,249,11,1,3,2,0,2,2,58653
154,0,1,1,249,4,1,2,3,0,3,2,58654
155,1,2,2,249,9,1,2,3,0,3,2,58655
156,0,1,1,249,3,1,2,2,0,2,2,58656
157,1,2,1,249,7,1,3,3,0,2,2,58657
158,1,1,1,249,7,1,3,4,0,2,2,58658
159,1,0,1,249,6,1,1,1,0,2,2,58659
160,1,1,0,249,4,1,1,1,0,2,2,58660
161,0,0,0,249,1,1,2,1,0,1,1,58661
162,1,0,0,249,2,1,2,1,0,1,1,58662
163,0,0,0,249,1,1,4,3,0,1,1,58663
164,0,0,0,249,1,1,3,2,0,1,1,58664
165,0,1,0,249,1,0,3,3,0,2,2,58665
166,1,1,1,249,8,1,2,2,0,2,2,58666
167,1,1,0,249,9,1,2,1,0,2,2,58667
168,1,1,1,249,5,0,3,2,1,2,2,58668
169,0,0,1,249,2,1,3,1,0,2,2,58669
170,1,1,2,249,15,1,2,3,0,2,2,58670
171,1,1,1,249,4,1,3,2,0,2,2,58671
172,1,1,1,249,7,1,1,1,0,2,2,58672
173,0,1,1,249,1,0,2,2,0,1,1,58673
174,1,2,1,777,1,1,0,0,0,1,1,58675
175,1,3,3,777,40,1,1,3,0,2,2,58676
176,0,3,3,777,44,1,2,1,0,3,2,58677
177,1,2,1,777,8,0,1,1,0,2,2,58678
178,1,2,1,777,8,1,1,2,0,2,2,58679
179,1,2,1,777,18,1,2,2,0,2,2,58680
180,0,3,3,777,72,0,3,4,1,2,2,58681
181,0,3,3,777,109,1,2,3,1,3,3,58682
182,0,3,3,777,39,0,2,3,0,2,2,58683
183,1,2,2,777,31,1,2,3,1,2,2,58684
184,1,2,2,777,11,1,0,1,0,2,2,58685
