,5d8346167ed176001888204d_comparison,5d8346167ed176001888204d_int,5d8346167ed176001888204d_expint,conversation_id,message_len,5f117f2b69f65101263bf8d0_comparison,5f117f2b69f65101263bf8d0_int,5f117f2b69f65101263bf8d0_expint,611a78efa6c36a674dc40cc6_comparison,611a78efa6c36a674dc40cc6_int,611a78efa6c36a674dc40cc6_expint,doccano_id
163,0,2,2,126,26,1,3,4,0,2,2,63127
164,1,2,2,126,11,1,4,3,0,2,2,63128
165,1,1,1,777,1,0,3,4,0,2,2,63130
166,1,3,3,777,40,0,3,3,0,3,2,63131
167,1,3,3,777,44,0,4,4,0,2,2,63132
168,1,2,2,777,8,0,3,4,0,2,2,63133
169,1,2,2,777,8,1,3,3,0,2,2,63134
170,1,3,3,777,18,1,2,0,0,2,2,63135
171,1,3,3,777,72,0,2,3,0,2,2,63136
172,1,3,3,777,109,0,3,3,0,2,2,63137
173,1,3,3,777,39,0,3,3,0,2,2,63138
174,1,3,3,777,31,1,4,2,0,2,2,63139
175,1,3,3,777,11,0,2,3,0,2,2,63140
