,5df97fcd11d8796fd29e85e3_int,5df97fcd11d8796fd29e85e3_expint,conversation_id,message_len,61126cd00f29b7c648dca793_int,61126cd00f29b7c648dca793_expint,60ef4642202c8520a37e19b5_int,60ef4642202c8520a37e19b5_expint,doccano_id
52,1,2,211,43,1,2,4,3,38200
53,2,2,211,18,2,2,3,3,38201
54,2,2,211,13,1,2,1,1,38202
55,1,2,211,6,1,2,2,2,38203
56,1,1,211,17,3,3,2,2,38204
57,2,1,211,13,4,3,3,2,38205
58,2,1,211,26,4,3,2,3,38206
59,1,1,211,23,3,2,3,3,38207
60,3,2,211,73,3,4,4,3,38208
61,2,2,211,31,3,1,2,2,38209
62,2,1,211,29,1,3,2,2,38210
63,0,1,211,7,2,2,1,1,38211
64,1,0,211,36,2,3,2,2,38212
65,1,1,211,23,2,2,2,2,38213
66,1,2,211,5,1,1,1,1,38214
67,1,1,211,2,0,0,1,1,38215
68,2,1,211,26,1,1,3,2,38216
69,1,1,211,3,0,1,1,1,38217
70,2,2,211,64,2,1,3,3,38218
71,2,2,211,26,3,2,3,3,38219
72,3,2,211,65,3,1,3,2,38220
73,3,2,211,49,2,3,3,3,38221
74,1,2,211,9,2,2,2,1,38222
75,0,1,211,9,3,3,1,1,38223
76,2,1,211,70,2,3,3,2,38224
77,3,2,211,13,2,3,2,2,38225
78,2,2,211,25,2,2,3,2,38226
79,3,2,211,44,4,2,4,3,38227
80,2,2,211,32,2,2,3,2,38228
81,1,1,211,16,3,3,2,2,38229
82,2,2,211,40,1,1,2,2,38230
83,3,2,211,40,2,1,3,2,38231
84,1,2,211,19,2,2,3,3,38232
85,2,2,211,12,3,2,3,3,38233
86,1,1,211,13,3,2,2,2,38234
87,2,0,211,9,1,2,2,2,38235
88,1,1,211,28,0,1,2,2,38236
89,1,1,211,8,0,0,1,1,38237
90,3,2,253,9,2,3,3,3,38239
91,2,3,253,19,0,1,2,2,38240
92,1,2,253,26,2,2,2,2,38241
93,1,1,253,18,3,3,2,2,38242
94,2,1,253,15,1,2,3,2,38243
95,2,1,253,29,2,3,2,2,38244
96,2,1,253,14,4,3,2,2,38245
97,4,2,253,36,2,2,2,2,38246
98,2,2,253,21,3,3,2,2,38247
99,3,2,253,31,1,0,3,2,38248
100,2,1,253,30,0,0,3,2,38249
101,2,2,253,51,1,1,3,2,38250
102,1,1,253,8,0,0,2,2,38251
103,1,1,253,6,0,1,1,1,38252
104,0,2,253,20,2,1,3,2,38253
105,1,1,253,5,0,1,1,1,38254
106,0,1,253,3,0,0,1,1,38255
107,3,3,253,54,1,3,2,2,38256
108,3,3,253,64,1,1,3,2,38257
109,1,2,253,15,0,0,2,2,38258
110,0,2,253,10,2,2,1,1,38259
111,2,3,253,21,1,1,3,3,38260
112,2,1,253,22,2,3,2,2,38261
113,2,2,253,30,3,2,3,3,38262
114,2,2,253,41,2,2,4,3,38263
115,1,3,253,5,2,3,1,2,38264
116,1,2,253,13,1,2,3,3,38265
117,0,2,253,3,2,3,1,2,38266
118,1,2,253,34,2,3,3,3,38267
119,3,3,253,50,2,3,4,3,38268
120,1,2,253,25,1,2,3,3,38269
121,2,2,253,20,2,3,4,3,38270
122,3,3,253,39,0,1,3,3,38271
123,1,2,253,13,3,3,2,2,38272
124,1,2,253,14,3,2,2,2,38273
125,1,1,253,6,3,2,1,2,38274
126,0,2,253,13,1,1,2,2,38275
127,1,0,253,7,2,2,1,1,38276
128,2,1,253,7,0,0,2,2,38277
129,2,1,253,15,0,0,1,1,38278
130,1,1,253,9,0,0,1,1,38279
131,0,0,253,1,0,0,1,1,38280
132,3,2,037,7,2,3,2,2,38282
133,2,2,037,6,1,2,1,1,38283
134,3,2,037,15,1,2,3,2,38284
135,1,1,037,12,2,3,3,3,38285
136,1,2,037,18,3,2,1,1,38286
137,1,1,037,6,1,2,1,1,38287
138,2,2,037,9,2,2,2,2,38288
139,2,2,037,35,2,3,2,2,38289
140,2,3,037,22,0,1,2,2,38290
141,1,2,037,14,1,1,3,2,38291
142,0,2,037,34,2,1,3,3,38292
143,1,2,037,24,3,2,3,3,38293
144,0,1,037,14,2,3,3,2,38294
145,0,1,037,9,0,1,1,1,38295
146,0,1,037,5,1,2,2,2,38296
147,0,0,037,6,2,2,3,2,38297
148,1,1,037,20,0,0,3,2,38298
149,0,0,037,3,1,2,2,2,38299
150,0,0,037,5,0,0,1,1,38300
151,0,0,037,1,0,0,0,1,38301
152,1,1,037,31,3,1,3,2,38302
153,1,1,037,48,2,2,3,3,38303
154,0,1,037,4,1,1,2,2,38304
155,2,1,037,7,2,1,1,1,38305
156,2,2,037,36,1,0,3,3,38306
157,2,1,037,20,2,1,4,3,38307
158,0,0,037,8,1,2,2,2,38308
159,1,1,037,24,2,3,3,2,38309
160,2,2,037,75,1,0,3,3,38310
161,1,0,037,9,0,0,2,1,38311
162,2,1,037,42,2,1,4,3,38312
163,2,1,037,64,1,1,4,3,38313
164,0,1,037,45,0,1,3,2,38314
165,1,1,037,25,1,1,2,2,38315
166,2,2,037,40,1,0,3,2,38316
167,3,1,037,20,3,1,2,2,38317
168,0,1,037,1,0,0,0,0,38318
169,2,1,258,5,2,1,2,2,38320
170,4,3,258,79,4,2,3,3,38321
171,3,2,258,56,3,3,3,2,38322
172,1,2,258,37,2,2,4,3,38323
173,1,1,258,56,2,2,3,3,38324
174,2,1,258,24,3,3,2,2,38325
175,2,1,258,23,3,3,2,2,38326
176,1,2,258,11,1,3,2,2,38327
177,0,1,258,11,2,3,1,2,38328
178,1,1,258,68,3,2,3,2,38329
179,1,1,258,41,3,2,3,2,38330
180,2,1,258,77,3,3,3,2,38331
181,1,1,258,51,4,4,2,2,38332
182,4,3,258,144,4,4,4,3,38333
183,1,2,258,11,1,1,3,2,38334
184,1,1,258,9,3,3,2,2,38335
185,1,1,258,21,3,3,3,3,38336
186,0,1,258,7,1,1,3,2,38337
187,2,2,258,41,3,2,3,2,38338
188,3,2,258,61,4,4,3,3,38339
189,0,1,258,26,2,2,3,3,38340
190,0,1,258,6,1,1,3,3,38341
191,1,1,258,20,1,1,2,2,38342
192,2,1,258,5,0,1,1,1,38343
193,0,1,258,2,0,1,1,1,38344
194,2,1,258,50,3,3,1,1,38345
195,3,1,258,33,3,1,1,1,38346
196,0,1,088,1,0,1,0,0,38348
197,0,0,088,1,0,0,0,0,38349
198,1,1,088,8,1,3,2,2,38350
199,1,1,088,4,0,3,2,2,38351
200,1,1,088,4,0,2,2,2,38352
201,2,1,088,8,1,2,2,2,38353
202,2,2,088,11,1,2,2,1,38354
203,2,1,088,10,2,1,3,2,38355
204,0,1,088,3,0,2,1,1,38356
205,3,2,088,10,1,1,2,2,38357
206,3,2,088,4,0,1,1,1,38358
207,2,2,088,1,0,2,0,0,38359
208,0,1,088,1,0,1,0,0,38360
209,2,1,088,13,1,2,2,2,38361
210,0,1,088,1,0,0,1,1,38362
211,2,2,088,5,1,2,2,1,38363
212,2,2,088,5,1,1,2,2,38364
213,3,2,088,2,1,1,2,1,38365
214,1,2,088,2,0,0,1,1,38366
215,3,2,088,2,0,0,1,1,38367
216,2,2,088,1,0,0,0,0,38368
217,0,1,088,1,0,1,1,1,38369
218,1,1,088,1,1,0,2,1,38370
219,1,1,088,1,1,1,3,2,38371
220,2,1,088,2,0,0,2,2,38372
221,1,1,088,2,0,0,3,2,38373
222,1,1,088,2,0,0,3,2,38374
223,2,1,088,4,0,1,2,1,38375
224,3,2,088,11,0,1,2,2,38376
225,3,2,088,14,1,0,3,2,38377
226,3,4,088,11,4,4,3,2,38378
227,2,3,088,4,4,4,3,3,38379
228,1,3,088,1,1,4,1,1,38380
229,2,3,088,7,1,2,3,2,38381
230,1,2,088,7,1,1,4,2,38382
231,1,2,088,1,0,1,2,1,38383
232,2,1,088,33,2,3,3,2,38384
233,1,2,088,14,4,4,2,2,38385
234,1,1,088,6,2,2,2,2,38386
235,1,1,088,7,2,2,2,2,38387
236,1,1,088,1,0,0,2,2,38388
237,0,1,088,1,0,0,1,1,38389
238,1,2,088,11,2,1,2,1,38390
239,2,1,088,3,2,1,2,1,38391
240,2,2,088,2,1,1,2,2,38392
241,3,2,088,1,0,0,3,1,38393
242,2,2,088,12,0,1,1,2,38394
243,3,3,088,9,1,1,3,1,38395
244,3,2,088,27,3,3,3,3,38396
245,3,2,088,8,2,2,2,1,38397
246,1,1,088,8,1,1,3,1,38398
247,2,2,088,8,3,2,3,2,38399
248,1,1,088,2,0,2,1,1,38400
249,2,1,088,6,2,1,1,1,38401
