,613d091096ca434d703f77c5_comparison,613d091096ca434d703f77c5_int,613d091096ca434d703f77c5_expint,conversation_id,message_len,5c6ed5ea21a3560001bd3758_comparison,5c6ed5ea21a3560001bd3758_int,5c6ed5ea21a3560001bd3758_expint,6071d42438f4fc44ff6b54c5_comparison,6071d42438f4fc44ff6b54c5_int,6071d42438f4fc44ff6b54c5_expint,doccano_id
73,0,3,2,117,16,0,4,4,0,3,2,63408
74,0,4,0,117,17,0,4,4,0,4,3,63409
75,0,4,1,117,8,0,3,4,1,4,3,63410
76,0,3,1,117,12,0,2,4,0,3,1,63411
77,1,2,4,117,19,0,4,4,1,1,2,63412
78,1,0,4,117,7,1,2,4,1,3,4,63413
79,0,3,2,117,30,0,4,4,0,1,3,63414
80,0,2,0,117,12,0,1,4,1,1,4,63415
81,0,3,1,117,31,1,1,3,1,3,2,63416
82,0,1,4,117,12,1,1,2,1,1,1,63417
83,1,1,2,117,15,0,4,4,1,4,3,63418
84,0,1,1,117,12,0,1,1,1,3,2,63419
85,0,2,1,117,1,1,1,1,0,4,3,63420
86,0,3,1,117,9,0,3,1,1,3,2,63421
87,0,1,4,117,12,0,1,1,1,4,4,63422
88,1,1,3,117,8,1,2,3,1,3,2,63423
89,1,1,1,117,6,0,3,3,0,4,1,63424
90,1,0,3,117,2,0,1,1,1,3,2,63425
91,1,0,2,117,2,1,1,1,1,3,2,63426
92,0,2,2,117,2,1,0,0,1,1,1,63427
93,0,1,2,117,2,1,0,0,1,1,1,63428
94,1,0,2,117,4,1,1,0,0,3,2,63429
95,0,3,1,117,5,0,3,0,1,3,2,63430
96,0,3,1,117,3,0,2,1,1,3,2,63431
97,0,3,1,117,3,0,1,1,1,3,2,63432
98,0,3,2,180,18,1,3,3,1,3,2,63434
99,0,3,1,180,35,0,3,2,0,4,2,63435
100,1,1,3,180,11,0,3,3,1,3,2,63436
101,0,0,4,180,12,0,2,0,0,3,2,63437
102,0,3,1,180,5,1,2,2,0,4,1,63438
103,1,1,3,180,4,1,3,3,0,4,1,63439
104,0,3,1,180,23,0,4,4,1,4,1,63440
105,0,3,0,180,11,1,3,4,1,4,3,63441
106,1,0,3,180,20,0,3,3,0,4,3,63442
107,0,3,0,180,15,0,3,3,0,4,3,63443
108,0,2,1,180,35,0,4,2,1,3,2,63444
109,0,2,4,180,3,0,3,4,1,4,3,63445
110,1,1,1,180,10,1,3,4,1,4,3,63446
111,1,0,4,180,6,1,0,1,1,3,3,63447
112,0,2,1,180,12,0,1,4,1,3,2,63448
113,0,2,3,180,6,0,2,4,1,4,3,63449
114,1,0,4,180,6,1,1,3,1,3,4,63450
115,0,3,1,180,29,0,2,4,1,4,4,63451
116,0,2,1,180,6,1,2,2,1,3,3,63452
117,0,2,1,180,31,1,3,3,1,3,4,63453
118,0,3,1,180,16,0,3,2,1,3,1,63454
119,1,1,3,180,13,0,3,4,1,4,3,63455
120,1,1,2,180,13,0,4,4,0,4,3,63456
121,1,0,3,180,13,0,4,3,1,4,1,63457
122,0,4,0,180,11,0,3,3,1,4,3,63458
123,0,4,1,180,15,0,3,3,1,4,4,63459
124,0,2,0,180,14,0,3,4,1,3,3,63460
125,0,3,1,180,25,0,2,3,0,4,3,63461
126,1,1,3,180,8,0,2,4,0,4,1,63462
127,1,1,1,180,16,0,2,4,1,4,3,63463
128,1,1,2,180,10,0,2,3,1,4,2,63464
129,0,4,0,180,8,0,2,4,0,4,1,63465
130,1,0,4,180,9,0,3,4,1,4,1,63466
131,0,2,1,180,13,0,3,4,0,3,2,63467
132,1,2,0,180,13,0,4,3,1,3,3,63468
133,1,0,3,180,20,0,2,3,1,4,2,63469
134,0,2,1,180,9,0,3,3,1,3,2,63470
135,0,2,1,180,19,0,1,3,1,4,3,63471
136,1,1,2,180,4,0,2,2,0,3,2,63472
137,0,3,0,180,9,0,1,0,1,3,2,63473
138,1,0,3,180,12,0,0,0,0,1,3,63474
139,0,2,1,180,1,1,0,1,1,3,4,63475
140,0,4,0,180,6,0,4,2,1,2,1,63476
141,0,3,1,180,5,0,1,0,1,2,1,63477
142,0,1,4,180,12,0,0,0,1,2,1,63478
143,0,2,1,180,42,0,4,4,1,4,1,63479
144,1,3,3,180,18,0,4,4,1,1,1,63480
145,1,1,3,180,20,1,4,4,1,2,1,63481
146,0,2,0,180,7,1,3,3,0,4,3,63482
147,1,1,3,180,18,0,2,3,1,2,1,63483
148,1,1,2,180,48,0,4,4,1,2,1,63484
149,0,1,0,180,16,1,2,3,0,0,2,63485
150,0,3,1,180,2,0,1,0,0,2,3,63486
151,0,3,0,180,84,0,2,3,1,2,3,63487
152,0,3,1,180,81,0,1,3,1,4,4,63488
153,0,2,0,180,12,0,1,3,1,1,3,63489
154,0,3,0,180,12,0,0,2,0,4,1,63490
155,0,3,1,180,8,0,3,1,1,1,3,63491
156,0,3,0,180,12,0,0,1,1,3,2,63492
157,0,4,0,180,6,0,1,2,1,4,3,63493
158,0,3,0,180,1,0,1,0,1,1,2,63494
159,0,4,1,180,12,0,1,1,0,4,2,63495
160,1,2,2,180,5,0,2,1,1,2,1,63496
161,1,1,3,180,7,1,2,2,0,3,2,63497
162,0,1,3,180,12,0,1,0,1,4,3,63498
163,1,1,2,180,7,0,1,1,1,4,3,63499
164,0,3,0,180,7,0,1,1,1,3,2,63500
165,0,2,3,180,10,0,2,1,0,2,1,63501
166,1,1,2,180,5,1,2,1,1,2,1,63502
167,0,2,3,180,12,1,0,1,1,3,2,63503
168,0,3,0,180,5,0,0,1,0,3,4,63504
169,1,1,3,180,5,0,1,0,1,4,3,63505
170,0,3,0,180,6,0,0,0,0,3,2,63506
171,1,2,2,180,3,0,1,2,0,4,1,63507
172,1,1,3,180,6,0,2,1,1,4,3,63508
173,1,1,3,180,3,0,0,0,1,1,3,63509
174,0,3,0,180,12,0,0,0,1,2,4,63510
175,0,3,2,180,4,0,1,1,1,1,1,63511
176,0,3,2,180,1,0,0,0,1,1,1,63512
177,1,3,3,777,1,0,0,1,0,4,3,63514
178,1,2,3,777,40,1,4,3,1,4,3,63515
179,1,1,3,777,44,0,4,4,1,4,2,63516
180,0,2,2,777,8,0,3,4,0,4,4,63517
181,1,1,2,777,8,0,1,4,1,4,3,63518
182,0,2,3,777,18,1,3,4,0,4,3,63519
183,1,2,4,777,72,1,4,4,1,1,1,63520
184,1,1,4,777,109,0,4,4,1,4,3,63521
185,1,0,4,777,39,1,4,4,1,4,1,63522
186,0,1,3,777,31,1,3,4,1,4,1,63523
187,1,1,3,777,11,0,2,3,1,4,3,63524
