,611a9f9591ef82d19cfc5db1_comparison,611a9f9591ef82d19cfc5db1_int,611a9f9591ef82d19cfc5db1_expint,conversation_id,message_len,5ecfc4e722413102e68160ba_comparison,5ecfc4e722413102e68160ba_int,5ecfc4e722413102e68160ba_expint,5ef0b54037a90c618ad9e97f_comparison,5ef0b54037a90c618ad9e97f_int,5ef0b54037a90c618ad9e97f_expint,doccano_id
129,1,1,2,030,10,1,3,2,1,2,1,59359
130,1,2,1,030,10,1,2,2,1,2,1,59360
131,0,2,2,030,17,1,4,3,0,4,2,59361
132,1,1,1,030,12,1,3,2,1,3,1,59362
133,1,2,1,030,33,0,2,1,1,2,4,59363
134,0,2,1,030,17,0,4,2,0,4,3,59364
135,0,3,2,030,10,1,2,3,0,4,2,59365
136,0,2,1,030,63,0,3,2,1,3,3,59366
137,0,2,1,030,26,1,3,2,0,4,3,59367
138,0,4,2,030,16,1,3,2,0,4,4,59368
139,0,3,2,190,1,0,2,3,0,3,4,59370
140,0,4,2,190,5,0,3,3,0,4,2,59371
141,0,3,3,190,9,0,3,3,0,3,2,59372
142,0,4,3,190,13,0,3,3,0,4,2,59373
143,0,4,3,190,27,0,2,3,0,4,4,59374
144,1,3,2,190,28,1,3,2,1,3,2,59375
145,0,3,2,190,24,1,2,3,1,3,2,59376
146,1,4,2,190,16,0,1,3,1,4,4,59377
147,0,2,2,190,19,1,3,2,0,3,4,59378
148,0,3,3,190,10,1,2,3,0,4,1,59379
149,0,3,2,190,9,1,3,2,0,4,2,59380
