,5edab4e9750d97142796d0fa_comparison,5edab4e9750d97142796d0fa_int,5edab4e9750d97142796d0fa_expint,conversation_id,message_len,5d7f460632ee8a0018dc7502_comparison,5d7f460632ee8a0018dc7502_int,5d7f460632ee8a0018dc7502_expint,5de00d05988d7c0877eaa15a_comparison,5de00d05988d7c0877eaa15a_int,5de00d05988d7c0877eaa15a_expint,doccano_id
94,1,2,2,080,11,1,3,3,0,3,2,66191
95,0,2,2,080,14,1,2,3,0,3,2,66192
96,0,2,2,080,4,1,3,3,0,3,2,66193
97,1,3,3,080,8,1,4,4,0,3,2,66194
98,1,3,2,080,6,0,2,1,0,2,2,66195
99,0,2,2,080,10,0,4,4,0,2,2,66196
100,1,3,2,080,14,1,2,2,1,3,3,66197
101,1,2,2,080,6,1,2,2,1,3,2,66198
102,1,2,2,080,6,1,3,3,0,3,3,66199
103,1,2,2,080,11,1,3,4,0,3,3,66200
104,1,2,2,080,12,1,0,0,1,2,2,66201
105,0,2,2,080,12,1,0,0,1,3,3,66202
106,1,2,1,080,12,1,0,0,0,3,2,66203
107,0,1,1,080,12,1,0,0,0,2,2,66204
108,0,1,2,080,7,0,2,2,0,2,2,66205
109,0,2,2,080,12,0,0,0,0,3,2,66206
110,1,2,2,080,10,1,1,2,0,3,3,66207
111,1,2,2,080,13,1,3,3,0,3,2,66208
112,1,2,2,080,26,1,4,4,0,3,3,66209
113,1,2,2,080,14,1,4,4,1,3,3,66210
114,1,2,2,080,12,1,0,0,1,3,4,66211
115,0,2,3,080,12,0,0,0,0,3,3,66212
116,0,2,2,080,12,1,0,0,1,3,2,66213
117,0,2,3,080,12,1,0,0,1,4,3,66214
118,0,2,2,080,7,0,1,1,0,2,2,66215
119,0,3,2,080,5,0,1,1,0,3,2,66216
120,0,3,3,080,6,1,1,1,0,3,1,66217
121,0,2,2,080,3,0,0,0,0,3,3,66218
122,1,1,1,152,2,0,0,0,0,4,3,66220
123,0,2,2,152,10,1,3,3,0,3,3,66221
124,1,2,3,152,14,1,1,1,0,3,3,66222
125,0,2,2,152,35,0,2,1,0,3,2,66223
126,1,2,2,152,12,1,2,2,0,2,3,66224
127,1,2,2,152,10,1,1,1,0,3,3,66225
128,0,2,1,152,3,0,1,1,0,2,2,66226
129,1,2,2,152,19,0,2,2,0,3,3,66227
130,0,2,2,152,7,1,1,1,0,3,2,66228
131,1,2,2,152,18,1,3,3,1,2,3,66229
132,1,2,3,152,24,1,4,4,0,2,3,66230
133,1,2,3,152,12,1,4,4,0,3,3,66231
134,1,3,3,152,3,1,1,1,1,3,2,66232
135,1,2,2,152,33,1,4,4,0,2,3,66233
136,1,2,2,152,35,1,3,3,1,3,2,66234
137,1,2,3,152,7,1,3,3,1,3,3,66235
138,0,2,2,152,20,1,4,4,0,3,2,66236
139,1,2,3,152,24,1,3,3,1,3,3,66237
140,0,2,3,152,12,0,1,1,1,2,2,66238
141,1,2,2,152,13,1,1,1,1,3,2,66239
142,0,3,2,152,17,1,2,2,1,3,3,66240
143,0,2,3,152,20,1,3,3,1,3,3,66241
144,1,2,3,152,1,1,0,0,1,2,3,66242
145,0,3,3,152,15,1,3,3,0,3,2,66243
146,1,2,2,152,12,1,0,0,1,3,2,66244
147,1,2,3,152,9,0,1,1,0,3,3,66245
148,0,2,2,152,9,0,1,1,0,2,3,66246
149,1,2,3,152,47,1,1,1,1,2,2,66247
150,0,2,2,152,12,1,1,3,0,3,3,66248
151,0,2,2,152,9,0,2,2,0,3,2,66249
152,0,2,3,152,3,0,1,1,0,2,3,66250
153,0,3,3,152,29,0,3,3,0,2,2,66251
154,1,3,2,152,5,1,4,4,0,3,3,66252
155,1,3,3,152,5,1,2,3,0,3,2,66253
156,1,2,2,152,3,1,0,1,1,3,2,66254
157,0,2,2,152,9,0,1,1,0,2,3,66255
158,1,2,3,152,24,1,3,3,1,3,3,66256
159,1,2,2,152,11,1,2,2,0,3,2,66257
160,1,2,3,152,27,1,3,4,1,2,2,66258
161,1,2,2,152,9,1,2,2,1,2,3,66259
162,0,2,3,152,14,0,3,3,0,2,2,66260
163,0,2,3,152,9,1,3,3,1,3,2,66261
164,1,2,3,152,8,1,1,1,0,2,3,66262
165,1,2,3,152,27,1,4,4,1,3,3,66263
166,1,3,2,152,12,1,0,0,0,3,3,66264
167,1,2,3,152,147,1,3,2,0,3,2,66265
168,1,3,3,152,1,1,0,0,1,3,2,66266
169,0,2,2,152,12,1,0,0,1,3,3,66267
170,0,2,2,152,12,1,0,0,0,4,3,66268
171,1,3,3,152,14,0,0,0,0,3,2,66269
172,0,2,2,152,6,0,0,1,0,3,3,66270
173,1,2,2,152,7,1,2,3,1,3,3,66271
174,1,2,2,152,7,0,1,1,0,3,2,66272
175,1,2,3,152,7,1,2,3,0,3,2,66273
176,0,2,2,152,17,1,1,2,0,3,2,66274
177,1,2,2,152,6,1,2,4,1,3,2,66275
178,1,3,2,152,3,1,1,1,0,3,3,66276
179,1,2,3,152,12,1,0,0,1,3,2,66277
180,1,2,3,152,17,1,3,3,0,4,3,66278
181,1,3,3,152,12,1,0,0,0,4,3,66279
182,1,3,2,152,2,1,1,1,0,3,4,66280
183,1,2,2,152,10,1,1,1,0,4,3,66281
184,1,3,2,152,12,0,0,0,1,3,4,66282
185,1,1,2,152,12,1,0,0,0,3,4,66283
186,1,1,1,152,4,0,0,0,0,4,2,66284
187,1,2,2,152,5,1,0,0,0,3,3,66285
188,1,3,2,152,11,1,1,1,0,3,3,66286
189,0,3,2,152,12,1,2,1,0,3,2,66287
190,1,2,2,152,12,1,0,0,1,3,2,66288
191,1,1,1,152,5,1,2,3,1,2,3,66289
192,0,2,3,152,12,1,0,0,0,3,3,66290
193,1,3,3,152,11,1,2,1,0,3,2,66291
194,1,2,3,152,11,1,1,1,0,3,4,66292
195,0,2,2,152,5,1,3,1,0,4,3,66293
196,0,3,2,152,12,1,0,0,1,3,4,66294
197,0,3,3,152,1,1,0,0,0,4,3,66295
198,0,3,3,152,5,0,0,0,0,3,3,66296
199,0,2,2,152,5,1,2,1,0,3,3,66297
200,0,2,3,190,1,1,0,0,0,3,2,66299
201,0,2,2,190,5,1,2,1,0,3,2,66300
202,0,2,3,190,9,0,0,0,0,4,3,66301
203,0,2,2,190,13,0,2,1,0,4,4,66302
204,0,3,3,190,27,0,3,4,0,3,2,66303
205,1,2,2,190,28,1,3,4,0,3,3,66304
206,1,2,2,190,24,1,4,4,0,3,3,66305
207,1,2,3,190,16,1,3,4,0,3,2,66306
208,0,3,3,190,19,0,4,4,0,3,2,66307
209,0,2,3,190,10,0,2,2,0,2,3,66308
210,0,3,4,190,9,0,0,1,0,3,3,66309
