,602fb33786b077cdbad2d5bb_comparison,602fb33786b077cdbad2d5bb_int,602fb33786b077cdbad2d5bb_expint,conversation_id,message_len,5b830542b0d72600018dc280_comparison,5b830542b0d72600018dc280_int,5b830542b0d72600018dc280_expint,5f233d7f53212b0e22bf055d_comparison,5f233d7f53212b0e22bf055d_int,5f233d7f53212b0e22bf055d_expint,doccano_id
133,1,1,1,062,12,0,0,0,0,1,1,66924
134,1,2,2,062,3,1,0,0,1,0,1,66925
135,0,3,2,062,23,1,2,2,0,2,1,66926
136,1,3,2,062,6,1,4,1,1,1,1,66927
137,1,3,2,062,4,1,4,3,0,2,1,66928
138,0,1,1,062,3,1,3,2,0,1,1,66929
139,1,2,2,062,29,1,2,3,1,1,1,66930
140,1,3,2,062,19,1,2,2,1,1,1,66931
141,1,3,2,062,4,1,3,2,1,2,1,66932
142,0,3,3,062,4,0,4,2,0,1,1,66933
143,1,3,2,062,10,1,4,3,1,1,1,66934
144,1,3,2,062,12,0,3,2,1,1,1,66935
145,0,3,2,062,16,1,4,2,0,1,1,66936
146,0,3,2,062,10,1,4,2,0,1,1,66937
147,0,3,2,062,16,1,4,2,0,2,2,66938
148,1,4,1,062,12,1,4,2,1,2,2,66939
149,0,3,2,062,13,1,3,1,1,3,2,66940
150,1,3,2,062,17,1,2,2,0,2,2,66941
151,0,3,2,062,3,1,3,3,0,1,1,66942
152,1,3,1,062,12,0,3,3,0,1,0,66943
153,1,3,2,062,2,0,4,2,0,1,2,66944
154,1,3,1,062,12,0,2,3,0,1,1,66945
155,0,3,3,062,16,1,2,1,0,1,1,66946
156,1,3,2,062,12,0,2,1,1,1,2,66947
157,1,2,2,062,5,1,1,1,1,2,2,66948
158,0,3,2,062,2,0,1,0,0,2,1,66949
159,0,2,1,062,3,1,0,0,0,1,1,66950
160,0,1,1,190,1,0,0,0,0,3,1,66952
161,0,3,2,190,5,0,1,0,0,3,3,66953
162,0,3,1,190,9,0,0,1,0,3,3,66954
163,0,3,3,190,13,0,1,1,0,4,3,66955
164,0,4,3,190,27,0,1,2,0,4,4,66956
165,0,3,2,190,28,1,1,1,0,4,4,66957
166,0,3,3,190,24,1,1,2,0,4,4,66958
167,1,4,3,190,16,0,0,1,0,4,3,66959
168,0,3,3,190,19,0,1,2,0,4,4,66960
169,0,4,3,190,10,0,2,2,0,4,4,66961
170,0,3,2,190,9,1,0,1,1,4,4,66962
