,603e8ed1b54e6cf4fafcaa1a_comparison,603e8ed1b54e6cf4fafcaa1a_int,603e8ed1b54e6cf4fafcaa1a_expint,conversation_id,message_len,5eecf91f87fdd30e01f700b8_comparison,5eecf91f87fdd30e01f700b8_int,5eecf91f87fdd30e01f700b8_expint,5c4c747aa123930001ac124f_comparison,5c4c747aa123930001ac124f_int,5c4c747aa123930001ac124f_expint,doccano_id
132,0,2,1,131,1,0,1,1,0,2,1,59022
133,1,3,2,131,5,1,1,1,1,2,2,59023
134,1,3,3,131,8,0,2,2,0,2,1,59024
135,1,3,2,131,4,1,3,2,1,2,1,59025
136,0,3,3,131,3,1,2,1,0,3,0,59026
137,1,2,2,131,4,1,2,2,0,3,1,59027
138,0,4,3,131,6,1,3,2,0,3,1,59028
139,1,3,3,131,4,0,1,0,0,3,1,59029
140,1,3,3,131,8,1,2,2,1,2,1,59030
141,1,4,4,131,3,1,2,0,1,3,1,59031
142,1,3,3,131,16,1,2,1,1,3,1,59032
143,1,2,3,131,13,0,1,1,1,2,1,59033
144,1,3,3,131,4,0,3,2,1,2,2,59034
145,0,4,3,131,6,1,2,1,1,2,2,59035
146,1,3,3,131,6,1,2,1,0,2,2,59036
147,0,3,3,131,8,1,2,1,0,2,2,59037
148,1,3,3,131,10,0,2,1,0,4,1,59038
149,0,3,3,131,9,0,2,1,0,2,2,59039
150,1,3,3,131,4,1,1,1,0,3,2,59040
151,1,2,2,131,13,1,3,2,0,2,1,59041
152,1,2,3,131,4,1,2,1,1,2,0,59042
153,0,3,3,131,1,0,1,1,0,2,1,59043
154,1,2,2,131,1,1,1,1,0,2,1,59044
155,1,3,3,131,11,1,2,1,0,2,0,59045
156,0,3,3,131,5,1,2,1,0,2,0,59046
157,1,3,3,131,3,0,4,0,1,1,0,59047
158,1,3,4,131,1,0,1,1,1,1,0,59048
159,1,3,4,131,13,0,2,3,1,1,2,59049
160,0,3,4,131,7,0,1,1,1,1,2,59050
161,1,3,3,131,16,1,3,2,0,3,2,59051
162,0,3,3,131,1,0,2,2,0,2,0,59052
163,0,3,3,131,2,1,3,1,1,1,0,59053
164,1,3,3,131,6,1,1,1,1,1,1,59054
165,0,3,3,131,1,0,2,1,1,1,2,59055
166,0,3,3,131,3,1,3,1,0,3,1,59056
167,1,4,4,131,6,0,1,2,0,3,2,59057
168,0,3,4,131,1,0,0,0,0,2,2,59058
169,0,3,3,190,1,0,2,0,0,2,2,59060
170,0,3,3,190,5,1,2,2,0,2,1,59061
171,0,3,3,190,9,1,2,2,0,4,2,59062
172,0,3,4,190,13,0,4,2,0,3,1,59063
173,0,4,4,190,27,0,2,3,0,4,0,59064
174,0,3,3,190,28,1,3,3,1,4,0,59065
175,0,3,3,190,24,1,4,3,0,3,3,59066
176,1,3,3,190,16,1,3,3,0,3,3,59067
177,0,3,3,190,19,0,3,3,0,4,2,59068
178,0,3,3,190,10,0,3,2,0,3,1,59069
179,0,3,3,190,9,1,2,2,0,2,1,59070
