,5ab15ab4c42b630001cd36fb_int,5ab15ab4c42b630001cd36fb_expint,conversation_id,message_len,5f3161410f87706425490ae1_int,5f3161410f87706425490ae1_expint,5f99cee5a2a7d109a1624e10_int,5f99cee5a2a7d109a1624e10_expint,doccano_id
68,2,2,153,7,1,2,2,2,47018
69,3,3,153,15,3,4,1,1,47019
70,1,2,153,4,4,2,1,0,47020
71,2,3,153,9,3,2,0,0,47021
72,2,3,153,4,4,2,0,0,47022
73,1,2,153,20,3,2,1,1,47023
74,1,1,153,4,4,3,1,0,47024
75,1,1,153,3,1,3,1,1,47025
76,1,2,153,8,3,3,0,0,47026
77,3,2,153,23,3,3,2,3,47027
78,2,3,153,18,2,1,3,3,47028
79,2,2,153,2,1,3,1,0,47029
80,3,1,153,18,3,3,3,3,47030
81,4,3,153,16,3,2,3,3,47031
82,2,2,153,1,2,3,2,3,47032
83,3,3,153,74,4,3,2,2,47033
84,3,3,153,68,4,2,2,2,47034
85,4,3,153,67,4,3,3,4,47035
86,3,1,153,42,4,3,2,2,47036
87,3,2,153,15,2,3,2,3,47037
88,3,1,153,16,2,2,2,2,47038
89,3,1,153,5,2,2,2,2,47039
90,2,1,153,11,2,2,1,2,47040
91,3,2,153,27,3,2,3,3,47041
92,4,2,153,9,2,3,2,2,47042
93,2,2,153,15,2,1,3,3,47043
94,1,1,153,5,1,1,2,2,47044
95,1,1,153,2,0,0,1,1,47045
96,1,1,028,10,2,3,1,2,47047
97,2,2,028,19,3,3,2,3,47048
98,3,1,028,15,2,3,2,3,47049
99,2,1,028,42,3,4,3,3,47050
100,3,1,028,26,3,3,2,3,47051
101,3,1,028,51,3,3,3,3,47052
102,3,1,028,33,2,3,3,3,47053
103,2,2,028,34,3,4,3,4,47054
104,3,1,028,30,3,3,2,3,47055
105,1,1,028,20,2,3,3,3,47056
106,2,1,028,43,2,3,3,3,47057
107,3,2,028,40,3,3,2,3,47058
108,3,1,028,23,4,3,3,3,47059
109,3,1,028,58,4,4,3,3,47060
110,3,1,028,28,2,3,2,3,47061
111,2,2,028,60,4,3,3,3,47062
112,2,2,028,19,2,3,2,2,47063
113,1,1,028,10,3,4,2,2,47064
114,1,2,028,59,4,3,2,3,47065
115,2,2,028,8,2,2,2,3,47066
116,2,3,028,32,4,3,2,2,47067
117,1,1,028,20,2,3,2,2,47068
118,1,1,028,28,2,3,1,1,47069
119,3,2,028,89,4,3,1,1,47070
120,2,1,028,41,3,4,1,1,47071
121,2,1,028,9,4,3,1,1,47072
122,1,3,028,36,3,3,1,1,47073
123,1,1,028,13,3,3,1,1,47074
124,3,1,028,53,3,2,2,2,47075
125,3,1,028,26,3,3,2,2,47076
126,1,2,028,4,2,3,1,1,47077
127,3,1,028,40,3,2,1,1,47078
128,3,1,028,57,4,2,2,2,47079
129,2,1,028,34,3,1,1,1,47080
130,1,2,028,20,2,1,1,1,47081
131,1,1,009,8,1,2,1,1,47083
132,3,1,009,13,3,2,1,1,47084
133,1,2,009,26,3,2,1,1,47085
134,1,2,009,9,3,2,1,1,47086
135,1,2,009,5,3,3,1,1,47087
136,2,0,009,28,3,3,2,2,47088
137,3,1,009,22,3,3,2,1,47089
138,3,1,009,37,3,3,3,3,47090
139,3,1,009,29,3,3,2,2,47091
140,3,1,009,95,4,3,1,1,47092
141,0,1,009,2,1,3,1,1,47093
142,3,1,009,56,4,2,1,1,47094
143,3,2,009,31,3,3,2,2,47095
144,2,3,009,29,3,3,2,2,47096
145,2,1,009,24,3,3,2,3,47097
146,3,2,009,48,3,2,3,3,47098
147,3,2,009,21,3,3,3,3,47099
148,4,2,009,65,3,3,2,2,47100
149,1,2,009,23,3,3,1,1,47101
150,3,2,009,22,3,2,1,1,47102
151,3,3,009,34,3,3,2,2,47103
152,3,2,009,22,3,3,2,2,47104
153,2,1,009,14,3,3,1,1,47105
154,1,1,009,10,3,4,1,1,47106
155,3,1,009,37,3,3,0,0,47107
156,1,0,009,9,2,3,0,0,47108
157,3,1,009,3,3,3,0,0,47109
158,1,1,009,3,3,3,0,0,47110
159,2,0,009,19,3,3,1,1,47111
160,2,2,009,28,4,3,1,1,47112
161,4,2,009,66,4,3,1,1,47113
162,2,1,009,48,3,2,1,2,47114
163,0,0,009,1,1,0,1,0,47115
164,0,0,205,4,1,1,1,1,47117
165,0,1,205,5,0,1,1,1,47118
166,1,1,205,6,2,2,2,2,47119
167,0,0,205,4,1,2,2,2,47120
168,3,1,205,46,4,3,1,1,47121
169,2,1,205,29,3,3,1,1,47122
170,0,1,205,1,2,3,2,2,47123
171,1,1,205,1,1,3,2,2,47124
172,2,0,205,14,3,3,2,2,47125
173,1,1,205,4,1,3,2,2,47126
174,1,1,205,3,1,3,2,2,47127
175,2,1,205,6,3,2,1,1,47128
176,2,1,205,5,4,2,1,1,47129
177,1,1,205,25,3,3,2,2,47130
178,3,1,205,49,4,3,1,1,47131
179,1,1,205,16,2,3,2,2,47132
180,0,0,205,1,1,3,1,1,47133
181,1,1,205,13,3,2,1,2,47134
182,0,0,205,6,2,2,1,1,47135
183,2,0,205,27,3,3,1,1,47136
184,2,1,205,24,3,3,1,1,47137
185,2,1,205,14,3,3,2,2,47138
186,1,0,205,2,3,3,1,1,47139
187,1,1,205,5,2,3,1,1,47140
188,1,1,205,6,3,2,2,2,47141
189,2,1,205,12,3,3,2,2,47142
190,2,1,205,18,3,2,2,2,47143
191,2,1,205,13,3,4,2,1,47144
192,1,1,205,32,4,3,3,3,47145
193,0,0,205,2,3,3,2,2,47146
194,1,1,205,14,3,3,2,2,47147
195,1,1,205,3,3,3,2,2,47148
196,1,1,205,7,4,3,2,2,47149
197,0,0,205,1,3,4,2,2,47150
198,2,1,205,18,4,4,2,2,47151
199,2,1,205,20,3,2,2,2,47152
200,1,1,205,19,3,3,2,2,47153
201,2,1,205,30,3,3,2,2,47154
202,1,1,205,7,2,2,2,2,47155
203,1,1,205,3,2,2,2,2,47156
204,2,1,205,16,2,2,2,3,47157
205,3,2,205,38,3,2,2,3,47158
206,2,2,205,30,3,2,2,2,47159
207,1,1,205,7,2,2,2,1,47160
208,1,1,205,5,3,3,1,1,47161
209,3,1,205,18,3,3,1,1,47162
210,2,2,205,8,4,3,1,1,47163
211,1,1,205,16,4,3,0,0,47164
212,1,1,205,15,3,3,2,1,47165
213,1,1,205,5,3,3,1,1,47166
214,2,0,205,10,3,3,0,0,47167
215,1,1,205,11,3,3,2,2,47168
216,1,1,205,23,3,3,2,3,47169
217,3,1,205,31,3,3,3,3,47170
218,3,1,205,40,3,3,2,2,47171
219,2,1,205,12,2,3,2,2,47172
220,1,1,205,3,2,3,1,1,47173
221,1,1,205,14,2,1,1,1,47174
222,1,1,205,7,1,0,1,1,47175
223,1,1,205,17,3,2,2,2,47176
224,1,1,205,4,2,1,2,2,47177
225,1,1,205,10,1,0,1,1,47178
226,0,0,143,5,2,2,0,0,47180
227,1,1,143,5,2,2,1,2,47181
228,1,1,143,4,3,2,1,1,47182
229,1,1,143,7,3,3,1,1,47183
230,1,1,143,8,2,2,2,2,47184
231,1,1,143,9,3,3,2,2,47185
232,1,1,143,9,3,3,1,1,47186
233,0,0,143,2,2,3,2,1,47187
234,2,1,143,28,3,3,1,1,47188
235,1,1,143,4,2,3,1,1,47189
236,0,0,143,1,1,3,0,0,47190
237,0,0,143,3,3,2,1,1,47191
238,0,0,143,6,2,3,1,1,47192
239,1,1,143,2,3,3,1,0,47193
240,2,1,143,12,3,3,2,2,47194
241,3,1,143,11,3,3,2,2,47195
242,1,1,143,11,2,3,2,2,47196
243,2,1,143,21,3,3,2,3,47197
244,2,1,143,11,3,3,3,3,47198
245,2,1,143,8,3,3,3,3,47199
246,2,1,143,10,3,3,3,3,47200
247,1,1,143,11,3,3,3,3,47201
248,0,0,143,4,2,3,2,2,47202
249,2,2,143,10,3,3,2,2,47203
250,2,1,143,7,3,3,2,2,47204
251,1,1,143,27,3,3,2,2,47205
252,1,1,143,4,2,3,1,1,47206
253,0,1,143,11,3,3,0,0,47207
254,0,1,143,14,1,3,1,1,47208
255,0,1,143,9,3,3,1,1,47209
256,1,1,143,13,3,3,2,2,47210
257,1,1,143,4,2,3,1,1,47211
258,2,0,143,7,3,3,1,1,47212
259,1,1,143,10,3,3,1,1,47213
260,0,0,143,3,2,2,1,0,47214
261,0,0,143,2,2,2,1,1,47215
262,2,1,143,9,3,3,1,1,47216
263,1,1,143,12,3,3,1,1,47217
264,2,1,143,26,3,3,1,1,47218
265,0,1,143,3,2,3,1,1,47219
266,1,1,143,1,3,3,1,1,47220
267,2,1,143,7,3,3,1,1,47221
268,1,1,143,4,2,3,0,0,47222
269,2,1,143,37,3,3,2,2,47223
270,1,1,143,8,3,3,2,1,47224
271,0,0,143,3,3,3,1,1,47225
272,1,0,143,6,3,3,1,1,47226
273,1,1,143,40,3,3,2,2,47227
274,0,0,143,1,2,4,1,1,47228
275,0,0,143,2,2,2,1,1,47229
276,1,1,143,4,3,3,1,1,47230
277,0,0,143,3,2,3,1,0,47231
278,1,1,143,3,3,3,1,1,47232
279,1,0,143,18,3,3,2,2,47233
280,0,0,143,3,2,3,2,2,47234
281,2,1,143,11,3,3,2,2,47235
282,1,0,143,8,3,3,1,1,47236
283,3,1,143,106,3,3,3,2,47237
284,2,0,143,4,3,3,1,1,47238
285,0,0,143,4,2,3,1,1,47239
286,2,1,143,44,3,3,2,2,47240
287,1,1,143,6,3,3,2,2,47241
288,0,0,143,2,2,3,1,1,47242
289,1,1,143,5,2,3,1,1,47243
290,1,1,143,6,2,3,1,1,47244
291,1,1,143,7,3,3,1,1,47245
292,0,0,143,3,2,3,1,0,47246
293,0,0,143,3,1,3,0,0,47247
294,2,1,143,39,3,3,1,1,47248
295,0,0,143,3,2,3,1,1,47249
296,0,0,143,8,2,2,1,1,47250
297,1,0,143,11,2,1,2,2,47251
298,1,0,143,5,2,3,2,2,47252
299,1,0,143,9,2,2,2,2,47253
300,0,0,143,5,2,2,1,1,47254
301,1,0,143,5,2,2,1,1,47255
302,1,0,143,3,2,2,1,1,47256
303,2,0,143,11,2,2,2,2,47257
304,2,1,143,13,3,2,1,1,47258
305,1,1,143,11,3,3,2,2,47259
306,0,0,143,6,2,1,1,1,47260
307,0,0,143,4,3,2,1,1,47261
308,0,0,143,1,1,2,1,1,47262
309,0,0,143,10,3,3,2,2,47263
310,3,1,143,18,3,3,2,2,47264
311,1,0,143,5,2,2,2,2,47265
312,2,1,143,5,3,2,2,2,47266
313,0,0,143,4,3,3,1,1,47267
314,0,0,143,6,1,1,1,1,47268
315,0,0,143,2,0,0,1,1,47269
