,5f2196d2670e5a0a96f218de_comparison,5f2196d2670e5a0a96f218de_int,5f2196d2670e5a0a96f218de_expint,conversation_id,message_len,5e569011c0486f03a51801b5_comparison,5e569011c0486f03a51801b5_int,5e569011c0486f03a51801b5_expint,60743bea7dd527ac14fef25b_comparison,60743bea7dd527ac14fef25b_int,60743bea7dd527ac14fef25b_expint,doccano_id
49,1,4,4,084,4,1,4,4,0,4,2,53210
50,0,3,3,084,14,0,4,4,1,0,2,53211
51,1,4,2,084,17,0,4,4,1,3,2,53212
52,1,4,3,084,12,0,4,4,1,3,2,53213
53,1,3,4,084,4,1,4,4,0,3,2,53214
54,1,3,3,084,19,0,4,4,1,2,2,53215
55,1,3,2,084,4,0,4,4,1,3,2,53216
56,0,3,3,084,5,0,4,4,1,3,2,53217
57,1,3,2,084,10,0,4,4,1,1,1,53218
58,1,4,3,084,6,0,4,4,1,2,2,53219
59,0,4,4,084,2,0,4,3,1,2,2,53220
60,1,3,4,084,5,1,4,3,1,2,2,53221
61,1,3,2,084,8,1,2,2,0,1,2,53222
62,1,2,3,084,11,0,4,3,1,1,2,53223
63,0,2,3,084,1,0,4,3,0,1,2,53224
64,0,2,2,084,1,0,4,4,0,1,1,53225
65,0,3,3,084,5,0,4,4,0,2,2,53226
66,0,3,4,084,1,0,4,3,0,2,2,53227
67,0,4,3,084,19,0,4,3,0,2,2,53228
68,0,4,3,084,1,0,4,2,0,1,1,53229
69,0,4,3,084,1,0,4,2,0,1,1,53230
70,0,3,3,084,46,0,4,2,0,2,2,53231
71,0,3,4,084,3,1,4,3,0,1,2,53232
72,1,4,4,084,1,1,4,4,0,2,2,53233
73,1,3,3,084,2,1,4,4,1,1,1,53234
74,1,4,3,084,1,1,4,3,1,1,1,53235
75,1,3,4,084,1,0,4,2,0,3,2,53236
76,1,4,4,084,2,0,4,4,0,2,1,53237
77,0,3,2,084,6,1,4,4,1,1,1,53238
78,1,0,0,221,3,1,2,2,0,1,1,53240
79,0,2,3,221,5,1,2,2,0,1,1,53241
80,1,3,4,221,38,0,3,2,0,1,1,53242
81,1,3,3,221,5,0,4,4,1,2,1,53243
82,1,3,2,221,38,0,4,4,0,2,1,53244
83,0,4,3,221,21,0,4,4,0,2,2,53245
84,1,3,4,221,13,0,3,3,1,1,1,53246
85,1,4,4,221,76,0,4,3,0,1,1,53247
86,1,4,4,221,29,0,4,4,0,3,2,53248
87,1,4,4,221,25,1,4,4,0,2,1,53249
88,1,4,4,221,36,0,4,4,0,2,2,53250
89,1,3,4,221,18,0,4,4,1,2,2,53251
90,0,3,4,221,51,0,4,4,0,3,2,53252
91,1,3,3,221,41,0,4,4,1,2,2,53253
92,1,3,3,221,11,0,4,4,0,1,1,53254
93,1,3,3,221,16,0,4,4,0,2,2,53255
94,1,3,2,221,30,0,4,4,0,1,1,53256
95,0,3,3,221,42,0,4,4,0,2,2,53257
96,1,4,3,221,17,0,4,4,0,2,2,53258
97,0,3,3,221,12,0,4,4,0,1,1,53259
98,0,3,3,221,2,0,4,4,0,1,1,53260
99,0,4,3,221,9,0,4,4,1,1,1,53261
100,1,4,4,221,33,0,4,4,1,2,2,53262
101,1,4,4,221,26,0,4,4,1,2,1,53263
102,0,4,4,221,25,0,4,4,0,2,1,53264
103,0,4,4,221,42,0,4,4,0,1,1,53265
104,0,3,4,221,26,0,4,4,0,1,1,53266
105,0,3,4,221,19,0,4,4,0,1,1,53267
106,1,4,4,221,23,0,4,4,0,2,2,53268
107,1,4,4,221,18,0,4,4,0,2,2,53269
108,1,4,4,221,14,0,4,4,0,1,1,53270
109,0,4,4,221,24,0,4,4,0,2,2,53271
110,0,4,4,221,35,1,4,4,0,3,2,53272
111,0,4,2,221,11,0,4,4,0,1,2,53273
112,0,4,3,221,21,0,4,4,1,2,2,53274
113,1,4,4,221,21,0,4,4,1,1,2,53275
114,1,4,4,221,12,1,4,4,0,2,2,53276
115,1,4,1,221,7,0,4,4,1,1,2,53277
116,0,3,4,221,31,0,4,4,0,2,2,53278
117,1,3,3,221,7,0,4,4,1,3,2,53279
118,1,4,4,221,39,0,4,4,0,2,2,53280
119,1,3,3,221,14,1,4,4,1,2,2,53281
120,1,3,1,221,5,1,4,4,1,1,1,53282
121,0,0,0,007,4,0,4,4,0,1,2,53284
122,0,3,4,007,11,0,4,4,0,2,1,53285
123,1,3,4,007,74,0,4,4,0,2,1,53286
124,1,4,4,007,44,1,4,4,1,2,2,53287
125,1,3,3,007,42,0,4,4,0,2,2,53288
126,1,3,3,007,20,0,4,4,0,3,2,53289
127,1,3,4,007,19,0,3,4,0,1,2,53290
128,1,4,4,007,62,0,4,4,0,1,2,53291
129,1,3,4,007,36,1,4,4,1,3,2,53292
130,1,4,4,007,27,0,4,4,0,2,2,53293
131,0,3,4,007,47,0,4,4,0,3,2,53294
132,0,4,4,007,44,0,4,4,0,2,2,53295
133,1,3,4,007,22,0,4,4,0,2,2,53296
134,0,2,2,007,12,1,4,4,0,0,1,53297
135,1,2,2,007,41,0,4,4,1,1,1,53298
136,1,3,3,007,19,0,4,4,0,1,1,53299
137,1,4,4,007,41,0,4,4,1,2,1,53300
138,1,4,4,007,57,0,4,4,0,1,2,53301
139,1,4,4,007,17,1,4,4,0,3,2,53302
140,1,4,4,007,27,0,4,4,1,3,2,53303
141,1,4,4,007,28,1,4,4,0,3,3,53304
142,1,4,4,007,18,0,4,4,1,3,3,53305
143,1,3,4,007,19,0,4,4,0,3,2,53306
144,1,4,3,007,16,0,4,4,0,3,2,53307
145,1,4,4,007,41,0,4,4,1,3,2,53308
146,0,4,4,007,7,1,4,4,0,3,2,53309
147,1,2,2,007,9,1,4,4,0,2,1,53310
148,1,3,2,007,11,0,4,4,0,2,3,53311
149,0,3,2,007,45,0,4,4,0,2,2,53312
150,0,3,4,007,11,0,4,4,1,2,2,53313
151,1,3,4,007,41,0,4,4,0,2,2,53314
152,0,2,2,007,23,0,4,4,1,1,1,53315
153,1,3,4,007,38,0,4,4,0,2,2,53316
154,1,3,3,007,31,0,4,4,0,1,2,53317
155,1,3,4,007,12,1,4,4,1,2,3,53318
156,1,2,3,007,35,0,4,4,0,1,2,53319
157,0,3,3,007,29,0,4,4,0,3,2,53320
158,1,3,3,007,33,0,4,4,1,3,2,53321
159,1,4,4,007,43,0,4,4,0,2,2,53322
160,1,4,3,007,29,0,4,4,1,2,2,53323
161,1,2,2,007,6,1,4,4,0,2,1,53324
162,1,0,0,070,6,1,3,3,0,1,1,53326
163,1,2,2,070,33,1,4,3,1,2,2,53327
164,1,2,2,070,33,0,4,4,1,3,2,53328
165,1,2,3,070,55,0,4,4,0,2,2,53329
166,0,3,4,070,13,0,4,4,1,3,2,53330
167,1,3,4,070,8,1,4,4,1,2,2,53331
168,1,3,3,070,9,0,4,4,1,2,2,53332
169,1,2,2,070,7,1,4,4,1,2,2,53333
170,1,4,2,070,5,0,4,4,1,1,1,53334
171,1,3,3,070,102,1,4,4,1,2,2,53335
172,1,3,3,070,14,0,4,4,0,1,1,53336
173,1,3,3,070,15,0,4,4,0,3,2,53337
174,1,3,4,070,27,0,4,4,1,2,2,53338
175,0,2,3,070,28,0,4,4,1,2,2,53339
176,1,3,3,070,17,0,4,4,0,3,2,53340
177,1,4,2,070,4,0,4,4,0,2,2,53341
178,1,3,3,070,9,1,3,3,0,2,2,53342
179,1,3,3,070,4,0,4,4,0,2,2,53343
180,1,3,3,070,13,0,4,4,1,2,2,53344
181,0,3,3,070,1,1,4,4,0,3,2,53345
182,1,4,2,070,13,1,4,4,1,2,2,53346
183,0,3,2,070,27,0,4,4,1,3,2,53347
184,0,2,3,070,2,0,4,4,0,2,2,53348
185,0,4,3,070,10,0,4,4,0,3,2,53349
186,0,3,4,070,7,0,4,4,1,2,2,53350
187,1,3,4,070,33,0,4,4,1,3,2,53351
188,1,4,4,070,10,0,4,4,0,3,2,53352
189,1,3,3,070,26,0,4,4,1,3,2,53353
190,0,3,4,070,10,0,4,4,0,2,2,53354
191,0,3,4,070,13,1,4,4,0,3,2,53355
192,1,2,1,070,5,1,4,4,1,1,1,53356
193,1,0,0,154,8,1,2,2,1,1,1,53358
194,1,3,3,154,62,1,4,3,0,1,1,53359
195,1,2,2,154,9,1,2,2,0,1,1,53360
196,0,2,2,154,17,0,2,2,0,1,1,53361
197,1,3,3,154,18,0,1,2,0,1,1,53362
198,0,2,2,154,8,1,1,3,0,1,1,53363
199,0,2,3,154,14,0,1,3,0,1,1,53364
200,0,2,2,154,7,0,1,2,0,1,1,53365
201,1,2,2,154,16,1,1,3,1,1,1,53366
202,1,3,4,154,35,0,2,3,1,1,1,53367
203,0,3,3,154,22,0,3,3,1,2,1,53368
204,1,2,1,154,86,1,1,1,0,1,1,53369
205,1,3,3,154,80,0,1,1,1,1,1,53370
206,0,3,3,154,16,0,1,1,0,1,1,53371
207,0,3,2,154,19,0,1,1,0,1,1,53372
208,1,3,2,154,62,0,2,2,0,1,1,53373
209,1,3,2,154,13,1,2,2,0,1,1,53374
210,1,3,3,154,19,0,1,2,1,1,1,53375
211,1,3,2,154,65,0,1,3,0,2,2,53376
212,1,2,3,154,85,1,1,2,0,1,1,53377
213,0,4,3,154,14,0,3,3,1,1,1,53378
214,1,3,2,154,19,0,3,3,0,1,1,53379
215,1,4,4,154,37,0,2,2,0,2,1,53380
216,1,3,3,154,15,1,2,1,0,1,1,53381
217,1,3,1,154,39,0,0,1,0,1,1,53382
218,1,2,1,154,22,0,0,1,0,1,1,53383
219,1,2,1,154,31,0,1,1,0,1,1,53384
220,1,3,3,154,38,1,2,2,1,1,1,53385
221,1,3,2,154,17,1,1,1,0,1,1,53386
222,0,3,3,154,2,1,1,1,0,1,1,53387
223,1,2,2,154,19,0,1,2,0,1,1,53388
224,1,4,3,154,47,0,1,1,0,1,1,53389
225,1,3,2,154,7,1,0,1,0,1,1,53390
226,0,4,4,154,10,0,2,2,1,1,1,53391
227,1,3,2,154,34,0,2,2,0,1,1,53392
228,0,3,2,154,14,0,0,1,0,1,1,53393
229,1,4,3,154,28,0,1,1,1,1,1,53394
230,1,3,2,154,12,1,0,0,0,1,1,53395
231,1,2,2,154,7,0,1,2,0,1,1,53396
232,0,0,0,027,13,1,4,4,0,1,1,53398
233,1,4,3,027,42,1,3,2,0,2,2,53399
234,0,4,3,027,25,1,1,2,0,1,1,53400
235,1,3,2,027,37,0,2,2,1,1,1,53401
236,0,2,2,027,22,1,2,2,0,1,1,53402
237,1,2,3,027,37,0,1,1,0,1,1,53403
238,1,1,3,027,16,0,1,2,0,1,1,53404
239,1,2,3,027,20,1,2,1,0,1,1,53405
240,0,4,4,027,85,0,1,1,1,1,1,53406
241,1,3,3,027,1,0,1,2,0,2,1,53407
242,1,2,3,027,13,1,3,3,0,1,1,53408
243,0,3,3,027,6,1,4,3,0,1,1,53409
244,1,4,4,027,13,1,3,2,0,1,1,53410
245,0,3,3,027,9,0,2,2,0,1,1,53411
246,0,2,3,027,5,0,4,3,0,1,1,53412
247,1,3,4,027,9,0,3,2,0,1,1,53413
248,1,4,3,027,11,0,4,3,1,1,1,53414
249,0,3,3,027,6,0,2,2,0,1,1,53415
250,1,2,2,027,7,0,3,3,1,1,1,53416
251,1,4,2,027,22,0,4,3,0,1,1,53417
252,1,4,4,027,23,0,3,2,0,1,1,53418
253,1,3,3,027,15,0,3,2,1,1,1,53419
254,1,4,4,027,24,0,1,2,0,1,1,53420
255,1,2,3,027,3,0,2,2,0,1,1,53421
256,0,3,3,027,40,0,1,2,0,2,1,53422
257,1,3,3,027,24,0,2,2,0,1,1,53423
258,1,1,3,027,60,0,3,2,0,2,2,53424
259,1,4,3,027,23,0,2,2,0,2,1,53425
260,1,4,4,027,2,0,2,2,0,1,1,53426
261,0,3,2,027,14,0,2,1,0,1,1,53427
262,1,4,4,027,18,0,3,2,0,1,1,53428
263,0,4,4,027,17,0,1,2,0,1,1,53429
264,1,2,2,027,16,0,2,2,0,1,1,53430
265,1,3,3,027,11,0,2,1,0,1,1,53431
266,1,2,3,027,23,0,2,2,0,1,1,53432
267,1,4,4,027,26,0,3,3,1,1,1,53433
268,1,2,1,027,9,0,2,1,0,1,1,53434
269,1,3,3,027,15,0,1,1,1,1,1,53435
270,1,1,3,027,26,0,1,1,0,1,1,53436
271,1,3,2,027,19,0,1,1,0,1,1,53437
272,1,2,2,027,39,0,2,2,0,1,1,53438
273,1,3,3,027,24,0,2,2,1,1,1,53439
274,1,3,3,027,18,0,1,1,0,1,1,53440
275,1,3,3,027,16,0,2,1,0,1,1,53441
276,1,1,1,027,11,0,2,2,0,1,1,53442
277,1,3,4,027,30,0,2,2,0,1,1,53443
278,1,3,3,027,16,0,1,2,1,1,1,53444
279,1,3,2,190,6,1,1,1,0,1,1,53446
280,1,2,2,190,6,1,4,3,0,2,1,53447
281,1,4,4,190,13,0,4,4,1,1,1,53448
282,1,3,3,190,20,0,4,4,0,2,2,53449
283,1,3,3,190,86,0,4,4,0,3,2,53450
284,0,3,3,190,28,0,3,4,0,2,2,53451
285,1,3,3,190,32,0,3,4,0,2,2,53452
286,1,2,3,190,25,1,4,4,0,2,2,53453
287,0,4,2,190,43,0,4,4,0,2,2,53454
288,1,3,3,190,14,0,4,4,0,1,2,53455
289,0,3,3,190,17,0,4,4,0,2,2,53456
