,612a87998958706392797405_int,612a87998958706392797405_expint,conversation_id,message_len,5de585e4040f535067ca331e_int,5de585e4040f535067ca331e_expint,5ef3efcb420ab11a45a0b8a6_int,5ef3efcb420ab11a45a0b8a6_expint,doccano_id
64,1,3,064,6,1,0,1,1,22378
65,2,3,064,18,0,1,1,2,22379
66,2,3,064,26,0,0,1,2,22380
67,4,3,064,43,1,1,3,4,22381
68,1,2,064,19,0,0,3,2,22382
69,2,2,064,7,0,0,3,3,22383
70,2,3,064,18,0,0,3,3,22384
71,1,1,064,7,0,0,2,3,22385
72,2,2,064,24,1,1,3,2,22386
73,3,3,064,36,0,0,2,2,22387
74,2,3,064,11,0,1,1,1,22388
75,3,3,064,20,0,0,1,1,22389
76,3,2,064,24,0,0,2,2,22390
77,1,1,064,18,0,0,2,2,22391
78,0,2,043,4,0,1,2,2,22393
79,0,1,043,1,0,0,1,1,22394
80,0,1,043,1,0,1,2,2,22395
81,1,2,043,41,1,1,1,0,22396
82,0,1,043,5,0,0,1,2,22397
83,1,1,043,11,0,0,2,3,22398
84,2,2,043,12,0,1,1,0,22399
85,0,0,043,1,0,0,2,1,22400
86,1,1,043,2,0,0,3,2,22401
87,1,1,043,4,0,0,2,2,22402
88,0,1,043,1,0,0,2,1,22403
89,0,1,043,1,1,1,3,1,22404
90,0,1,043,1,0,1,2,1,22405
91,1,1,043,2,1,1,2,2,22406
92,0,1,043,2,0,1,3,2,22407
93,1,1,043,6,0,1,0,0,22408
94,0,1,043,5,0,0,2,1,22409
95,1,1,043,12,1,1,3,3,22410
96,1,2,043,11,0,0,2,1,22411
97,0,1,043,1,0,0,3,3,22412
98,2,1,043,32,2,1,2,1,22413
99,0,1,043,4,0,0,2,0,22414
100,1,1,043,34,1,2,2,2,22415
101,0,1,043,3,0,0,3,4,22416
102,1,1,043,13,1,1,3,3,22417
103,0,0,043,1,0,0,2,1,22418
104,0,0,043,2,0,0,1,0,22419
105,1,2,231,5,0,1,1,1,22421
106,1,2,231,9,1,2,1,2,22422
107,1,2,231,3,0,1,1,1,22423
108,1,2,231,16,1,1,1,1,22424
109,0,1,231,1,0,0,0,0,22425
110,1,2,231,16,1,1,1,1,22426
111,1,2,231,19,1,1,1,2,22427
112,1,2,231,8,1,1,1,1,22428
113,1,1,231,20,0,0,1,1,22429
114,0,1,231,1,0,0,0,0,22430
115,1,2,231,29,0,0,2,1,22431
116,0,1,231,10,0,1,1,1,22432
117,0,1,231,3,0,0,1,2,22433
118,0,1,231,2,1,1,1,1,22434
119,1,2,231,7,1,0,1,1,22435
120,0,1,231,1,0,0,0,0,22436
121,1,2,231,5,1,1,2,2,22437
122,1,1,231,7,0,1,3,2,22438
123,0,1,231,4,1,2,1,1,22439
124,2,1,231,32,2,2,1,1,22440
125,0,1,231,2,0,0,0,1,22441
126,1,1,231,7,0,0,1,1,22442
127,1,2,231,14,0,0,1,1,22443
128,0,1,231,2,0,0,1,0,22444
129,0,0,231,5,0,0,1,0,22445
130,1,1,231,12,0,0,2,1,22446
131,1,1,231,13,0,0,2,1,22447
132,2,1,231,39,0,0,3,2,22448
133,2,1,231,39,1,0,3,3,22449
134,1,1,231,21,0,0,3,3,22450
135,0,1,231,10,1,1,2,2,22451
136,4,3,231,93,2,2,3,1,22452
137,3,2,231,22,1,2,1,1,22453
138,3,2,231,62,3,2,2,2,22454
139,2,2,231,39,3,3,2,2,22455
140,0,1,231,1,1,3,1,0,22456
141,2,2,231,16,3,3,1,2,22457
142,2,2,231,31,2,2,2,2,22458
143,4,3,231,82,3,3,3,3,22459
144,0,1,231,9,1,1,1,1,22460
145,1,1,231,9,1,2,1,2,22461
146,1,2,231,17,1,1,1,2,22462
147,1,1,231,15,1,1,1,1,22463
148,2,2,231,17,2,2,2,2,22464
149,0,1,231,5,2,2,1,1,22465
150,1,1,231,11,2,2,1,1,22466
151,0,1,231,4,2,2,1,0,22467
152,2,2,231,33,2,2,1,1,22468
153,0,0,231,13,0,0,1,1,22469
154,0,0,231,5,0,0,1,0,22470
155,0,0,231,12,0,0,2,2,22471
156,0,1,125,5,0,0,2,2,22473
157,1,2,125,7,0,1,2,2,22474
158,1,2,125,7,1,1,1,2,22475
159,0,1,125,2,0,0,1,0,22476
160,0,1,125,5,0,0,1,1,22477
161,1,1,125,8,0,1,1,2,22478
162,2,2,125,21,1,0,2,1,22479
163,0,1,125,6,1,1,1,1,22480
164,1,1,125,15,0,0,1,1,22481
165,1,2,125,14,0,0,2,2,22482
166,0,1,125,5,0,0,1,0,22483
167,0,1,125,7,0,0,1,1,22484
168,1,2,125,14,0,0,1,1,22485
169,0,1,125,5,0,1,1,2,22486
170,1,2,125,3,0,1,1,1,22487
171,2,3,125,15,0,0,2,3,22488
172,1,2,125,5,0,1,2,2,22489
173,2,2,125,20,0,0,2,1,22490
174,0,1,125,9,0,1,1,1,22491
175,0,1,125,4,1,1,1,1,22492
176,0,1,125,6,0,0,1,1,22493
177,0,0,125,3,0,1,1,0,22494
178,1,2,125,8,0,1,1,1,22495
179,0,1,125,5,1,1,1,1,22496
180,1,1,125,15,1,1,1,1,22497
181,1,1,125,7,0,0,1,2,22498
182,2,1,125,30,1,1,2,2,22499
183,0,1,125,1,0,0,1,0,22500
184,3,1,125,49,1,1,2,2,22501
185,0,1,125,3,0,0,1,1,22502
186,0,1,125,3,0,1,2,1,22503
187,0,0,125,2,0,0,1,0,22504
188,1,1,125,8,0,0,1,1,22505
189,0,0,125,2,1,1,1,0,22506
190,0,0,125,1,0,0,1,1,22507
191,1,2,125,13,2,2,2,2,22508
192,1,0,125,8,2,1,1,2,22509
193,0,0,125,5,1,1,1,1,22510
194,0,0,125,3,0,0,1,1,22511
195,0,0,125,2,0,0,1,0,22512
196,1,0,125,17,0,0,2,1,22513
197,1,1,125,20,1,1,1,1,22514
198,0,0,125,3,0,0,1,1,22515
199,1,1,125,14,1,2,2,1,22516
200,0,0,125,1,1,1,0,0,22517
201,0,0,125,3,1,1,1,1,22518
202,0,0,125,3,0,0,1,1,22519
203,0,0,125,2,1,1,1,1,22520
204,0,0,125,1,0,0,2,1,22521
205,1,0,125,17,1,2,2,1,22522
206,2,1,125,30,1,2,1,1,22523
207,1,1,125,12,1,1,1,1,22524
208,2,2,125,35,2,2,3,3,22525
209,2,1,125,34,2,2,2,2,22526
210,1,1,125,12,1,1,1,2,22527
211,0,1,125,4,1,1,1,1,22528
212,1,1,125,16,1,1,1,1,22529
213,1,1,125,14,1,1,1,1,22530
214,0,1,125,3,1,1,1,1,22531
215,1,1,125,12,0,0,1,1,22532
216,1,1,125,21,1,1,2,2,22533
217,0,1,125,12,1,2,2,1,22534
218,1,1,125,21,0,1,1,1,22535
219,2,2,125,49,2,2,2,2,22536
220,0,1,125,4,1,1,1,1,22537
221,2,1,125,28,2,3,1,1,22538
222,1,0,125,19,2,2,2,1,22539
223,1,0,125,5,1,1,1,1,22540
224,0,0,125,5,1,1,1,1,22541
225,1,0,125,23,0,0,2,2,22542
226,1,0,125,13,1,0,2,1,22543
227,1,2,188,16,0,0,1,1,22545
228,1,2,188,10,0,0,1,0,22546
229,1,2,188,18,0,1,1,1,22547
230,0,1,188,1,0,0,1,1,22548
231,0,1,188,3,0,0,1,1,22549
232,0,1,188,5,0,1,1,0,22550
233,1,1,188,7,0,0,1,0,22551
234,0,1,188,4,0,0,2,1,22552
235,1,2,188,10,1,0,2,1,22553
236,1,2,188,28,1,0,1,0,22554
237,1,1,188,12,1,1,1,1,22555
238,0,1,188,9,1,1,2,1,22556
239,1,2,188,10,1,0,1,1,22557
240,0,1,188,5,0,1,2,1,22558
241,0,1,188,8,0,0,1,0,22559
242,0,1,188,2,0,0,1,0,22560
243,0,1,188,7,0,0,1,1,22561
244,1,1,188,16,1,1,2,1,22562
245,1,1,188,11,1,1,1,1,22563
246,1,1,188,15,1,1,2,1,22564
247,1,1,188,19,1,1,1,1,22565
248,1,1,188,5,1,1,1,1,22566
249,1,1,188,10,0,1,1,0,22567
250,0,1,188,5,0,0,1,0,22568
251,2,1,188,41,1,1,1,2,22569
252,1,1,188,18,0,0,1,1,22570
253,0,1,188,8,0,0,1,1,22571
254,1,1,188,10,0,0,2,0,22572
255,1,1,188,15,0,0,2,2,22573
256,1,1,188,10,0,0,1,1,22574
257,0,1,188,1,0,0,1,1,22575
258,0,1,188,8,1,1,2,1,22576
259,1,1,188,8,1,1,2,0,22577
260,0,1,188,5,0,0,3,1,22578
261,1,1,188,15,0,0,1,0,22579
262,1,1,188,16,1,1,1,0,22580
263,2,1,188,25,0,0,1,0,22581
264,0,1,188,4,0,0,1,0,22582
265,1,1,188,14,0,1,1,1,22583
266,1,1,188,22,1,1,2,1,22584
267,0,1,188,6,0,0,1,0,22585
268,1,1,188,10,0,1,1,0,22586
269,1,1,188,3,1,1,1,0,22587
270,1,1,188,9,1,1,1,1,22588
271,1,1,188,11,1,1,2,2,22589
272,0,1,188,1,0,1,1,1,22590
273,0,1,188,3,0,0,2,1,22591
274,1,1,188,15,0,0,1,0,22592
275,1,1,188,15,0,0,2,1,22593
276,0,1,188,5,0,0,1,1,22594
277,0,1,188,5,0,0,2,2,22595
278,1,1,188,8,1,1,1,1,22596
279,0,1,188,9,1,1,2,1,22597
280,1,1,188,7,0,0,1,1,22598
281,1,1,188,6,2,2,1,1,22599
282,1,0,188,13,1,1,3,2,22600
283,0,0,188,5,0,0,1,2,22601
284,1,1,188,17,0,0,1,1,22602
285,0,0,188,7,0,0,2,2,22603
