,5f73427f244c770277ba2a5d_int,5f73427f244c770277ba2a5d_expint,conversation_id,message_len,59b536d60516f6000197c3f9_int,59b536d60516f6000197c3f9_expint,5ea9c1f55ce96d106af147a7_int,5ea9c1f55ce96d106af147a7_expint,doccano_id
119,1,1,142,16,3,2,2,2,39142
120,2,2,142,9,2,1,2,2,39143
121,2,1,142,13,1,1,1,1,39144
122,1,1,142,6,3,1,1,1,39145
123,0,0,142,2,2,2,0,0,39146
124,1,0,142,10,1,1,0,0,39147
125,0,0,142,9,3,1,1,1,39148
126,1,1,142,13,4,2,1,1,39149
127,1,1,142,14,3,3,2,1,39150
128,2,1,142,13,4,3,2,2,39151
129,1,1,142,6,2,3,1,1,39152
130,2,2,142,18,2,2,1,1,39153
131,1,1,142,11,3,2,2,2,39154
132,2,1,142,6,1,1,2,2,39155
133,2,0,142,12,4,3,3,3,39156
134,3,1,142,11,3,3,4,4,39157
135,2,3,142,8,4,3,4,4,39158
136,3,3,142,20,4,3,4,4,39159
137,3,2,142,13,4,4,3,3,39160
138,3,2,142,4,4,3,3,3,39161
139,1,1,142,6,3,2,3,3,39162
140,2,2,142,29,4,4,2,2,39163
141,2,2,142,10,4,2,2,2,39164
142,0,1,142,2,1,3,1,1,39165
143,3,1,142,15,3,4,1,1,39166
144,1,1,142,3,2,3,1,1,39167
145,2,2,142,60,4,3,2,2,39168
146,3,2,142,13,4,3,2,2,39169
147,2,1,142,5,3,3,2,2,39170
148,2,2,142,4,2,3,1,1,39171
149,1,1,142,4,1,3,1,1,39172
150,3,1,142,75,4,2,3,3,39173
151,1,1,142,5,3,3,2,2,39174
152,2,1,142,3,2,3,2,2,39175
153,2,0,142,2,1,3,1,1,39176
154,1,1,142,7,3,2,2,2,39177
155,1,1,142,5,3,4,2,2,39178
156,2,0,142,10,1,3,2,2,39179
157,2,1,142,11,3,2,1,1,39180
158,1,1,142,20,3,4,1,1,39181
159,2,1,142,40,4,3,2,2,39182
160,1,1,142,10,3,2,1,1,39183
161,3,1,142,6,3,4,1,1,39184
162,2,1,142,8,2,3,2,2,39185
163,1,1,142,4,4,3,1,1,39186
164,2,2,142,53,4,4,3,1,39187
165,2,1,142,24,3,3,2,2,39188
166,0,0,142,1,1,3,0,0,39189
167,1,0,142,10,3,2,2,2,39190
168,1,1,142,5,2,3,2,1,39191
169,1,1,142,4,3,4,0,0,39192
170,3,1,142,61,3,3,2,1,39193
171,0,0,142,8,1,3,1,1,39194
172,0,0,142,7,2,3,2,1,39195
173,0,0,142,2,1,1,1,1,39196
174,1,0,142,10,3,3,1,1,39197
175,1,1,142,15,2,2,1,1,39198
176,1,1,142,14,1,2,1,1,39199
177,1,1,142,25,3,2,2,2,39200
178,1,1,142,14,2,2,2,1,39201
179,1,1,142,10,1,1,1,1,39202
180,2,1,142,26,3,1,2,1,39203
181,2,1,142,16,2,2,1,1,39204
182,0,1,142,1,2,2,2,1,39205
183,1,0,142,14,3,1,1,1,39206
184,2,1,142,18,1,1,2,1,39207
185,2,1,142,2,1,1,0,0,39208
186,1,1,103,5,1,1,1,1,39210
187,2,1,103,10,2,3,1,1,39211
188,0,0,103,5,1,3,1,1,39212
189,3,1,103,48,3,3,4,4,39213
190,1,1,103,12,2,4,3,3,39214
191,1,1,103,8,2,2,2,2,39215
192,0,0,103,5,2,4,1,1,39216
193,0,0,103,15,2,3,1,1,39217
194,0,1,103,5,2,3,2,2,39218
195,0,0,103,9,3,4,2,2,39219
196,0,0,103,1,1,3,0,0,39220
197,1,0,103,8,3,2,3,2,39221
198,2,1,103,50,4,3,2,2,39222
199,1,1,103,12,3,4,1,1,39223
200,1,0,103,7,3,3,2,2,39224
201,0,0,103,2,2,3,0,0,39225
202,1,0,103,8,3,2,1,1,39226
203,1,1,103,9,2,4,1,1,39227
204,0,1,103,2,2,2,0,0,39228
205,1,1,103,6,2,3,1,1,39229
206,1,1,103,4,2,2,0,0,39230
207,2,1,103,4,1,3,0,0,39231
208,1,1,103,13,2,3,1,1,39232
209,1,1,103,4,1,2,0,0,39233
210,1,0,103,6,1,2,1,1,39234
211,0,0,103,4,2,1,0,0,39235
212,0,0,103,5,1,3,1,1,39236
213,1,1,103,8,2,2,0,0,39237
214,0,0,103,4,1,2,1,2,39238
215,0,0,103,1,1,1,0,0,39239
216,1,0,103,1,1,1,0,0,39240
217,3,1,103,10,2,2,1,1,39241
218,1,0,103,8,2,1,1,1,39242
219,2,1,103,26,3,2,2,1,39243
220,2,1,103,4,2,4,0,0,39244
221,0,0,103,1,1,3,0,0,39245
222,1,1,103,30,4,3,2,1,39246
223,3,1,103,50,4,4,2,2,39247
224,1,0,103,6,3,3,1,1,39248
225,1,1,103,6,2,2,1,1,39249
226,2,1,103,99,4,4,3,3,39250
227,1,1,103,5,3,2,1,0,39251
228,0,0,103,2,2,1,0,0,39252
229,1,0,103,20,4,3,0,0,39253
230,2,1,103,54,3,2,2,1,39254
231,2,1,103,16,2,2,2,1,39255
232,1,1,103,26,2,2,2,2,39256
233,2,2,103,24,2,1,1,1,39257
234,0,1,103,7,1,1,1,1,39258
235,1,1,103,2,1,1,0,0,39259
236,3,1,166,20,2,2,1,1,39261
237,2,1,166,12,2,1,1,1,39262
238,2,1,166,13,1,2,1,1,39263
239,2,1,166,7,1,2,1,1,39264
240,3,1,166,10,1,1,2,1,39265
241,2,2,166,9,2,2,1,1,39266
242,2,1,166,9,2,1,1,1,39267
243,2,1,166,15,2,2,2,2,39268
244,1,0,166,4,1,1,0,0,39269
245,3,1,166,27,4,3,1,1,39270
246,1,1,166,26,3,3,2,2,39271
247,0,0,166,1,2,3,0,0,39272
248,1,1,166,24,3,3,1,1,39273
249,1,1,166,10,2,3,1,1,39274
250,2,1,166,53,4,3,3,3,39275
251,2,1,166,194,3,3,4,4,39276
252,1,0,166,11,2,2,3,3,39277
253,2,3,166,23,4,3,3,3,39278
254,2,1,166,34,4,4,3,3,39279
255,1,1,166,17,3,4,2,2,39280
256,0,0,166,22,3,3,2,2,39281
257,2,1,166,65,2,3,3,3,39282
258,1,1,166,20,4,3,2,2,39283
259,1,1,166,268,4,3,4,4,39284
260,1,0,166,7,2,3,3,3,39285
261,2,1,166,40,4,2,3,3,39286
262,1,1,166,26,3,2,3,3,39287
263,1,0,166,10,3,3,3,3,39288
264,2,0,166,15,3,3,3,3,39289
265,1,0,166,12,3,3,3,3,39290
266,1,0,166,12,3,3,3,3,39291
267,2,1,166,24,4,3,3,3,39292
268,2,1,166,25,4,3,3,3,39293
269,0,0,166,11,3,3,3,3,39294
270,1,0,166,12,4,4,3,3,39295
271,1,1,166,11,3,4,3,3,39296
272,2,1,166,12,3,3,3,3,39297
273,1,1,166,23,4,3,3,3,39298
274,3,1,166,27,4,3,3,3,39299
275,1,1,166,2,2,4,2,2,39300
276,2,1,166,49,4,4,3,3,39301
277,1,1,166,20,3,4,3,3,39302
278,0,0,166,2,2,2,0,0,39303
279,2,1,166,82,4,3,3,2,39304
280,1,1,166,17,4,3,3,2,39305
281,2,0,166,47,4,3,2,2,39306
282,1,0,166,11,3,3,3,3,39307
283,1,1,166,21,2,1,1,1,39308
284,0,1,166,1,1,1,0,0,39309
285,1,1,074,6,1,1,1,1,39311
286,2,2,074,10,1,1,1,1,39312
287,2,1,074,18,1,1,1,1,39313
288,2,1,074,13,3,2,2,2,39314
289,1,1,074,3,1,2,1,1,39315
290,2,1,074,34,3,2,1,1,39316
291,1,1,074,8,2,2,1,1,39317
292,1,1,074,26,3,2,1,1,39318
293,2,1,074,11,3,1,2,1,39319
294,2,1,074,11,3,3,2,2,39320
295,1,1,074,8,3,3,2,2,39321
296,1,1,074,6,2,2,1,1,39322
297,2,1,074,23,3,3,1,1,39323
298,2,1,074,32,4,3,3,2,39324
299,2,1,074,4,2,3,3,2,39325
300,1,1,074,16,2,3,3,3,39326
301,1,1,074,14,3,2,3,3,39327
302,1,1,074,14,4,3,3,3,39328
303,2,1,074,16,3,3,3,3,39329
304,1,0,074,5,3,2,2,2,39330
305,1,1,074,37,4,4,2,2,39331
306,1,0,074,16,3,3,1,1,39332
307,1,1,074,13,3,2,1,1,39333
308,2,0,074,11,2,2,1,1,39334
309,1,1,074,31,3,3,1,1,39335
310,1,1,074,5,1,3,2,2,39336
311,1,1,074,22,3,3,3,3,39337
312,1,0,074,5,2,2,2,2,39338
313,0,0,074,1,2,1,2,1,39339
314,1,0,074,13,3,2,3,3,39340
315,0,0,074,1,3,3,3,3,39341
316,0,0,074,1,1,2,3,3,39342
317,1,0,074,9,3,3,1,1,39343
318,0,0,074,4,1,1,1,1,39344
319,2,1,074,25,2,2,1,1,39345
320,1,1,074,15,2,1,1,1,39346
321,0,0,074,6,1,1,1,1,39347
322,0,0,074,10,2,2,2,2,39348
323,0,0,074,1,2,1,0,0,39349
324,1,0,074,4,3,3,0,0,39350
325,1,1,074,8,3,2,1,1,39351
326,0,0,074,1,1,2,0,0,39352
327,3,1,074,15,3,2,1,1,39353
328,3,1,074,23,3,2,1,1,39354
329,2,1,074,20,2,2,2,2,39355
330,0,0,074,5,2,2,1,2,39356
331,1,2,074,8,1,1,1,2,39357
332,1,1,074,14,2,1,2,2,39358
333,0,0,074,5,2,2,1,1,39359
334,2,0,074,12,1,1,2,2,39360
